,bodyid,flywire_type,group,instance,soma_side,status,superclass,type,user,halfbrain_body,itolee_hl,old_type,birthtime,manc_bodyid,manc_group,manc_type,soma_neuromere,truman_hl,class,entry_nerve,root_side,assigned_ol_hex1,assigned_ol_hex2,hemibrain_type,notes,dimorphism,hemibrain_bodyid,exit_nerve,manc_serial,mcns_serial,subclass,fru_dsx,synonyms,serial_motif,matching_notes,flywire_id,location_type,cell_body_fiber,auto,cell_type,side,idx
19271,115030,TmY18,17497.0,TmY18_L,L,Primary Anchor,optic,TmY18,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TmY18,left,23469.0
19287,154372,CB3851,17127.0,Tm40_L,L,Primary Anchor,optic,Tm40,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm40,left,31014.0
19288,19483,,16342.0,Tm39_L,L,Primary Anchor,optic,Tm39,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm39,left,1681.0
19295,25558,LC17,13253.0,LC17_L,L,Prelim Roughly traced,visual_projection,LC17,takemuras,,VPNv1,,,,,,,,,,,,,LC17,,,,,,,,,,,,,,,False,LC17,left,3108.0
19296,512598,Tm1,13979.0,Tm1_L,L,Prelim Roughly traced,optic,Tm1,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm1,left,36894.0
19302,170497,Tm5a,17943.0,Tm5a_L,L,Primary Anchor,optic,Tm5a,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm5a,left,32943.0
19304,11638,cL04,10566.0,LoVC19_L,L,Prelim Roughly traced,visual_centrifugal,LoVC19,takemuras,,putative_primary,LT91,early,,,,,,,,,,,,,,,,,,,,,,,,,,False,LoVC19,left,247.0
19305,163800,Dm2,40824.0,Dm2_L,L,Primary Anchor,optic,Dm2,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Dm2,left,32232.0
19312,58453,Mi9,11461.0,Mi9_L,L,Primary Anchor,optic,Mi9,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Mi9,left,10737.0
19327,91369,Tm5c,18223.0,Tm5c_L,L,Primary Anchor,optic,Tm5c,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm5c,left,18038.0
19328,129415,Tm9,16250.0,Tm9_L,L,Primary Anchor,optic,Tm9,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm9,left,26638.0
19331,531016,Tm3,13421.0,Tm3_L,L,Primary Anchor,optic,Tm3,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm3,left,41815.0
19335,49854,TmY3,15710.0,TmY3_L,L,Prelim Roughly traced,optic,TmY3,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TmY3,left,8729.0
19338,550187,T4b,21218.0,T4b_L,L,Primary Anchor,optic,T4b,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T4b,left,46995.0
19343,69877,T2,10182.0,T2_L,L,Primary Anchor,optic,T2,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T2,left,13303.0
19344,131418,C2,15627.0,C2_L,L,Prelim Roughly traced,optic,C2,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,C2,left,27042.0
19353,81367,TmY3,15710.0,TmY3_L,L,Prelim Roughly traced,optic,TmY3,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TmY3,left,15855.0
19358,33913,LC12,11692.0,LC12_L,L,Prelim Roughly traced,visual_projection,LC12,takemuras,,,,,,,,,,,,,,,LC12,,,,,,,,,,,,,,,False,LC12,left,5063.0
19359,545568,Dm3,24233.0,Dm3c_L,L,Primary Anchor,optic,Dm3c,takemuras,,,Dm3b,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Dm3c,left,45961.0
19360,80511,,17936.0,Cm6_L,L,Primary Anchor,optic,Cm6,takemuras,,,Mi19,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Cm6,left,15661.0
19366,520797,LPT21,11031.0,LPT21_L,L,Prelim Roughly traced,visual_projection,LPT21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,LPT21,left,39608.0
19368,155272,Dm15,14388.0,Dm15_L,L,Prelim Roughly traced,optic,Dm15,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Dm15,left,31159.0
19375,57530,Tm5Y,11766.0,Tm5Y_L,L,Prelim Roughly traced,optic,Tm5Y,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm5Y,left,10511.0
19378,135051,Mi9,11461.0,Mi9_L,L,Primary Anchor,optic,Mi9,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Mi9,left,27794.0
19399,142035,Tm5a,17943.0,Tm5a_L,L,Primary Anchor,optic,Tm5a,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm5a,left,29087.0
19403,110933,T5c,26518.0,T5c_L,L,Primary Anchor,optic,T5c,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T5c,left,22491.0
19404,21517,TmY5a,12709.0,TmY5a_L,L,Prelim Roughly traced,optic,TmY5a,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TmY5a,left,2152.0
19408,198973,,29457.0,Cm2_L,L,Primary Anchor,optic,Cm2,takemuras,,,Mi25b,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Cm2,left,35344.0
19412,512104,Dm14,11775.0,Dm14_L,L,Prelim Roughly traced,optic,Dm14,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Dm14,left,36778.0
19417,30187,Mi1,12473.0,Mi1_L,L,Primary Anchor,optic,Mi1,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Mi1,left,4222.0
