,root_id,cell_type,side,top_nt,super_class,cell_class,cell_sub_class,ito_lee_hemilineage,hartenstein_hemilineage,idx,sign
41598,720575940618291883,720575940618291883,right,serotonin,ascending,AN,,,,13209,1
41599,720575940611835955,AN_GNG_VES_9,right,acetylcholine,ascending,AN,AN_GNG_VES,,,5092,1
41600,720575940622484211,AN_GNG_IPS_19,right,acetylcholine,ascending,AN,AN_GNG_IPS,,,20849,1
41601,720575940612547698,AN_GNG_127,right,gaba,ascending,AN,AN_GNG,,,5916,-1
41602,720575940618544622,SA_DLV,right,acetylcholine,ascending,AN,SA_DLV,,,13543,1
41603,720575940622861326,SA_VTV_2,right,acetylcholine,ascending,AN,SA_VTV_pro_meso_meta,,,21598,1
41604,720575940620303380,AN_GNG_SAD_30,right,acetylcholine,ascending,AN,AN_GNG_SAD,,,16523,1
41605,720575940608601355,AN_SLP_LH_1,right,acetylcholine,ascending,AN,AN_SLP_LH,,,2528,1
41606,720575940618831213,AN_GNG_SAD_26,right,octopamine,ascending,AN,AN_GNG_SAD,,,13972,1
41607,720575940632815199,AN_GNG_166,right,acetylcholine,ascending,AN,AN_GNG,,,40581,1
41608,720575940627331940,AN_AVLP_GNG_7,right,gaba,ascending,AN,AN_AVLP_GNG,,,30548,-1
41609,720575940619029680,720575940619029680,right,glutamate,ascending,AN,,,,14299,-1
41610,720575940610501315,AN_AVLP_48,right,acetylcholine,ascending,AN,AN_AVLP,,,3761,1
41611,720575940612950642,AN_GNG_107,right,acetylcholine,ascending,AN,AN_GNG,,,6391,1
41612,720575940619421823,SA_VTV_5,right,glutamate,ascending,AN,SA_VTV_pro_meso_meta,,,14890,-1
41613,720575940619620596,SA_VTV_DProN_1,right,serotonin,ascending,AN,SA_VTV_DProN,,,15195,1
41614,720575940633206924,AN_GNG_140,right,acetylcholine,ascending,AN,AN_GNG,,,41074,1
41615,720575940607625737,AN_AVLP_GNG_7,right,gaba,ascending,AN,AN_AVLP_GNG,,,1960,-1
41616,720575940625147883,AN_AVLP_33,right,acetylcholine,ascending,AN,AN_AVLP,,,25994,1
41617,720575940604276652,AN_AVLP_PVLP_5,right,acetylcholine,ascending,AN,AN_AVLP_PVLP,,,371,1
41618,720575940628797608,AN_GNG_199,right,acetylcholine,ascending,AN,AN_GNG,,,33459,1
41619,720575940625760912,AN_multi_116,right,acetylcholine,ascending,AN,AN_multi,,,27155,1
41620,720575940630107855,AN_AVLP_8,right,gaba,ascending,AN,AN_AVLP,,,36072,-1
41621,720575940635883327,720575940635883327,right,acetylcholine,ascending,AN,,,,43760,1
41622,720575940634672610,SA_VTV_10,right,acetylcholine,ascending,AN,SA_VTV_pro_meso_meta,,,42623,1
41623,720575940620762723,SA_DLV,right,acetylcholine,ascending,AN,SA_DLV,,,17398,1
41624,720575940627758833,AN_multi_127,right,acetylcholine,ascending,AN,AN_multi,,,31409,1
41625,720575940627480442,720575940627480442,right,acetylcholine,ascending,AN,,,,30869,1
41626,720575940636437172,MtAHN,right,dopamine,ascending,AN,,,,44216,1
41627,720575940620797976,SA_VTV_4,right,acetylcholine,ascending,AN,SA_VTV_pro_meso_meta,,,17457,1
41628,720575940612358642,AN_multi_14,right,acetylcholine,ascending,AN,AN_multi,,,5714,1
41629,720575940622276744,AN_GNG_VES_1,right,gaba,ascending,AN,AN_GNG_VES,,,20401,-1
41630,720575940604820354,AN_GNG_168,right,glutamate,ascending,AN,AN_GNG,,,590,-1
41631,720575940640390709,SA_VTV_4,right,acetylcholine,ascending,AN,SA_VTV_pro_meso_meta,,,47432,1
41632,720575940621098887,AN_GNG_192,right,glutamate,ascending,AN,AN_GNG,,,18016,-1
41633,720575940617393435,AN_GNG_69,right,gaba,ascending,AN,AN_GNG,,,11980,-1
