pre,post,plen,connected,effconn,effconn_e,effconn_ad,effconn_ad_e
PLP237,PLP237,1,True,0.0265158955007791,0.0265158955007791,0.0305023100227117,0.0305023100227117
PLP237,PLP237,2,True,0.0020848191343247,0.0015018577687442,0.0008223094628192,0.0006005928735248
PLP237,PLP237,3,True,0.0006110932445153,0.0001461479550926,0.0005178163410164,0.0001028812184813
PLP237,PLP237,4,True,0.0003098666202276,2.5481565899099223e-05,0.0002121490979334,2.453155866533052e-05
PLP237,PLP237,5,True,0.0002078465768136,6.570488039869815e-06,0.0001327368954662,5.64522542845225e-06
LAL146,LAL146,1,False,0.0,0.0,0.0,0.0
LAL146,LAL146,2,True,0.000732141896151,0.0,7.876382005633786e-05,0.0
LAL146,LAL146,3,True,0.0006357297534123,0.0,0.0001825466606533,0.0
LAL146,LAL146,4,True,0.0001416925806552,0.0,7.364866905845702e-05,0.0
LAL146,LAL146,5,True,8.52366938488558e-05,0.0,4.523185270954855e-05,0.0
PS118,PS118,1,True,0.0057830144651234,0.0,0.0014506315346807,0.0
PS118,PS118,2,True,0.0012241613585501,0.0,0.0001596217043697,0.0
PS118,PS118,3,True,0.0006190333515405,0.0,0.0003005544422194,0.0
PS118,PS118,4,True,0.0003760577528737,0.0,0.0001274613605346,0.0
PS118,PS118,5,True,0.0002852368634194,0.0,7.271906360983849e-05,0.0
DNp44,DNp44,1,True,0.0004642525454983,0.0004642525454983,0.0,0.0
DNp44,DNp44,2,True,0.0037601131480187,0.0018891758518293,0.0078536039218306,0.0032267335336655
DNp44,DNp44,3,True,0.0007587386644445,0.0002862807014025,0.0009458162239752,0.0005258132587186
DNp44,DNp44,4,True,0.0004270517383702,4.577027721097693e-05,0.0006327538285404,5.418922228273004e-05
DNp44,DNp44,5,True,0.0002431762986816,1.2894233805127442e-05,0.0002081928978441,8.068810529948678e-06
LHPD3c1,LHPD3c1,1,False,0.0,0.0,0.0,0.0
LHPD3c1,LHPD3c1,2,True,0.0010016940068453,0.0,3.1906321964925155e-05,0.0
LHPD3c1,LHPD3c1,3,True,7.541353261331096e-05,0.0,3.954764906666242e-07,0.0
LHPD3c1,LHPD3c1,4,True,3.040424780920148e-05,0.0,5.084403369437496e-07,0.0
LHPD3c1,LHPD3c1,5,True,1.575724672875367e-05,0.0,3.243369803840324e-07,0.0
FB2G,FB2G,1,True,0.0199392922222614,0.0,0.0,0.0
FB2G,FB2G,2,True,0.0088550308719277,0.0,0.0007777712889946,0.0
FB2G,FB2G,3,True,0.0021146577782928,0.0,0.0002168374485336,0.0
FB2G,FB2G,4,True,0.001555418362841,0.0,0.0001265619503101,0.0
FB2G,FB2G,5,True,0.0009855924872681,0.0,5.80312917008996e-05,0.0
CB1735,CB1735,1,True,0.0079289246350526,0.0,0.0070546739734709,0.0
CB1735,CB1735,2,True,0.0015805873554199,0.0,0.000131085718749,0.0
CB1735,CB1735,3,True,0.0005446538561955,0.0,3.347586243762635e-05,0.0
CB1735,CB1735,4,True,0.0002354314929107,0.0,8.939301551436074e-06,0.0
CB1735,CB1735,5,True,0.0001280550786759,0.0,2.912189529524767e-06,0.0
TuBu03,TuBu03,1,True,0.020675228908658,0.020675228908658,0.0066063799895346,0.0066063799895346
TuBu03,TuBu03,2,True,0.0090916641056537,0.0014822806697338,0.0005724969087168,0.0
TuBu03,TuBu03,3,True,0.0015911789378151,0.0001210994741995,2.2125481336843222e-05,2.1610519240766735e-07
TuBu03,TuBu03,4,True,0.0006921175518073,1.3844563909515273e-05,4.8770743887871504e-05,5.615998688313085e-08
TuBu03,TuBu03,5,True,0.0002852190518751,2.1365933662309544e-06,8.597618943895213e-06,6.351488224254355e-08
AVLP344,AVLP344,1,False,0.0,0.0,0.0,0.0
AVLP344,AVLP344,2,True,0.0008847308927215,0.0003619686176534,6.916413258295506e-05,4.0932522097136825e-05
AVLP344,AVLP344,3,True,0.0003132800047751,7.17992297722958e-05,3.833384107565507e-05,4.2733399823191576e-06
AVLP344,AVLP344,4,True,0.0002488367026671,2.544304152252153e-05,1.6519023120054044e-05,1.2098669230908854e-06
AVLP344,AVLP344,5,True,0.0001906854013213,9.329057320428548e-06,7.262137842189986e-06,3.788967717355264e-07
LHAD1c2c,LHAD1c2c,1,True,0.0036422640550881,0.0036422640550881,0.0,0.0
LHAD1c2c,LHAD1c2c,2,True,0.0004630837938748,0.0001564146805321,3.5285680496599525e-05,1.2441157196008136e-05
LHAD1c2c,LHAD1c2c,3,True,8.322134817717597e-05,1.684260496404022e-05,3.073557672905736e-05,2.4721496174606727e-06
LHAD1c2c,LHAD1c2c,4,True,5.974783562123776e-05,4.798030659003416e-06,1.7591994037502445e-05,7.245530468935613e-07
LHAD1c2c,LHAD1c2c,5,True,4.256145257386379e-05,2.9520672342187027e-06,6.985869731579442e-06,2.1332762401016225e-07
M_lvPNm45,M_lvPNm45,1,True,0.0385144017636776,0.0385144017636776,0.0023809524718672,0.0023809524718672
M_lvPNm45,M_lvPNm45,2,True,0.0033306814730167,0.0025930521078407,8.216495916713029e-05,4.051906671520555e-06
M_lvPNm45,M_lvPNm45,3,True,0.0005988940829411,0.0003907851641997,0.0001082560920622,2.0190725535940146e-06
