"","cell.type","anatomy.group","pnt","tract","type","skeleton.type","coreLH","id","skeleton.type_pnt"
"130123c1","AD1a1","AD1a","AD1"," ","ON","DyeFill","TRUE","130123c1","DyeFill_AD1"
"130523c0","AD1a1","AD1a","AD1"," ","ON","DyeFill","TRUE","130523c0","DyeFill_AD1"
"130524c0","AD1a1","AD1a","AD1"," ","ON","DyeFill","TRUE","130524c0","DyeFill_AD1"
"Cha-F-000258","AD1a1","AD1a","AD1"," ","ON","FlyCircuit","TRUE","Cha-F-000258","FlyCircuit_AD1"
"L1739#1","AD1a1","AD1a","AD1"," ","ON","MCFO","TRUE","L1739#1","MCFO_AD1"
"L1740#2","AD1a1","AD1a","AD1"," ","ON","MCFO","TRUE","L1740#2","MCFO_AD1"
"L1740#3","AD1a1","AD1a","AD1"," ","ON","MCFO","TRUE","L1740#3","MCFO_AD1"
"L1740#7","AD1a1","AD1a","AD1"," ","ON","MCFO","TRUE","L1740#7","MCFO_AD1"
"L1740#8","AD1a1","AD1a","AD1"," ","ON","MCFO","TRUE","L1740#8","MCFO_AD1"
"L1740#11","AD1a1","AD1a","AD1"," ","ON","MCFO","TRUE","L1740#11","MCFO_AD1"
"121206c0","AD1a2","AD1a","AD1"," ","ON","DyeFill","TRUE","121206c0","DyeFill_AD1"
"140402c0","AD1a2","AD1a","AD1"," ","ON","DyeFill","TRUE","140402c0","DyeFill_AD1"
"140403c1","AD1a2","AD1a","AD1"," ","ON","DyeFill","TRUE","140403c1","DyeFill_AD1"
"Gad1-F-400257","AD1a2","AD1a","AD1"," ","ON","FlyCircuit","TRUE","Gad1-F-400257","FlyCircuit_AD1"
"Cha-F-400246","AD1a2","AD1a","AD1"," ","ON","FlyCircuit","TRUE","Cha-F-400246","FlyCircuit_AD1"
"VGlut-F-400170","AD1a2","AD1a","AD1"," ","ON","FlyCircuit","TRUE","VGlut-F-400170","FlyCircuit_AD1"
"L1721#1","AD1a2","AD1a","AD1"," ","ON","MCFO","TRUE","L1721#1","MCFO_AD1"
"L1721#2","AD1a2","AD1a","AD1"," ","ON","MCFO","TRUE","L1721#2","MCFO_AD1"
"L1721#3","AD1a2","AD1a","AD1"," ","ON","MCFO","TRUE","L1721#3","MCFO_AD1"
"L1812#1","AD1a2","AD1a","AD1"," ","ON","MCFO","TRUE","L1812#1","MCFO_AD1"
"L1812#2","AD1a2","AD1a","AD1"," ","ON","MCFO","TRUE","L1812#2","MCFO_AD1"
"Cha-F-300272","AD1a3","AD1a","AD1"," ","ON","FlyCircuit","TRUE","Cha-F-300272","FlyCircuit_AD1"
"Cha-F-100223","AD1a3","AD1a","AD1"," ","ON","FlyCircuit","TRUE","Cha-F-100223","FlyCircuit_AD1"
"VGlut-F-600424","AD1a3","AD1a","AD1"," ","ON","FlyCircuit","TRUE","VGlut-F-600424","FlyCircuit_AD1"
"VGlut-F-700522","AD1a3","AD1a","AD1"," ","ON","FlyCircuit","TRUE","VGlut-F-700522","FlyCircuit_AD1"
"VGlut-F-200319","AD1a3","AD1a","AD1"," ","ON","FlyCircuit","TRUE","VGlut-F-200319","FlyCircuit_AD1"
"VGlut-F-400267","AD1a3","AD1a","AD1"," ","ON","FlyCircuit","TRUE","VGlut-F-400267","FlyCircuit_AD1"
"120925c1","AD1a4","AD1a","AD1"," ","ON","DyeFill","TRUE","120925c1","DyeFill_AD1"
"121122c1","AD1a4","AD1a","AD1"," ","ON","DyeFill","TRUE","121122c1","DyeFill_AD1"
"121127c1","AD1a4","AD1a","AD1"," ","ON","DyeFill","TRUE","121127c1","DyeFill_AD1"
"121128c3","AD1a4","AD1a","AD1"," ","ON","DyeFill","TRUE","121128c3","DyeFill_AD1"
"Gad1-F-700076","AD1a5","AD1a","AD1"," ","ON","FlyCircuit","TRUE","Gad1-F-700076","FlyCircuit_AD1"
"Gad1-F-400155","AD1a7","AD1a","AD1"," ","ON","FlyCircuit"," ","Gad1-F-400155","FlyCircuit_AD1"
"VGlut-F-800061","AD1a8","AD1a","AD1"," ","ON","FlyCircuit","TRUE","VGlut-F-800061","FlyCircuit_AD1"
"120726c3","AD1b1","AD1b","AD1"," ","ON","DyeFill","FALSE","120726c3","DyeFill_AD1"
"120813c1","AD1b1","AD1b","AD1"," ","ON","DyeFill","FALSE","120813c1","DyeFill_AD1"
"120816c1","AD1b1","AD1b","AD1"," ","ON","DyeFill","FALSE","120816c1","DyeFill_AD1"
"120911c0","AD1b1","AD1b","AD1"," ","ON","DyeFill","FALSE","120911c0","DyeFill_AD1"
"121101c0","AD1b1","AD1b","AD1"," ","ON","DyeFill","FALSE","121101c0","DyeFill_AD1"
"130726c1","AD1b1","AD1b","AD1"," ","ON","DyeFill","FALSE","130726c1","DyeFill_AD1"
"130729c0","AD1b1","AD1b","AD1"," ","ON","DyeFill","FALSE","130729c0","DyeFill_AD1"
"130731c1","AD1b1","AD1b","AD1"," ","ON","DyeFill","FALSE","130731c1","DyeFill_AD1"
"130801c1","AD1b1","AD1b","AD1"," ","ON","DyeFill","FALSE","130801c1","DyeFill_AD1"
"130802c0","AD1b1","AD1b","AD1"," ","ON","DyeFill","FALSE","130802c0","DyeFill_AD1"
"130910c0","AD1b1","AD1b","AD1"," ","ON","DyeFill","FALSE","130910c0","DyeFill_AD1"
"140514c1","AD1b1","AD1b","AD1"," ","ON","DyeFill","FALSE","140514c1","DyeFill_AD1"
"120704c1","AD1b2","AD1b","AD1"," ","ON","DyeFill","TRUE","120704c1","DyeFill_AD1"
"120714c4","AD1b2","AD1b","AD1"," ","ON","DyeFill","TRUE","120714c4","DyeFill_AD1"
"120730c0","AD1b2","AD1b","AD1"," ","ON","DyeFill","TRUE","120730c0","DyeFill_AD1"
"140612c0","AD1b2","AD1b","AD1"," ","ON","DyeFill","TRUE","140612c0","DyeFill_AD1"
"140616c0","AD1b2","AD1b","AD1"," ","ON","DyeFill","TRUE","140616c0","DyeFill_AD1"
"Gad1-F-200039","AD1b2","AD1b","AD1"," ","ON","FlyCircuit","TRUE","Gad1-F-200039","FlyCircuit_AD1"
"Gad1-F-900037","AD1b2","AD1b","AD1"," ","ON","FlyCircuit","TRUE","Gad1-F-900037","FlyCircuit_AD1"
"L1539#1","AD1b2","AD1b","AD1"," ","ON","MCFO","TRUE","L1539#1","MCFO_AD1"
"L1539#3","AD1b2","AD1b","AD1"," ","ON","MCFO","TRUE","L1539#3","MCFO_AD1"
"L1539#4","AD1b2","AD1b","AD1"," ","ON","MCFO","TRUE","L1539#4","MCFO_AD1"
"L1539#5","AD1b2","AD1b","AD1"," ","ON","MCFO","TRUE","L1539#5","MCFO_AD1"
"L1539#6","AD1b2","AD1b","AD1"," ","ON","MCFO","TRUE","L1539#6","MCFO_AD1"
"L1539#7","AD1b2","AD1b","AD1"," ","ON","MCFO","TRUE","L1539#7","MCFO_AD1"
"L1539#8","AD1b2","AD1b","AD1"," ","ON","MCFO","TRUE","L1539#8","MCFO_AD1"
"L1539#9","AD1b2","AD1b","AD1"," ","ON","MCFO","TRUE","L1539#9","MCFO_AD1"
"L1539#10","AD1b2","AD1b","AD1"," ","ON","MCFO","TRUE","L1539#10","MCFO_AD1"
"L2278#1","AD1b2","AD1b","AD1"," ","ON","MCFO","TRUE","L2278#1","MCFO_AD1"
"L2278#2","AD1b2","AD1b","AD1"," ","ON","MCFO","TRUE","L2278#2","MCFO_AD1"
"L2278#3","AD1b2","AD1b","AD1"," ","ON","MCFO","TRUE","L2278#3","MCFO_AD1"
"L2278#4","AD1b2","AD1b","AD1"," ","ON","MCFO","TRUE","L2278#4","MCFO_AD1"
"L2278#5","AD1b2","AD1b","AD1"," ","ON","MCFO","TRUE","L2278#5","MCFO_AD1"
"L2278#6","AD1b2","AD1b","AD1"," ","ON","MCFO","TRUE","L2278#6","MCFO_AD1"
"120830c2","AD1c1","AD1c","AD1"," ","ON","DyeFill","TRUE","120830c2","DyeFill_AD1"
"120913c1","AD1c1","AD1c","AD1"," ","ON","DyeFill","TRUE","120913c1","DyeFill_AD1"
"121129c0","AD1c1","AD1c","AD1"," ","ON","DyeFill","TRUE","121129c0","DyeFill_AD1"
"130711c3","AD1c1","AD1c","AD1"," ","ON","DyeFill","TRUE","130711c3","DyeFill_AD1"
"Gad1-F-600330","AD1c1","AD1c","AD1"," ","ON","FlyCircuit","TRUE","Gad1-F-600330","FlyCircuit_AD1"
"Gad1-F-400233","AD1c1","AD1c","AD1"," ","ON","FlyCircuit","TRUE","Gad1-F-400233","FlyCircuit_AD1"
"Gad1-F-300262","AD1c2","AD1c","AD1"," ","ON","FlyCircuit","TRUE","Gad1-F-300262","FlyCircuit_AD1"
"Gad1-F-500014","AD1c2","AD1c","AD1"," ","ON","FlyCircuit","TRUE","Gad1-F-500014","FlyCircuit_AD1"
"L475#1","AD1c2","AD1c","AD1"," ","ON","MCFO","TRUE","L475#1","MCFO_AD1"
"L475#2","AD1c2","AD1c","AD1"," ","ON","MCFO","TRUE","L475#2","MCFO_AD1"
"L494#1","AD1c2","AD1c","AD1"," ","ON","MCFO","TRUE","L494#1","MCFO_AD1"
"L494#2","AD1c2","AD1c","AD1"," ","ON","MCFO","TRUE","L494#2","MCFO_AD1"
"L2446#1","AD1d1","AD1d","AD1"," ","ON","MCFO","TRUE","L2446#1","MCFO_AD1"
"L2446#2","AD1d1","AD1d","AD1"," ","ON","MCFO","TRUE","L2446#2","MCFO_AD1"
"Gad1-F-200365","AD1e1","AD1e","AD1"," ","ON","FlyCircuit","TRUE","Gad1-F-200365","FlyCircuit_AD1"
"Cha-F-200360","AD1e1","AD1e","AD1"," ","ON","FlyCircuit","TRUE","Cha-F-200360","FlyCircuit_AD1"
"Gad1-F-300229","AD1e1","AD1e","AD1"," ","ON","FlyCircuit","TRUE","Gad1-F-300229","FlyCircuit_AD1"
"fru-F-300009","AD1e1","AD1e","AD1"," ","ON","FlyCircuit","TRUE","fru-F-300009","FlyCircuit_AD1"
"L1614#1","AD1e1","AD1e","AD1"," ","ON","MCFO","TRUE","L1614#1","MCFO_AD1"
"L1827#3","AD1e1","AD1e","AD1"," ","ON","MCFO","TRUE","L1827#3","MCFO_AD1"
"Gad1-F-700032","AD1e2","AD1e","AD1"," ","ON","FlyCircuit","TRUE","Gad1-F-700032","FlyCircuit_AD1"
"fru-F-200156","AD1e2","AD1e","AD1"," ","ON","FlyCircuit","TRUE","fru-F-200156","FlyCircuit_AD1"
"Gad1-F-000249","AD1e3","AD1e","AD1"," ","ON","FlyCircuit","FALSE","Gad1-F-000249","FlyCircuit_AD1"
"Cha-F-700185","AD1e4","AD1e","AD1"," ","ON","FlyCircuit","FALSE","Cha-F-700185","FlyCircuit_AD1"
"Gad1-F-200033","AD1e4","AD1e","AD1"," ","ON","FlyCircuit","FALSE","Gad1-F-200033","FlyCircuit_AD1"
"VGlut-F-400863","AD1f1","AD1f","AD1"," ","ON","FlyCircuit","TRUE","VGlut-F-400863","FlyCircuit_AD1"
"L1740#4","AD1f1","AD1f","AD1"," ","ON","MCFO","TRUE","L1740#4","MCFO_AD1"
"fru-M-300364","AD1g1","AD1g","AD1"," ","ON","FlyCircuit","FALSE","fru-M-300364","FlyCircuit_AD1"
"VGlut-F-200392","AD1h1","AD1h","AD1"," ","ON","FlyCircuit","FALSE","VGlut-F-200392","FlyCircuit_AD1"
"VGlut-F-500156","AD1i1","AD1i","AD1"," ","ON","FlyCircuit","FALSE","VGlut-F-500156","FlyCircuit_AD1"
"Gad1-F-200247","AD1j1","AD1j","AD1"," ","ON","FlyCircuit","FALSE","Gad1-F-200247","FlyCircuit_AD1"
"fru-M-700010","AD2a1","AD2a","AD2"," ","ON","FlyCircuit","TRUE","fru-M-700010","FlyCircuit_AD2"
"fru-M-400340","AD2a1","AD2a","AD2"," ","ON","FlyCircuit","TRUE","fru-M-400340","FlyCircuit_AD2"
"fru-M-500103","AD2a1","AD2a","AD2"," ","ON","FlyCircuit","TRUE","fru-M-500103","FlyCircuit_AD2"
"fru-M-500191","AD2a1","AD2a","AD2"," ","ON","FlyCircuit","TRUE","fru-M-500191","FlyCircuit_AD2"
"fru-M-600162","AD2a2","AD2a","AD2"," ","ON","FlyCircuit","FALSE","fru-M-600162","FlyCircuit_AD2"
"fru-F-500117","AD2b1","AD2b","AD2"," ","ON","FlyCircuit","FALSE","fru-F-500117","FlyCircuit_AD2"
"fru-F-700078","AD2b1","AD2b","AD2"," ","ON","FlyCircuit","FALSE","fru-F-700078","FlyCircuit_AD2"
"fru-F-500184","AD2b1","AD2b","AD2"," ","ON","FlyCircuit","FALSE","fru-F-500184","FlyCircuit_AD2"
"fru-F-400067","AD2b1","AD2b","AD2"," ","ON","FlyCircuit","FALSE","fru-F-400067","FlyCircuit_AD2"
"fru-F-400325","AD2c1","AD2c","AD2"," ","ON","FlyCircuit","FALSE","fru-F-400325","FlyCircuit_AD2"
"fru-F-400420","AD2c1","AD2c","AD2"," ","ON","FlyCircuit","FALSE","fru-F-400420","FlyCircuit_AD2"
"Gad1-F-000108","AD3a1","AD3a","AD3"," ","ON","FlyCircuit","TRUE","Gad1-F-000108","FlyCircuit_AD3"
"Cha-F-000533","AD3b1","AD3b","AD3"," ","ON","FlyCircuit","TRUE","Cha-F-000533","FlyCircuit_AD3"
"L1828#1","AD3b1","AD3b","AD3"," ","ON","MCFO","TRUE","L1828#1","MCFO_AD3"
"L19#1","AD3b1","AD3b","AD3"," ","ON","MCFO","TRUE","L19#1","MCFO_AD3"
"L20#1","AD3b1","AD3b","AD3"," ","ON","MCFO","TRUE","L20#1","MCFO_AD3"
"L304#1","AD3b1","AD3b","AD3"," ","ON","MCFO","TRUE","L304#1","MCFO_AD3"
"Cha-F-100001","AD3c1","AD3c","AD3"," ","ON","FlyCircuit","TRUE","Cha-F-100001","FlyCircuit_AD3"
"Gad1-F-100124","AD3d1","AD3d","AD3"," ","ON","FlyCircuit","FALSE","Gad1-F-100124","FlyCircuit_AD3"
"fru-M-400351","AD4a1","AD4a","AD4"," ","ON","FlyCircuit","FALSE","fru-M-400351","FlyCircuit_AD4"
"VGlut-F-200459","AD5a1","AD5a","AD5"," ","ON","FlyCircuit","FALSE","VGlut-F-200459","FlyCircuit_AD5"
"Gad1-F-800137","AV1a1","AV1a","AV1"," ","ON","FlyCircuit","TRUE","Gad1-F-800137","FlyCircuit_AV1"
"Gad1-F-600174","AV1a1","AV1a","AV1"," ","ON","FlyCircuit","TRUE","Gad1-F-600174","FlyCircuit_AV1"
"Gad1-F-200387","AV1a1","AV1a","AV1"," ","ON","FlyCircuit","TRUE","Gad1-F-200387","FlyCircuit_AV1"
"Cha-F-300357","AV1a1","AV1a","AV1"," ","ON","FlyCircuit","TRUE","Cha-F-300357","FlyCircuit_AV1"
"VGlut-F-400535","AV1a1","AV1a","AV1"," ","ON","FlyCircuit","TRUE","VGlut-F-400535","FlyCircuit_AV1"
"VGlut-F-500378","AV1a1","AV1a","AV1"," ","ON","FlyCircuit","TRUE","VGlut-F-500378","FlyCircuit_AV1"
"VGlut-F-700213","AV1a1","AV1a","AV1"," ","ON","FlyCircuit","TRUE","VGlut-F-700213","FlyCircuit_AV1"
"VGlut-F-600516","AV1a1","AV1a","AV1"," ","ON","FlyCircuit","TRUE","VGlut-F-600516","FlyCircuit_AV1"
"VGlut-F-500744","AV1a1","AV1a","AV1"," ","ON","FlyCircuit","TRUE","VGlut-F-500744","FlyCircuit_AV1"
"VGlut-F-000366","AV1a1","AV1a","AV1"," ","ON","FlyCircuit","TRUE","VGlut-F-000366","FlyCircuit_AV1"
"Gad1-F-500105","AV1a1","AV1a","AV1"," ","ON","FlyCircuit","TRUE","Gad1-F-500105","FlyCircuit_AV1"
"Cha-F-700271","AV1a1","AV1a","AV1"," ","ON","FlyCircuit","TRUE","Cha-F-700271","FlyCircuit_AV1"
"Cha-F-200201","AV1a1","AV1a","AV1"," ","ON","FlyCircuit","TRUE","Cha-F-200201","FlyCircuit_AV1"
"VGlut-F-600228","AV1a1","AV1a","AV1"," ","ON","FlyCircuit","TRUE","VGlut-F-600228","FlyCircuit_AV1"
"VGlut-F-500603","AV1a1","AV1a","AV1"," ","ON","FlyCircuit","TRUE","VGlut-F-500603","FlyCircuit_AV1"
"VGlut-F-500847","AV1a1","AV1a","AV1"," ","ON","FlyCircuit","TRUE","VGlut-F-500847","FlyCircuit_AV1"
"VGlut-F-600069","AV1a1","AV1a","AV1"," ","ON","FlyCircuit","TRUE","VGlut-F-600069","FlyCircuit_AV1"
"VGlut-F-500255","AV1a1","AV1a","AV1"," ","ON","FlyCircuit","TRUE","VGlut-F-500255","FlyCircuit_AV1"
"VGlut-F-500269","AV1a1","AV1a","AV1"," ","ON","FlyCircuit","TRUE","VGlut-F-500269","FlyCircuit_AV1"
"VGlut-F-500113","AV1a1","AV1a","AV1"," ","ON","FlyCircuit","TRUE","VGlut-F-500113","FlyCircuit_AV1"
"L1989#1","AV1a1","AV1a","AV1"," ","ON","MCFO","TRUE","L1989#1","MCFO_AV1"
"L1989#2","AV1a1","AV1a","AV1"," ","ON","MCFO","TRUE","L1989#2","MCFO_AV1"
"L1989#3","AV1a1","AV1a","AV1"," ","ON","MCFO","TRUE","L1989#3","MCFO_AV1"
"L1989#4","AV1a1","AV1a","AV1"," ","ON","MCFO","TRUE","L1989#4","MCFO_AV1"
"L1990#1","AV1a1","AV1a","AV1"," ","ON","MCFO","TRUE","L1990#1","MCFO_AV1"
"L1990#2","AV1a1","AV1a","AV1"," ","ON","MCFO","TRUE","L1990#2","MCFO_AV1"
"L1990#3","AV1a1","AV1a","AV1"," ","ON","MCFO","TRUE","L1990#3","MCFO_AV1"
"L1990#4","AV1a1","AV1a","AV1"," ","ON","MCFO","TRUE","L1990#4","MCFO_AV1"
"L1990#5","AV1a1","AV1a","AV1"," ","ON","MCFO","TRUE","L1990#5","MCFO_AV1"
"L1990#6","AV1a1","AV1a","AV1"," ","ON","MCFO","TRUE","L1990#6","MCFO_AV1"
"L1990#7","AV1a1","AV1a","AV1"," ","ON","MCFO","TRUE","L1990#7","MCFO_AV1"
"L1990#8","AV1a1","AV1a","AV1"," ","ON","MCFO","TRUE","L1990#8","MCFO_AV1"
"Gad1-F-800191","AV1a2","AV1a","AV1"," ","ON","FlyCircuit","TRUE","Gad1-F-800191","FlyCircuit_AV1"
"Gad1-F-700243","AV1a2","AV1a","AV1"," ","ON","FlyCircuit","TRUE","Gad1-F-700243","FlyCircuit_AV1"
"Gad1-F-700100","AV1a2","AV1a","AV1"," ","ON","FlyCircuit","TRUE","Gad1-F-700100","FlyCircuit_AV1"
"Cha-F-100370","AV1a2","AV1a","AV1"," ","ON","FlyCircuit","TRUE","Cha-F-100370","FlyCircuit_AV1"
"VGlut-F-700266","AV1a2","AV1a","AV1"," ","ON","FlyCircuit","TRUE","VGlut-F-700266","FlyCircuit_AV1"
"VGlut-F-600598","AV1a2","AV1a","AV1"," ","ON","FlyCircuit","TRUE","VGlut-F-600598","FlyCircuit_AV1"
"VGlut-F-600072","AV1a2","AV1a","AV1"," ","ON","FlyCircuit","TRUE","VGlut-F-600072","FlyCircuit_AV1"
"VGlut-F-600109","AV1a2","AV1a","AV1"," ","ON","FlyCircuit","TRUE","VGlut-F-600109","FlyCircuit_AV1"
"fru-M-100125","AV1a2","AV1a","AV1"," ","ON","FlyCircuit","TRUE","fru-M-100125","FlyCircuit_AV1"
"Gad1-F-900205","AV1a2","AV1a","AV1"," ","ON","FlyCircuit","TRUE","Gad1-F-900205","FlyCircuit_AV1"
"fru-F-400357","AV1a2","AV1a","AV1"," ","ON","FlyCircuit","TRUE","fru-F-400357","FlyCircuit_AV1"
"VGlut-F-500507","AV1a2","AV1a","AV1"," ","ON","FlyCircuit","TRUE","VGlut-F-500507","FlyCircuit_AV1"
"VGlut-F-700284","AV1a2","AV1a","AV1"," ","ON","FlyCircuit","TRUE","VGlut-F-700284","FlyCircuit_AV1"
"VGlut-F-700009","AV1a2","AV1a","AV1"," ","ON","FlyCircuit","TRUE","VGlut-F-700009","FlyCircuit_AV1"
"VGlut-F-600078","AV1a2","AV1a","AV1"," ","ON","FlyCircuit","TRUE","VGlut-F-600078","FlyCircuit_AV1"
"VGlut-F-100009","AV1a2","AV1a","AV1"," ","ON","FlyCircuit","TRUE","VGlut-F-100009","FlyCircuit_AV1"
"VGlut-F-400241","AV1a2","AV1a","AV1"," ","ON","FlyCircuit","TRUE","VGlut-F-400241","FlyCircuit_AV1"
"Gad1-F-900217","AV1a3","AV1a","AV1"," ","ON","FlyCircuit","TRUE","Gad1-F-900217","FlyCircuit_AV1"
"Gad1-F-600303","AV1a3","AV1a","AV1"," ","ON","FlyCircuit","TRUE","Gad1-F-600303","FlyCircuit_AV1"
"Gad1-F-500318","AV1a3","AV1a","AV1"," ","ON","FlyCircuit","TRUE","Gad1-F-500318","FlyCircuit_AV1"
"Cha-F-300352","AV1a3","AV1a","AV1"," ","ON","FlyCircuit","TRUE","Cha-F-300352","FlyCircuit_AV1"
"Cha-F-200351","AV1a3","AV1a","AV1"," ","ON","FlyCircuit","TRUE","Cha-F-200351","FlyCircuit_AV1"
"Gad1-F-600204","AV1a3","AV1a","AV1"," ","ON","FlyCircuit","TRUE","Gad1-F-600204","FlyCircuit_AV1"
"5HT1A-F-800019","AV1a3","AV1a","AV1"," ","ON","FlyCircuit","TRUE","5HT1A-F-800019","FlyCircuit_AV1"
"Cha-F-800066","AV1a3","AV1a","AV1"," ","ON","FlyCircuit","TRUE","Cha-F-800066","FlyCircuit_AV1"
"Cha-F-500001","AV1a3","AV1a","AV1"," ","ON","FlyCircuit","TRUE","Cha-F-500001","FlyCircuit_AV1"
"VGlut-F-600739","AV1a3","AV1a","AV1"," ","ON","FlyCircuit","TRUE","VGlut-F-600739","FlyCircuit_AV1"
"VGlut-F-600773","AV1a3","AV1a","AV1"," ","ON","FlyCircuit","TRUE","VGlut-F-600773","FlyCircuit_AV1"
"VGlut-F-700565","AV1a3","AV1a","AV1"," ","ON","FlyCircuit","TRUE","VGlut-F-700565","FlyCircuit_AV1"
"VGlut-F-600064","AV1a3","AV1a","AV1"," ","ON","FlyCircuit","TRUE","VGlut-F-600064","FlyCircuit_AV1"
"fru-M-600094","AV1a3","AV1a","AV1"," ","ON","FlyCircuit","TRUE","fru-M-600094","FlyCircuit_AV1"
"VGlut-F-600713","AV1a4","AV1a","AV1"," ","ON","FlyCircuit","TRUE","VGlut-F-600713","FlyCircuit_AV1"
"VGlut-F-900129","AV1a4","AV1a","AV1"," ","ON","FlyCircuit","TRUE","VGlut-F-900129","FlyCircuit_AV1"
"VGlut-F-600081","AV1a4","AV1a","AV1"," ","ON","FlyCircuit","TRUE","VGlut-F-600081","FlyCircuit_AV1"
"Gad1-F-200223","AV1a5","AV1a","AV1"," ","ON","FlyCircuit","TRUE","Gad1-F-200223","FlyCircuit_AV1"
"fru-F-600103","AV1a5","AV1a","AV1"," ","ON","FlyCircuit","TRUE","fru-F-600103","FlyCircuit_AV1"
"Gad1-F-300038","AV1a5","AV1a","AV1"," ","ON","FlyCircuit","TRUE","Gad1-F-300038","FlyCircuit_AV1"
"VGlut-F-400166","AV1b1","AV1b","AV1"," ","LN","FlyCircuit","TRUE","VGlut-F-400166","FlyCircuit_AV1"
"VGlut-F-300442","AV1b1","AV1b","AV1"," ","LN","FlyCircuit","TRUE","VGlut-F-300442","FlyCircuit_AV1"
"VGlut-F-200257","AV1b1","AV1b","AV1"," ","LN","FlyCircuit","TRUE","VGlut-F-200257","FlyCircuit_AV1"
"VGlut-F-600059","AV1b1","AV1b","AV1"," ","LN","FlyCircuit","TRUE","VGlut-F-600059","FlyCircuit_AV1"
"Cha-F-400286","AV1c1","AV1c","AV1"," ","ON","FlyCircuit","FALSE","Cha-F-400286","FlyCircuit_AV1"
"Cha-F-700112","AV1d1","AV1d","AV1"," ","ON","FlyCircuit","TRUE","Cha-F-700112","FlyCircuit_AV1"
"Cha-F-000347","AV1e1","AV1e","AV1"," ","ON","FlyCircuit","FALSE","Cha-F-000347","FlyCircuit_AV1"
"Gad1-F-800214","AV2a1","AV2a","AV2"," ","ON","FlyCircuit","TRUE","Gad1-F-800214","FlyCircuit_AV2"
"Gad1-F-600244","AV2a1","AV2a","AV2"," ","ON","FlyCircuit","TRUE","Gad1-F-600244","FlyCircuit_AV2"
"L629#1","AV2a1","AV2a","AV2"," ","ON","MCFO","TRUE","L629#1","MCFO_AV2"
"L629#2","AV2a1","AV2a","AV2"," ","ON","MCFO","TRUE","L629#2","MCFO_AV2"
"L629#3","AV2a1","AV2a","AV2"," ","ON","MCFO","TRUE","L629#3","MCFO_AV2"
"L629#4","AV2a1","AV2a","AV2"," ","ON","MCFO","TRUE","L629#4","MCFO_AV2"
"L629#5","AV2a1","AV2a","AV2"," ","ON","MCFO","TRUE","L629#5","MCFO_AV2"
"Cha-F-500105","AV2a2","AV2a","AV2"," ","ON","FlyCircuit","TRUE","Cha-F-500105","FlyCircuit_AV2"
"Gad1-F-800100","AV2a2","AV2a","AV2"," ","ON","FlyCircuit","TRUE","Gad1-F-800100","FlyCircuit_AV2"
"Gad1-F-000096","AV2a2","AV2a","AV2"," ","ON","FlyCircuit","TRUE","Gad1-F-000096","FlyCircuit_AV2"
"L1385#16","AV2a2","AV2a","AV2"," ","ON","MCFO","TRUE","L1385#16","MCFO_AV2"
"L876#1","AV2a2","AV2a","AV2"," ","ON","MCFO","TRUE","L876#1","MCFO_AV2"
"L876#2","AV2a2","AV2a","AV2"," ","ON","MCFO","TRUE","L876#2","MCFO_AV2"
"L876#3","AV2a2","AV2a","AV2"," ","ON","MCFO","TRUE","L876#3","MCFO_AV2"
"L876#5","AV2a2","AV2a","AV2"," ","ON","MCFO","TRUE","L876#5","MCFO_AV2"
"L876#6","AV2a2","AV2a","AV2"," ","ON","MCFO","TRUE","L876#6","MCFO_AV2"
"Gad1-F-000240","AV2a3","AV2a","AV2"," ","ON","FlyCircuit","TRUE","Gad1-F-000240","FlyCircuit_AV2"
"Gad1-F-000298","AV2a3","AV2a","AV2"," ","ON","FlyCircuit","TRUE","Gad1-F-000298","FlyCircuit_AV2"
"Cha-F-000048","AV2a3","AV2a","AV2"," ","ON","FlyCircuit","TRUE","Cha-F-000048","FlyCircuit_AV2"
"fru-F-200126","AV2a3","AV2a","AV2"," ","ON","FlyCircuit","TRUE","fru-F-200126","FlyCircuit_AV2"
"L907#1","AV2a3","AV2a","AV2"," ","ON","MCFO","TRUE","L907#1","MCFO_AV2"
"L629#6","AV2a4","AV2a","AV2"," ","ON","MCFO","TRUE","L629#6","MCFO_AV2"
"L629#8","AV2a4","AV2a","AV2"," ","ON","MCFO","TRUE","L629#8","MCFO_AV2"
"Gad1-F-300310","AV2b1","AV2b","AV2"," ","ON","FlyCircuit","TRUE","Gad1-F-300310","FlyCircuit_AV2"
"Cha-F-100444","AV2b1","AV2b","AV2"," ","ON","FlyCircuit","TRUE","Cha-F-100444","FlyCircuit_AV2"
"fru-F-300169","AV2b1","AV2b","AV2"," ","ON","FlyCircuit","TRUE","fru-F-300169","FlyCircuit_AV2"
"Cha-F-200034","AV2b1","AV2b","AV2"," ","ON","FlyCircuit","TRUE","Cha-F-200034","FlyCircuit_AV2"
"Cha-F-600183","AV2b1","AV2b","AV2"," ","ON","FlyCircuit","TRUE","Cha-F-600183","FlyCircuit_AV2"
"Cha-F-300136","AV2b1","AV2b","AV2"," ","ON","FlyCircuit","TRUE","Cha-F-300136","FlyCircuit_AV2"
"L2087#2","AV2b1","AV2b","AV2"," ","ON","MCFO","TRUE","L2087#2","MCFO_AV2"
"L2087#3","AV2b1","AV2b","AV2"," ","ON","MCFO","TRUE","L2087#3","MCFO_AV2"
"L2088#1","AV2b1","AV2b","AV2"," ","ON","MCFO","TRUE","L2088#1","MCFO_AV2"
