,batch_name,group,time,activation_original,manipulated_idx,manipulated_ctype,manipulate_layer,little_added,activation_manipulated,activation_diff
70,ethanol,102611,0,0.0,5607,SMP530,0,1e-06,0.0,0.0
71,ethanol,102611,0,0.0,5607,SMP530,1,1e-06,0.0,0.0
72,ethanol,102611,0,0.0,5607,SMP530,2,1e-06,0.0,0.0
73,ethanol,102611,0,0.0,5607,SMP530,3,1e-06,0.0,0.0
74,ethanol,102611,0,0.0,5607,SMP530,4,1e-06,0.0,0.0
75,ethanol,102611,0,0.0,132518,SMP530,0,1e-06,0.0,0.0
76,ethanol,102611,0,0.0,132518,SMP530,1,1e-06,0.0,0.0
77,ethanol,102611,0,0.0,132518,SMP530,2,1e-06,0.0,0.0
78,ethanol,102611,0,0.0,132518,SMP530,3,1e-06,0.0,0.0
79,ethanol,102611,0,0.0,132518,SMP530,4,1e-06,0.0,0.0
80,ethanol,102611,0,0.0,13977,SMP532a,0,1e-06,0.0,0.0
81,ethanol,102611,0,0.0,13977,SMP532a,1,1e-06,0.0,0.0
82,ethanol,102611,0,0.0,13977,SMP532a,2,1e-06,0.0,0.0
83,ethanol,102611,0,0.0,13977,SMP532a,3,1e-06,0.0,0.0
84,ethanol,102611,0,0.0,13977,SMP532a,4,1e-06,0.0,0.0
85,ethanol,102611,0,0.0,15105,SMP532a,0,1e-06,0.0,0.0
86,ethanol,102611,0,0.0,15105,SMP532a,1,1e-06,0.0,0.0
87,ethanol,102611,0,0.0,15105,SMP532a,2,1e-06,0.0,0.0
88,ethanol,102611,0,0.0,15105,SMP532a,3,1e-06,0.0,0.0
89,ethanol,102611,0,0.0,15105,SMP532a,4,1e-06,0.0,0.0
90,ethanol,102611,0,0.0,23535,SMP532b,0,1e-06,0.0,0.0
91,ethanol,102611,0,0.0,23535,SMP532b,1,1e-06,0.0,0.0
92,ethanol,102611,0,0.0,23535,SMP532b,2,1e-06,0.0,0.0
93,ethanol,102611,0,0.0,23535,SMP532b,3,1e-06,0.0,0.0
94,ethanol,102611,0,0.0,23535,SMP532b,4,1e-06,0.0,0.0
95,ethanol,102611,0,0.0,106205,SMP532b,0,1e-06,0.0,0.0
96,ethanol,102611,0,0.0,106205,SMP532b,1,1e-06,0.0,0.0
97,ethanol,102611,0,0.0,106205,SMP532b,2,1e-06,0.0,0.0
98,ethanol,102611,0,0.0,106205,SMP532b,3,1e-06,0.0,0.0
99,ethanol,102611,0,0.0,106205,SMP532b,4,1e-06,0.0,0.0
100,ethanol,102611,0,0.0,73578,AN_multi_106,0,1e-06,0.0,0.0
101,ethanol,102611,0,0.0,73578,AN_multi_106,1,1e-06,0.0,0.0
102,ethanol,102611,0,0.0,73578,AN_multi_106,2,1e-06,0.0,0.0
103,ethanol,102611,0,0.0,73578,AN_multi_106,3,1e-06,0.0,0.0
104,ethanol,102611,0,0.0,73578,AN_multi_106,4,1e-06,0.0,0.0
105,ethanol,102611,0,0.0,48231,AN_multi_106,0,1e-06,0.0,0.0
106,ethanol,102611,0,0.0,48231,AN_multi_106,1,1e-06,0.0,0.0
107,ethanol,102611,0,0.0,48231,AN_multi_106,2,1e-06,0.0,0.0
108,ethanol,102611,0,0.0,48231,AN_multi_106,3,1e-06,0.0,0.0
109,ethanol,102611,0,0.0,48231,AN_multi_106,4,1e-06,0.0,0.0
110,ethanol,102611,0,0.0,97551,AN_multi_106,0,1e-06,0.0,0.0
111,ethanol,102611,0,0.0,97551,AN_multi_106,1,1e-06,0.0,0.0
112,ethanol,102611,0,0.0,97551,AN_multi_106,2,1e-06,0.0,0.0
113,ethanol,102611,0,0.0,97551,AN_multi_106,3,1e-06,0.0,0.0
114,ethanol,102611,0,0.0,97551,AN_multi_106,4,1e-06,0.0,0.0
115,ethanol,102611,0,0.0,104378,AN_multi_106,0,1e-06,0.0,0.0
116,ethanol,102611,0,0.0,104378,AN_multi_106,1,1e-06,0.0,0.0
117,ethanol,102611,0,0.0,104378,AN_multi_106,2,1e-06,0.0,0.0
118,ethanol,102611,0,0.0,104378,AN_multi_106,3,1e-06,0.0,0.0
119,ethanol,102611,0,0.0,104378,AN_multi_106,4,1e-06,0.0,0.0
120,ethanol,102611,0,0.0,2688,CB1013,0,1e-06,0.0,0.0
121,ethanol,102611,0,0.0,2688,CB1013,1,1e-06,0.0,0.0
122,ethanol,102611,0,0.0,2688,CB1013,2,1e-06,0.0,0.0
123,ethanol,102611,0,0.0,2688,CB1013,3,1e-06,0.0,0.0
124,ethanol,102611,0,0.0,2688,CB1013,4,1e-06,0.0,0.0
125,ethanol,102611,0,0.0,29191,CB1013,0,1e-06,0.0,0.0
126,ethanol,102611,0,0.0,29191,CB1013,1,1e-06,0.0,0.0
127,ethanol,102611,0,0.0,29191,CB1013,2,1e-06,0.0,0.0
128,ethanol,102611,0,0.0,29191,CB1013,3,1e-06,0.0,0.0
129,ethanol,102611,0,0.0,29191,CB1013,4,1e-06,0.0,0.0
130,ethanol,102611,0,0.0,96433,CB1013,0,1e-06,0.0,0.0
131,ethanol,102611,0,0.0,96433,CB1013,1,1e-06,0.0,0.0
132,ethanol,102611,0,0.0,96433,CB1013,2,1e-06,0.0,0.0
133,ethanol,102611,0,0.0,96433,CB1013,3,1e-06,0.0,0.0
134,ethanol,102611,0,0.0,96433,CB1013,4,1e-06,0.0,0.0
135,ethanol,102611,0,0.0,123889,CB1013,0,1e-06,0.0,0.0
136,ethanol,102611,0,0.0,123889,CB1013,1,1e-06,0.0,0.0
137,ethanol,102611,0,0.0,123889,CB1013,2,1e-06,0.0,0.0
138,ethanol,102611,0,0.0,123889,CB1013,3,1e-06,0.0,0.0
139,ethanol,102611,0,0.0,123889,CB1013,4,1e-06,0.0,0.0
140,ethanol,102611,0,0.0,57219,CB1013,0,1e-06,0.0,0.0
141,ethanol,102611,0,0.0,57219,CB1013,1,1e-06,0.0,0.0
142,ethanol,102611,0,0.0,57219,CB1013,2,1e-06,0.0,0.0
143,ethanol,102611,0,0.0,57219,CB1013,3,1e-06,0.0,0.0
144,ethanol,102611,0,0.0,57219,CB1013,4,1e-06,0.0,0.0
145,ethanol,102611,0,0.0,125479,CB1013,0,1e-06,0.0,0.0
146,ethanol,102611,0,0.0,125479,CB1013,1,1e-06,0.0,0.0
147,ethanol,102611,0,0.0,125479,CB1013,2,1e-06,0.0,0.0
148,ethanol,102611,0,0.0,125479,CB1013,3,1e-06,0.0,0.0
149,ethanol,102611,0,0.0,125479,CB1013,4,1e-06,0.0,0.0
150,ethanol,102611,0,0.0,60943,CB1013,0,1e-06,0.0,0.0
151,ethanol,102611,0,0.0,60943,CB1013,1,1e-06,0.0,0.0
152,ethanol,102611,0,0.0,60943,CB1013,2,1e-06,0.0,0.0
153,ethanol,102611,0,0.0,60943,CB1013,3,1e-06,0.0,0.0
154,ethanol,102611,0,0.0,60943,CB1013,4,1e-06,0.0,0.0
155,ethanol,102611,0,0.0,66867,CB2761,0,1e-06,0.0,0.0
156,ethanol,102611,0,0.0,66867,CB2761,1,1e-06,0.0,0.0
157,ethanol,102611,0,0.0,66867,CB2761,2,1e-06,0.0,0.0
158,ethanol,102611,0,0.0,66867,CB2761,3,1e-06,0.0,0.0
159,ethanol,102611,0,0.0,66867,CB2761,4,1e-06,0.0,0.0
160,ethanol,102611,0,0.0,22924,CB2761,0,1e-06,0.0,0.0
161,ethanol,102611,0,0.0,22924,CB2761,1,1e-06,0.0,0.0
162,ethanol,102611,0,0.0,22924,CB2761,2,1e-06,0.0,0.0
163,ethanol,102611,0,0.0,22924,CB2761,3,1e-06,0.0,0.0
164,ethanol,102611,0,0.0,22924,CB2761,4,1e-06,0.0,0.0
165,ethanol,102611,0,0.0,132809,CB2761,0,1e-06,0.0,0.0
166,ethanol,102611,0,0.0,132809,CB2761,1,1e-06,0.0,0.0
167,ethanol,102611,0,0.0,132809,CB2761,2,1e-06,0.0,0.0
168,ethanol,102611,0,0.0,132809,CB2761,3,1e-06,0.0,0.0
169,ethanol,102611,0,0.0,132809,CB2761,4,1e-06,0.0,0.0
170,ethanol,102611,0,0.0,90263,M_spPN4t9,0,1e-06,0.0,0.0
171,ethanol,102611,0,0.0,90263,M_spPN4t9,1,1e-06,0.0,0.0
172,ethanol,102611,0,0.0,90263,M_spPN4t9,2,1e-06,0.0,0.0
173,ethanol,102611,0,0.0,90263,M_spPN4t9,3,1e-06,0.0,0.0
174,ethanol,102611,0,0.0,90263,M_spPN4t9,4,1e-06,0.0,0.0
175,ethanol,102611,0,0.0,24231,M_spPN4t9,0,1e-06,0.0,0.0
176,ethanol,102611,0,0.0,24231,M_spPN4t9,1,1e-06,0.0,0.0
177,ethanol,102611,0,0.0,24231,M_spPN4t9,2,1e-06,0.0,0.0
178,ethanol,102611,0,0.0,24231,M_spPN4t9,3,1e-06,0.0,0.0
179,ethanol,102611,0,0.0,24231,M_spPN4t9,4,1e-06,0.0,0.0
180,ethanol,102611,0,0.0,21558,ALBN1,0,1e-06,0.0,0.0
181,ethanol,102611,0,0.0,21558,ALBN1,1,1e-06,0.0,0.0
182,ethanol,102611,0,0.0,21558,ALBN1,2,1e-06,0.0,0.0
183,ethanol,102611,0,0.0,21558,ALBN1,3,1e-06,0.0,0.0
184,ethanol,102611,0,0.0,21558,ALBN1,4,1e-06,0.0,0.0
185,ethanol,102611,0,0.0,86074,ALBN1,0,1e-06,0.0,0.0
186,ethanol,102611,0,0.0,86074,ALBN1,1,1e-06,0.0,0.0
187,ethanol,102611,0,0.0,86074,ALBN1,2,1e-06,0.0,0.0
188,ethanol,102611,0,0.0,86074,ALBN1,3,1e-06,0.0,0.0
189,ethanol,102611,0,0.0,86074,ALBN1,4,1e-06,0.0,0.0
190,ethanol,102611,0,0.0,16879,CB0683,0,1e-06,0.0,0.0
191,ethanol,102611,0,0.0,16879,CB0683,1,1e-06,0.0,0.0
192,ethanol,102611,0,0.0,16879,CB0683,2,1e-06,0.0,0.0
193,ethanol,102611,0,0.0,16879,CB0683,3,1e-06,0.0,0.0
194,ethanol,102611,0,0.0,16879,CB0683,4,1e-06,0.0,0.0
195,ethanol,102611,0,0.0,104824,CB0683,0,1e-06,0.0,0.0
196,ethanol,102611,0,0.0,104824,CB0683,1,1e-06,0.0,0.0
197,ethanol,102611,0,0.0,104824,CB0683,2,1e-06,0.0,0.0
198,ethanol,102611,0,0.0,104824,CB0683,3,1e-06,0.0,0.0
199,ethanol,102611,0,0.0,104824,CB0683,4,1e-06,0.0,0.0
