pre_type,post_hemibrain_type,post_fafb_type,mean_EPSP_amplitude
VC1_lPN,LHPD2b1_a,LHPD2b1_a,0.0
VL2a_adPN,LHPD2b1_a,LHPD2b1_a,0.0
VL2p_adPN,LHPD2b1_a,LHPD2b1_a,0.0
DA4l_adPN,LHPD2a1,LHPD2a1,0.0
DC1_adPN,LHPD2a1,LHPD2a1,0.0
DL4_adPN,LHPD2a1,LHPD2a1,0.0
DL5_adPN,LHPD2a1,LHPD2a1,0.0
DM1_lPN,LHPD2a1,LHPD2a1,3.91653936
DP1m_adPN,LHPD2a1,LHPD2a1,1.1406098
VA2_adPN,LHPD2a1,LHPD2a1,0.0
VA6_adPN,LHPD2a1,LHPD2a1,0.0
VC1_lPN,LHPD2a1,LHPD2a1,0.0
VL2a_adPN,LHPD2a1,LHPD2a1,0.0
DA4l_adPN,LHAV2b2_a,LHAV2b2a,0.0
DC1_adPN,LHAV2b2_a,LHAV2b2a,0.0
DL4_adPN,LHAV2b2_a,LHAV2b2a,0.0
DL5_adPN,LHAV2b2_a,LHAV2b2a,0.0
DM1_lPN,LHAV2b2_a,LHAV2b2a,0.0
DM4_adPN,LHAV2b2_a,LHAV2b2a,0.0
VA2_adPN,LHAV2b2_a,LHAV2b2a,0.0
VA6_adPN,LHAV2b2_a,LHAV2b2a,0.0
VC1_lPN,LHAV2b2_a,LHAV2b2a,0.0
VL2a_adPN,LHAV2b2_a,LHAV2b2a,2.46240283
DC1_adPN,LHAV1a2_a,LHAV1a2_a,0.0
DL4_adPN,LHAV1a2_a,LHAV1a2_a,1.75984939
DL5_adPN,LHAV1a2_a,LHAV1a2_a,0.0
DM1_lPN,LHAV1a2_a,LHAV1a2_a,0.0
DM4_adPN,LHAV1a2_a,LHAV1a2_a,0.0
DP1m_adPN,LHAV1a2_a,LHAV1a2_a,0.0
VA2_adPN,LHAV1a2_a,LHAV1a2_a,0.0
VA6_adPN,LHAV1a2_a,LHAV1a2_a,1.92217112
VC1_lPN,LHAV1a2_a,LHAV1a2_a,0.0
VL2a_adPN,LHAV1a2_a,LHAV1a2_a,1.60422109
VL2p_adPN,LHAV1a2_a,LHAV1a2_a,1.41590037
DA4l_adPN,LHAV6a2_b,LHAV6a2_b,0.0
DC1_adPN,LHAV6a2_b,LHAV6a2_b,0.0
DL4_adPN,LHAV6a2_b,LHAV6a2_b,0.0
DL5_adPN,LHAV6a2_b,LHAV6a2_b,0.37863795
DM1_lPN,LHAV6a2_b,LHAV6a2_b,0.0
DM4_adPN,LHAV6a2_b,LHAV6a2_b,0.0
DP1m_adPN,LHAV6a2_b,LHAV6a2_b,0.0
VA2_adPN,LHAV6a2_b,LHAV6a2_b,1.4024964
VA6_adPN,LHAV6a2_b,LHAV6a2_b,0.0
VC1_lPN,LHAV6a2_b,LHAV6a2_b,0.0
VL2a_adPN,LHAV6a2_b,LHAV6a2_b,0.0
VL2p_adPN,LHAV6a2_b,LHAV6a2_b,0.0
