bodyId,cell_type,side,instance,idx,top_nt,sign
1750004327,AVLP510,right,AVLP510_R,15370,acetylcholine,1
1750026634,LC22,right,LC22_R,15371,acetylcholine,1
1750039535,LC22,right,LC22_R,15372,acetylcholine,1
1750243366,LC15,noside,LC15,15373,acetylcholine,1
1750247044,LC24,noside,LC24,15374,acetylcholine,1
1750251452,LC17,noside,LC17,15375,gaba,-1
1750289956,LC21,noside,LC21,15376,acetylcholine,1
1750371809,LC22,right,LC22_R,15377,acetylcholine,1
1750419433,PLP009,right,PLP009_R,15378,glutamate,-1
1750587711,LC16,noside,LC16,15379,acetylcholine,1
1750605638,MC64,noside,MC64,15380,acetylcholine,1
1750621344,LC12,noside,LC12,15381,gaba,-1
1750622215,LC17,noside,LC17,15382,gaba,-1
1750630587,LC12,right,LC12(lVLPT7)_R,15383,gaba,-1
1750669238,WED028,right,WED028_R,15384,gaba,-1
1750712639,LC22,right,LC22_R,15385,acetylcholine,1
1750721034,CL323,right,CL323_R,15386,acetylcholine,1
1750929611,LC25,noside,LC25,15387,glutamate,-1
1750980224,LC18,noside,LC18,15388,acetylcholine,1
1750984451,LC18,noside,LC18,15389,acetylcholine,1
1751100936,PS032,right,PS032_R,15390,acetylcholine,1
1751257274,LC12,noside,LC12,15391,gaba,-1
1751262627,LC17,noside,LC17,15392,gaba,-1
1751321418,LC18,right,LC18(PLBDL4)_R,15393,acetylcholine,1
1751325674,LC18,noside,LC18,15394,acetylcholine,1
1751329909,LPLC2,noside,LPLC2,15395,acetylcholine,1
1751330026,LC18,noside,LC18,15396,acetylcholine,1
1751333757,WED040_b,right,WED040_b_R,15397,glutamate,-1
1751361048,WED015,right,WED015_R,15398,gaba,-1
1751666374,LC17,noside,LC17,15399,gaba,-1
1751670748,LPLC2,noside,LPLC2,15400,acetylcholine,1
1751943911,LC12,noside,LC12,15401,gaba,-1
1751986317,LC46a,right,LC46a_R,15402,acetylcholine,1
1751994423,LC12,right,LC12(lVLPT7)_R,15403,gaba,-1
1752016801,LPLC2,right,LPLC2_R,15404,acetylcholine,1
1752046561,AVLP514,right,AVLP514_R,15405,acetylcholine,1
1752051506,WED111,right,WED111_R,15406,acetylcholine,1
1752067852,PLP227,right,PLP227_R,15407,acetylcholine,1
1752089949,SAD015,right,SAD015_R,15408,gaba,-1
1752089996,SAD018,right,SAD018_R,15409,gaba,-1
1752090091,PVLP046,right,PVLP046_R,15410,gaba,-1
1752090152,SAD018,right,SAD018_R,15411,gaba,-1
1752124422,WED048,right,WED048_R,15412,acetylcholine,1
1752671998,LC12,right,LC12(lVLPT7)_R,15413,gaba,-1
1752672460,LC17,noside,LC17,15414,gaba,-1
1752694591,LC18,noside,LC18,15415,acetylcholine,1
1752699920,LC18,noside,LC18,15416,acetylcholine,1
1752962124,LC17,noside,LC17,15417,gaba,-1
1752988351,LC27,noside,LC27,15418,acetylcholine,1
1753009526,LC14,right,LC14_R,15419,acetylcholine,1
1753034787,LC18,noside,LC18,15420,acetylcholine,1
1753112545,WED047,right,WED047_R,15421,acetylcholine,1
1753116740,AVLP278,right,AVLP278_R,15422,acetylcholine,1
1753116913,AVLP264,right,AVLP264_R,15423,acetylcholine,1
1753117041,WED047,right,WED047_R,15424,acetylcholine,1
1753195131,AVLP462,right,AVLP462_R,15425,gaba,-1
1753354492,LC12,right,LC12(lVLPT7)_R,15426,gaba,-1
1753354584,LC12,noside,LC12,15427,gaba,-1
1753354657,LC12,noside,LC12,15428,gaba,-1
1753354671,LC12,noside,LC12,15429,gaba,-1
1753358619,LC12,noside,LC12,15430,gaba,-1
1753358914,LC12,noside,LC12,15431,gaba,-1
1753358965,LC12,noside,LC12,15432,gaba,-1
1753359080,LC12,noside,LC12,15433,gaba,-1
1753359088,LC12,right,LC12(lVLPT7)_R,15434,gaba,-1
1753359129,LC12,noside,LC12,15435,gaba,-1
1753359145,LC12,noside,LC12,15436,gaba,-1
1753359149,LC12,noside,LC12,15437,gaba,-1
1753359235,LC12,noside,LC12,15438,gaba,-1
1753359267,LC12,noside,LC12,15439,gaba,-1
1753359276,LC12,noside,LC12,15440,gaba,-1
1753359328,LC12,right,LC12(lVLPT7)_R,15441,gaba,-1
1753363739,LC12,right,LC12(lVLPT7)_R,15442,gaba,-1
1753367903,LC18,noside,LC18,15443,acetylcholine,1
1753371564,LC18,noside,LC18,15444,acetylcholine,1
1753385655,LC18,noside,LC18,15445,acetylcholine,1
1753449078,WED051,right,WED051_R,15446,acetylcholine,1
1753449164,AVLP261,right,AVLP261_R,15447,acetylcholine,1
1753449224,AVLP264,right,AVLP264_R,15448,acetylcholine,1
1753453311,AVLP265,right,AVLP265_R,15449,acetylcholine,1
1753458358,WED052,right,WED052_R,15450,acetylcholine,1
1753523046,WED013,right,WED013_R,15451,gaba,-1
1753670596,LC17,right,LC17(lVLPT4)_R,15452,gaba,-1
1753674977,LPLC2,right,LPLC2_R,15453,acetylcholine,1
1753690864,LC12,right,LC12(lVLPT7)_R,15454,gaba,-1
1753690966,LC12,noside,LC12,15455,gaba,-1
1753691086,LC12,noside,LC12,15456,gaba,-1
1753691232,LC12,noside,LC12,15457,gaba,-1
1753695151,LC12,noside,LC12,15458,gaba,-1
1753695182,LC12,right,LC12(lVLPT7)_R,15459,gaba,-1
1753695198,LC12,noside,LC12,15460,gaba,-1
1753695251,LC12,noside,LC12,15461,gaba,-1
1753695319,LC12,right,LC12(lVLPT7)_R,15462,gaba,-1
1753695328,LC12,noside,LC12,15463,gaba,-1
1753695329,LC12,noside,LC12,15464,gaba,-1
1753695387,LC12,noside,LC12,15465,gaba,-1
1753695482,LC12,right,LC12(lVLPT7)_R,15466,gaba,-1
1753695554,LC12,right,LC12(lVLPT7)_R,15467,gaba,-1
1753695569,LC12,noside,LC12,15468,gaba,-1
1753695576,LC12,right,LC12(lVLPT7)_R,15469,gaba,-1
