bodyId,cell_type,side,instance,idx,top_nt,sign
1700941431,ORN_DL1,right,ORN_DL1_R,14844,acetylcholine,1
1700941475,ORN_DL1,right,ORN_DL1_R,14845,acetylcholine,1
1700941629,ORN_DL1,left,ORN_DL1_L,14846,acetylcholine,1
1700941902,ORN_DL1,right,ORN_DL1_R,14847,acetylcholine,1
1700946085,ORN_DL1,left,ORN_DL1_L,14848,acetylcholine,1
1700946301,DL1_adPN,right,DL1_adPN_R,14849,acetylcholine,1
1700946302,ORN_DL1,right,ORN_DL1_R,14850,acetylcholine,1
1700980443,ORN_DM3,left,ORN_DM3_L,14851,serotonin,1
1700980593,ORN_DC4,right,ORN_DC4_R,14852,acetylcholine,1
1700980626,ORN_DC4,right,ORN_DC4_R,14853,acetylcholine,1
1700980659,ORN_DC4,right,ORN_DC4_R,14854,acetylcholine,1
1700980693,ORN_DC4,right,ORN_DC4_R,14855,acetylcholine,1
1700980727,ORN_DC4,right,ORN_DC4_R,14856,acetylcholine,1
1700984539,ORN_DM3,left,ORN_DM3_L,14857,serotonin,1
1700984878,ORN_DM4,right,ORN_DM4_R,14858,acetylcholine,1
1701273869,ORN_DL1,right,ORN_DL1_R,14859,acetylcholine,1
1701277993,ORN_DL1,left,ORN_DL1_L,14860,acetylcholine,1
1701278023,ORN_DL1,right,ORN_DL1_R,14861,acetylcholine,1
1701282729,ORN_DL1,right,ORN_DL1_R,14862,acetylcholine,1
1701286638,ORN_DL1,left,ORN_DL1_L,14863,acetylcholine,1
1701287251,ORN_DL1,right,ORN_DL1_R,14864,acetylcholine,1
1701299822,M_imPNl92,right,M_imPNl92_R,14865,acetylcholine,1
1701312982,ORN_DL5,noside,ORN_DL5,14866,acetylcholine,1
1701325725,M_vPNml73,right,M_vPNml73_R,14867,gaba,-1
1701343239,ORN_D,noside,ORN_D,14868,acetylcholine,1
1701424950,ORN_DA4m,noside,ORN_DA4m,14869,acetylcholine,1
1701614773,ORN_DL1,left,ORN_DL1_L,14870,acetylcholine,1
1701614779,ORN_DL1,right,ORN_DL1_R,14871,acetylcholine,1
