bodyId,cell_type,side,idx
5813041556,PFNp_c,noside,21084
5813041581,PLP126,right,21085
5813041596,vDeltaB,noside,21086
5813041610,FC2C,left,21087
5813041641,PLP110,right,21088
5813041681,vDeltaH,noside,21089
5813041684,FS1B,left,21090
5813041705,FB6J,right,21091
5813041707,CL158,right,21092
5813041796,FB4X,left,21093
5813041801,LC10,noside,21094
5813042599,ORN_VM1,noside,21095
5813042602,ORN_VM1,noside,21096
5813042603,ORN_VM1,noside,21097
5813042606,ORN_VM1,noside,21098
5813042607,ORN_VM1,noside,21099
5813042616,KCab-m,right,21100
5813042659,MBON22,right,21101
5813042873,LPLC1,right,21102
5813042961,LAL046,right,21103
5813043073,SLP262,right,21104
5813043629,LAL144,right,21105
5813044139,PS225,right,21106
5813044177,M_lPNm11A,right,21107
5813044385,PLP135,right,21108
5813044422,hDeltaK,noside,21109
5813044501,PLP049,right,21110
5813044569,LC10,noside,21111
5813044638,CL277,right,21112
5813044670,PFNv,noside,21113
5813044712,FB4Z,left,21114
5813044812,AOTU056,right,21115
5813044882,LC9,right,21116
5813044889,MC61,noside,21117
5813044940,LT51,right,21118
5813044992,vDeltaF,noside,21119
5813045007,MC61,noside,21120
5813045024,LC26,noside,21121
5813045027,LC24,noside,21122
5813045050,ER3w_b,left,21123
5813045216,FB3C,right,21124
5813045288,PS223,right,21125
5813045296,LAL165,right,21126
5813045297,MC62,right,21127
5813045346,PS273,right,21128
5813045353,PS034,right,21129
5813045396,PS222,right,21130
5813045400,DNp17,right,21131
5813045401,PS225,right,21132
5813045442,IB099,left,21133
5813045465,PVLP087,right,21134
5813045475,LPC1,noside,21135
5813045557,MC66,noside,21136
5813045601,MC66,noside,21137
5813045606,WED038,right,21138
5813045646,LC15,noside,21139
5813045696,M_vPNml86,right,21140
5813045760,AVLP353,right,21141
5813045787,OCG03,noside,21142
5813045792,LPLC1,right,21143
5813045806,PLP220,right,21144
5813045867,LC22,right,21145
5813046025,LLPC2b,noside,21146
5813046027,LLPC2a,noside,21147
5813046028,LLPC1,noside,21148
5813046075,PVLP066,right,21149
5813046117,LLPC2a,noside,21150
5813046199,ORN_DC3,right,21151
5813046209,ORN_VA1v,noside,21152
5813046210,ORN_VA1v,noside,21153
5813046237,LPC1,noside,21154
5813046239,LPC1,noside,21155
5813046241,LPC1,noside,21156
5813046242,LPC1,noside,21157
5813046300,LLPC2c,noside,21158
5813046303,LLPC2c,noside,21159
5813046306,LLPC1,noside,21160
5813046478,LPLC2,right,21161
5813046525,ORN_VC5,noside,21162
5813046526,ORN_VC5,noside,21163
5813046529,ORN_VC5,noside,21164
5813046530,ORN_VC5,noside,21165
5813046796,ORN_V,right,21166
5813046951,pC1a,right,21167
5813046962,SLP296,right,21168
5813046963,FS4B,left,21169
5813046968,LHCENT12,right,21170
5813046991,SLP024_c,right,21171
5813047004,LHAV3n1,right,21172
5813047019,LHAD1b3,right,21173
5813047024,SLP058,right,21174
5813047053,SLP078,right,21175
5813047101,CL086_e,right,21176
5813047130,LHPV5j5,right,21177
5813047150,LHAV1d1,right,21178
5813047157,PEN_b(PEN2),noside,21179
5813047173,LHAV5a6_a,right,21180
5813047174,LHPV5h2,right,21181
5813047178,LHAV3b13,right,21182
5813047192,LHAV1d2_b,right,21183
5813047199,DNp24,right,21184
5813047212,LHAV2c1,right,21185
5813047220,KCa'b'-m,right,21186
5813047221,KCa'b'-m,right,21187
5813047222,LHPV5b6,right,21188
5813047255,LHAV6a10,right,21189
5813047371,SLP122,right,21190
5813047383,AVLP237_a,right,21191
5813047407,LHAV5d1,right,21192
5813047425,SMP604,left,21193
5813047446,ER2_a,left,21194
5813047453,LAL001,right,21195
5813047467,AVLP524_a,right,21196
5813047489,AVLP531,right,21197
5813047516,WED030,right,21198
5813047522,LT54,left,21199
5813047527,ORN_DL2d,right,21200
5813047586,SLP316,right,21201
5813047616,FB5I,left,21202
5813047626,hDeltaK,noside,21203
