pre,post,plen,threshold_0,threshold_0.001,threshold_0.01,threshold_0.03,threshold_0.05,threshold_0.1
AN_GNG_125,CB2417,3,False,False,False,False,False,False
AN_GNG_125,CB2417,4,False,False,False,False,False,False
AN_GNG_125,CB2417,5,False,False,False,False,False,False
AN_GNG_125,CB1810,2,False,False,False,False,False,False
AN_GNG_125,CB1810,3,False,False,False,False,False,False
AN_GNG_125,CB1810,4,False,False,False,False,False,False
AN_GNG_125,CB1810,5,False,False,False,False,False,False
AN_GNG_125,CB2440,2,False,False,False,False,False,False
AN_GNG_125,CB2440,3,False,False,False,False,False,False
AN_GNG_125,CB2440,4,False,False,False,False,False,False
AN_GNG_125,CB2440,5,False,False,False,False,False,False
AN_GNG_125,AVLP496a,2,False,False,False,False,False,False
AN_GNG_125,AVLP496a,3,False,False,False,False,False,False
AN_GNG_125,AVLP496a,4,False,False,False,False,False,False
AN_GNG_125,AVLP496a,5,False,False,False,False,False,False
AN_GNG_125,OA-VUMa2,2,False,False,False,False,False,False
AN_GNG_125,OA-VUMa2,3,False,False,False,False,False,False
AN_GNG_125,OA-VUMa2,4,False,False,False,False,False,False
AN_GNG_125,OA-VUMa2,5,False,False,False,False,False,False
AN_GNG_125,Li13,2,False,False,False,False,False,False
AN_GNG_125,Li13,3,False,False,False,False,False,False
AN_GNG_125,Li13,4,False,False,False,False,False,False
AN_GNG_125,Li13,5,False,False,False,False,False,False
AN_GNG_125,DNg42,2,False,False,False,False,False,False
AN_GNG_125,DNg42,3,False,False,False,False,False,False
AN_GNG_125,DNg42,4,False,False,False,False,False,False
AN_GNG_125,DNg42,5,False,False,False,False,False,False
AN_GNG_125,AN_GNG_32,2,False,False,False,False,False,False
AN_GNG_125,AN_GNG_32,3,False,False,False,False,False,False
AN_GNG_125,AN_GNG_32,4,False,False,False,False,False,False
AN_GNG_125,AN_GNG_32,5,False,False,False,False,False,False
AN_GNG_125,cL02b,2,False,False,False,False,False,False
AN_GNG_125,cL02b,3,False,False,False,False,False,False
AN_GNG_125,cL02b,4,False,False,False,False,False,False
AN_GNG_125,cL02b,5,False,False,False,False,False,False
AN_GNG_125,VES012,2,False,False,False,False,False,False
AN_GNG_125,VES012,3,False,False,False,False,False,False
AN_GNG_125,VES012,4,False,False,False,False,False,False
AN_GNG_125,VES012,5,False,False,False,False,False,False
AN_GNG_125,SMP598,2,False,False,False,False,False,False
AN_GNG_125,SMP598,3,False,False,False,False,False,False
AN_GNG_125,SMP598,4,False,False,False,False,False,False
AN_GNG_125,SMP598,5,False,False,False,False,False,False
AN_GNG_125,DNp17,2,False,False,False,False,False,False
