,root_id,cell_type,side,top_nt,super_class,cell_class,cell_sub_class,ito_lee_hemilineage,hartenstein_hemilineage,idx,sign,coords
4506,720575940646354211,KCg-m,left,acetylcholine,central,Kenyon_Cell,,MBp3,MBp3,135564,1,
4507,720575940620020257,KCapbp-ap2,right,acetylcholine,central,Kenyon_Cell,,MBp1,MBp1,41621,1,
4508,720575940633396636,CB0757,left,glutamate,central,,,putative_primary,putative_primary,112744,-1,
4509,720575940629854671,LC10d,right,acetylcholine,visual_projection,,,VPNd2,,95952,1,
4510,720575940618035249,CB1903,right,acetylcholine,central,,,VLPl1_or_VLPl5,BLVa3_or_4,33392,1,
4511,720575940621625607,CB1904,left,acetylcholine,central,,,VLPl&p2_lateral,BLVp1_anterior,50515,1,
4512,720575940618696989,CB0964,left,gaba,central,,,putative_primary,putative_primary,36312,-1,
4513,720575940631538643,"CL301,CL302",right,acetylcholine,central,,,PSp3,DPMl1,104845,1,
4514,720575940639368270,CB1114,right,acetylcholine,central,,,LHa2,BLVa1,127382,1,
4515,720575940645304942,CL283a,left,glutamate,central,,,VPNp&v1_ventral,BLP1_ventral,134602,-1,
4516,720575940621478861,"PFNm,PFNp",left,acetylcholine,central,CX,,DM3_CX_v,DPMpm2_CX_v,49633,1,
4517,720575940632873442,AVLP548_e,left,glutamate,central,,,VLPp1,BLP2,110807,-1,
4518,720575940616923195,720575940616923195,left,acetylcholine,central,,,MBp1,MBp1,29084,1,
4519,720575940636068532,LC26,right,acetylcholine,visual_projection,,,,,119915,1,
4520,720575940625686842,WED040,right,glutamate,central,,,SLPa&l1_lateral,BLAvm_posterior,72942,-1,
4521,720575940615435330,CB1905,left,glutamate,central,,,SLPal3_and_SLPal4_dorsal,BLAd3_and_BLAd4_dorsal,23916,-1,
4522,720575940621174192,KCab,right,acetylcholine,central,Kenyon_Cell,,MBp1,MBp1,47898,1,
4523,720575940618428830,v2LN49,right,glutamate,central,ALLN,,ALv2,BAla2,35197,-1,
4524,720575940625371155,CB1906,right,acetylcholine,central,,,VLPa1_lateral,DALl2_lateral,71373,1,
4525,720575940627603733,LHPV5a5,right,acetylcholine,central,,,DL2_dorsal,CP3_dorsal,83663,1,
4526,720575940613849962,CB1023,left,glutamate,central,,,LB3,LB3,18734,-1,
4527,720575940611251442,CB1510,left,gaba,central,,,WEDd2,BAmd2,10921,-1,
4528,720575940605488305,CB1908,left,acetylcholine,central,,,VLPl&p2_posterior,BLVp1_posterior,1783,1,
4529,720575940619772525,"VP5+_l2PN,VP5+VP2_l2PN",right,acetylcholine,central,ALPN,multiglomerular,ALl1_ventral,BAlc_ventral,40525,1,
4530,720575940626474377,LC10a,right,acetylcholine,visual_projection,,,VPNd2,,76916,1,
4531,720575940637846618,KCab,right,acetylcholine,central,Kenyon_Cell,,MBp2,MBp2,123911,1,
4532,720575940619249061,LC10a,right,acetylcholine,visual_projection,,,VPNd2,,38527,1,
4533,720575940629437545,LAL054,right,glutamate,central,,,VLPl2_medial,BLAv2_medial,93877,-1,
4534,720575940622842441,CB1909,left,acetylcholine,central,,,VPNl&d1_dorsal,BLAl2_dorsal,57482,1,
4535,720575940628935877,PVLP133,left,acetylcholine,central,,,VPNp1_medial,BLD5_medial,91351,1,
4536,720575940632749212,CB1910,right,acetylcholine,central,,,VLPl&p1_posterior,BLVp2_posterior,110252,1,
4537,720575940622398728,KCab,right,acetylcholine,central,Kenyon_Cell,,MBp2,MBp2,55074,1,
4538,720575940631064387,CB1911,right,glutamate,central,,,LHl2_ventral,DPLal2_ventral,102410,-1,
4539,720575940628141818,"FC1D,FC1E",right,acetylcholine,central,CX,columnar,DM3_CX_d2,DPMpm2_CX_d2,86815,1,
4540,720575940622780799,CB1912,left,acetylcholine,central,,,VPNl&d1_dorsal,BLAl2_dorsal,57155,1,
4541,720575940629795331,LC26,right,acetylcholine,visual_projection,,,,,95650,1,
4542,720575940631491887,CB1913,left,glutamate,central,,,CLp2,CP4,104612,-1,
4543,720575940626112062,LAL014,right,acetylcholine,central,,,putative_primary,putative_primary,75211,1,
4544,720575940610603214,SA2,left,glutamate,central,CX,,LALv1_dorsal,BAmv1_dorsal,9514,-1,
4545,720575940630980909,VES076,left,acetylcholine,central,,,PSp2,CM5,101957,1,
4546,720575940627591273,LC17,left,acetylcholine,visual_projection,,,VPNv1,,83609,1,
4547,720575940622073235,"TuBu09,TuBu10",left,acetylcholine,central,TuBu,,AOTUv3_dorsal,DALcl1_dorsal,53079,1,
4548,720575940616415003,720575940616415003,center,gaba,central,,,LB0_anterior,LB0_anterior,27323,-1,
4549,720575940632803375,CB1914,left,acetylcholine,central,,,DM6_central1,CM3_central1,110497,1,
4550,720575940631654713,CB1456,left,glutamate,central,,,SMPad1,DAMv1_or_2,105412,-1,
4551,720575940625404903,MTe03,right,acetylcholine,visual_projection,,,,,71544,1,
4552,720575940612195737,SLP069,left,glutamate,central,,,putative_primary,putative_primary,13384,-1,
4553,720575940618335301,SLP295a,right,glutamate,central,,,SLPpm1,DPLm1,34809,-1,
4554,720575940624384304,CB1517,right,gaba,central,,,TRdm,TRdm,66359,-1,
4555,720575940629978666,KCg-m,right,acetylcholine,central,Kenyon_Cell,,MBp2,MBp2,96668,1,
4556,720575940614383426,AVLP252,right,gaba,central,,,LALa1_anterior,BAlp2_anterior,20272,-1,
4557,720575940634001247,MTe50,right,acetylcholine,visual_projection,,,,,114606,1,
4558,720575940630192215,MTe52,right,acetylcholine,visual_projection,,,,,97731,1,
4559,720575940606578976,AVLP342,left,acetylcholine,central,,,,,3465,1,
4560,720575940630660183,SMP156,right,glutamate,central,,,putative_primary,putative_primary,100152,-1,
4561,720575940613804906,LPLC2,right,acetylcholine,visual_projection,,,VPNd1,BLD6,18619,1,
4562,720575940619147349,KCab,right,acetylcholine,central,Kenyon_Cell,,MBp1,MBp1,38160,1,
