,root_id,cell_type,side,top_nt,super_class,cell_class,cell_sub_class,idx,sign
79873,720575940629240826,TmY4,right,acetylcholine,optic,ME>LO.LOP,,32158,1
79874,720575940620620385,Tm16,right,acetylcholine,optic,ME>LO,,15311,1
79876,720575940614986719,T5b,right,acetylcholine,optic,LO>LOP,,7621,1
79877,720575940630416123,Y3,right,acetylcholine,optic,LOP>ME.LO,,34154,1
79881,720575940631470137,Dm21,right,gaba,optic,ME,,36105,-1
79882,720575940620910957,T5c,right,acetylcholine,optic,LO>LOP,,15966,1
79883,720575940627547665,T3,right,acetylcholine,optic,ME>LO,,28866,1
79885,720575940605438398,Tm2,right,acetylcholine,optic,ME>LO,,528,1
79888,720575940626677013,Mi2,right,glutamate,optic,ME,,26834,-1
79889,720575940637471054,Mi1,right,acetylcholine,optic,ME,columnar,42641,1
79890,720575940637431110,Mi1,right,acetylcholine,optic,ME,columnar,42610,1
79891,720575940630984267,T3,right,acetylcholine,optic,ME>LO,,35244,1
79892,720575940600866569,T5d,right,acetylcholine,optic,LO>LOP,,24,1
79893,720575940613711254,T4a,right,acetylcholine,optic,ME>LOP,,6237,1
79894,720575940628936039,TmY18,right,acetylcholine,optic,ME>LO.LOP,,31650,1
79895,720575940633387233,T4c,right,acetylcholine,optic,ME>LOP,,39024,1
79896,720575940628029202,T5c,right,acetylcholine,optic,LO>LOP,,29821,1
79898,720575940624193866,T5c,right,acetylcholine,optic,LO>LOP,,22585,1
79899,720575940612277454,L1,right,glutamate,optic,LA>ME,L1-5,4537,-1
79900,720575940643436960,T5a,right,acetylcholine,optic,LO>LOP,,46167,1
79901,720575940613312423,T4b,right,acetylcholine,optic,ME>LOP,,5756,1
79902,720575940613428451,T2a,right,acetylcholine,optic,ME>LO,,5878,1
79904,720575940659821697,T5c,right,acetylcholine,optic,LO>LOP,,48283,1
79905,720575940621428724,T5c,right,acetylcholine,optic,LO>LOP,,17042,1
79906,720575940623243658,C2,right,gaba,optic,ME>LA,,20720,-1
79908,720575940618038651,T4a,right,acetylcholine,optic,ME>LOP,,11438,1
79909,720575940641328692,T2a,right,acetylcholine,optic,ME>LO,,45534,1
79910,720575940610268017,T2a,right,acetylcholine,optic,ME>LO,,3021,1
79913,720575940620217280,T2,right,acetylcholine,optic,ME>LO,,14562,1
79914,720575940620710994,Dm3,right,glutamate,optic,ME,,15531,-1
79918,720575940618996894,T2,right,acetylcholine,optic,ME>LO,,12867,1
79919,720575940611497518,Pm4,right,gaba,optic,ME,,3837,-1
79920,720575940622674637,Lawf1,right,acetylcholine,optic,ME>LA,,19551,1
79924,720575940620115136,720575940620115136,right,acetylcholine,optic,ME>LO,,14419,1
79926,720575940612727770,T2a,right,acetylcholine,optic,ME>LO,,5060,1
79927,720575940615090079,T3,right,acetylcholine,optic,ME>LO,,7741,1
79929,720575940606709890,T3,right,acetylcholine,optic,ME>LO,,1243,1
79930,720575940621126491,Mi14,right,glutamate,optic,ME,,16416,-1
79933,720575940625688250,T2a,right,acetylcholine,optic,ME>LO,,25179,1
79934,720575940617656404,T2a,right,acetylcholine,optic,ME>LO,,10901,1
79935,720575940614682986,T2a,right,acetylcholine,optic,ME>LO,,7232,1
79936,720575940626323075,T3,right,acetylcholine,optic,ME>LO,,26202,1
79937,720575940619860790,Dm12,right,glutamate,optic,ME,,14014,-1
79940,720575940617331345,L5,right,acetylcholine,optic,LA>ME,L1-5,10451,1
79946,720575940623056161,Mi4,right,gaba,optic,ME,columnar,20310,-1
79947,720575940617262453,L1,right,glutamate,optic,LA>ME,L1-5,10352,-1
79949,720575940628931816,TmY18,right,acetylcholine,optic,ME>LO.LOP,,31640,1
79951,720575940622122710,Mi4,right,gaba,optic,ME,columnar,18499,-1
79953,720575940647073412,TmY9,right,acetylcholine,optic,ME>LO.LOP,,47356,1
79955,720575940630672581,Tm1,right,acetylcholine,optic,ME>LO,,34616,1
79956,720575940610438898,Mi1,right,acetylcholine,optic,ME,columnar,3108,1
79961,720575940619712670,T1,right,acetylcholine,optic,ME>LA,,13771,1
79962,720575940621397089,L3,right,acetylcholine,optic,LA>ME,L1-5,16981,1
79963,720575940630482814,CB3851,right,acetylcholine,optic,ME>LO,,34284,1
79965,720575940627512728,Dm12,right,glutamate,optic,ME,,28778,-1
79966,720575940643891104,C2,right,gaba,optic,ME>LA,,46325,-1
79967,720575940609209948,C2,right,gaba,optic,ME>LA,,2390,-1
79969,720575940631711628,L5,right,acetylcholine,optic,LA>ME,L1-5,36488,1
79970,720575940632557281,T2,right,acetylcholine,optic,ME>LO,,37854,1
79971,720575940635967374,T2,right,acetylcholine,optic,ME>LO,,41486,1
79974,720575940621599216,C2,right,gaba,optic,ME>LA,,17381,-1
79975,720575940624376712,Dm2,right,acetylcholine,optic,ME,,22977,1
79978,720575940623806908,Tm4,right,acetylcholine,optic,ME>LO,,21753,1
79979,720575940629742786,T2,right,acetylcholine,optic,ME>LO,,32948,1
79980,720575940631873863,Tm9,right,acetylcholine,optic,ME>LO,,36695,1
79981,720575940628276674,Mi9,right,glutamate,optic,ME,,30326,-1
79982,720575940618759757,T2,right,acetylcholine,optic,ME>LO,,12601,1
79984,720575940623149692,T3,right,acetylcholine,optic,ME>LO,,20525,1
79985,720575940619301485,T3,right,acetylcholine,optic,ME>LO,,13258,1
79987,720575940649439097,T3,right,acetylcholine,optic,ME>LO,,47706,1
79989,720575940644604183,T3,right,acetylcholine,optic,ME>LO,,46547,1
79991,720575940655390113,L4,right,acetylcholine,optic,LA>ME,L1-5,48143,1
79992,720575940625174759,Mi15,right,acetylcholine,optic,ME,,24410,1
79994,720575940618007877,Tm1,right,acetylcholine,optic,ME>LO,,11400,1
79996,720575940613864298,Tm2,right,acetylcholine,optic,ME>LO,,6350,1
