bodyId,hitting_time,cell_group
11369,1.895911867,DNc01
11372,2.586201891,LC9
11375,2.538549711,MeVPLo1
11384,2.427661891,MeVPMe6
11385,2.285847507,MeVC22
11394,2.430603868,Li16
11396,1.860809289,MeVPMe3
11406,2.483773908,LoVC1
11435,2.381908593,LoVP54
11446,2.212113166,MeVP49
11454,2.655255413,MeVPaMe1
11463,2.756752621,LT51
11473,2.349620307,LT61a
11485,2.604260984,MeVPLo1
11507,2.033475894,PLP211
11522,2.800254263,LT86
11551,2.993511306,VS
11579,2.725968884,LT82a
11586,2.624218107,LoVC19
11595,2.356419335,MeVP23
11602,2.302840957,OA-ASM1
11609,2.861639263,LPT49
11628,2.266656571,LT40
11641,2.897202994,MeVPLp2
11658,2.775657086,LoVCLo1
11665,2.64419274,LoVC19
11669,2.102069814,MeVPMe7
11670,2.731105412,LT51
11684,2.002495061,MeVPLp2
11689,2.447683466,Li16
11690,2.414350102,MeVP29
11696,2.909098598,LPT26
11715,1.734662786,l-LNv
11716,2.024085502,MeVC21
11769,2.097285228,LoVP18
11773,2.05967079,MeVP36
11802,2.77346502,LT46
11806,2.695424846,LoVCLo2
11807,1.000334501,Dm19
11812,2.560344768,LC31b
11842,2.12883291,MeVP56
11843,2.83074802,LoVCLo1
11852,1.000211366,Dm19
11853,2.08896562,MeVPMe1
11855,2.061358669,MeVC21
11858,2.029272449,MeVC21
11887,2.745176765,LT82b
11901,2.271732083,5thsLNv_LNd6
11907,2.899127952,LoVP90a
11911,2.227316031,LT88
11918,1.944957284,aMe4
11926,2.579610614,LoVP85
11939,2.696640934,MeVC27
11947,2.501762219,MeVPLo1
11953,2.5043515,LT51
11981,2.000306745,Li28
11999,2.014495456,l-LNv
12011,1.00029687,Dm19
12013,2.656267287,MeVPMe5
12021,1.000286483,Dm19
12047,1.000229865,Dm19
12048,2.068558129,MeVP57
12067,2.53390963,LoVCLo2
12070,2.136859573,MeVPMe6
12078,1.001113771,Dm6
12087,1.000309251,Dm19
12094,2.85989277,LoVP90c
12099,1.001359989,Dm6
12105,3.046845528,MeVC7b
12112,1.878560206,MeVC12
12140,2.359392652,MeVPLo1
12145,2.060028108,LoVP53
12149,2.474211289,Cm30
12172,1.997338688,MeVPaMe2
12174,2.666222381,LoVC9
12193,1.000319113,Dm19
12200,1.000257967,Dm19
12202,2.742594174,LoVP90b
12204,1.000218586,Dm19
12211,2.240384859,aMe12
12235,2.787828621,MeVC5
12236,2.75415172,LC31b
12240,1.996445423,aMe17b
12254,2.227909354,5thsLNv_LNd6
12295,2.200781183,aMe20
12328,2.884526193,Nod5
12382,2.173460296,MeVP28
12398,2,AN27X013
12415,2.51630472,MeLo8
12416,2.340734216,MeVP38
12428,2.157987056,MeVP9
12436,1.000187825,Dm19
12439,2.271190238,LT84
12440,2.126942622,MeVPaMe1
12456,2.348292416,Cm30
12468,2.300290991,LoVC13
12475,2.391498635,LoVC15
12505,2.321408814,Li12
12517,3.038174316,aMe12
12521,2.989479198,HST
12528,2.674051169,MeVPMe5
12538,1.001555723,Dm6
12540,1.000348605,Dm19
12586,2.233882939,LC14a-1
12591,2.009541615,MeVPMe1
12630,2.061145395,Mi19
12632,1.00036374,Dm19
12638,2.568753037,MeLo8
12639,1.443388755,MeVP43
12640,2.516592166,MeVP59
12643,2.05129324,Cm32
12662,2.041495925,MeVPMe4
12686,2.217966502,LoVP96
12688,2.537023027,OA-ASM1
12697,2.841141052,MeVC8
12704,2.52081487,MeVPMe5
12712,2.925456987,LC33
12713,2.164438044,Cm33
12718,2.001039599,aMe17b
12719,1.001356171,Dm6
12727,1.204116254,aMe30
12737,2.239719571,aMe12
12740,1.224749387,aMe12
12748,2.464237867,MeVPMe5
12760,2.508783256,MeVPMe4
12764,2.028825329,MeVP9
12799,2.017644037,MeVPMe1
12805,2.016786922,MeVPMe7
12823,1.000311174,Dm19
12861,2.043600747,Mi19
12863,2.56377082,MeVC20
12872,1.175663845,aMe30
12884,1.000272007,Dm19
12912,2.483858652,MeLo8
12927,2.441297427,MeVPMe5
12931,2.371254803,LoVC15
12956,1.464908316,Mi2
12957,2.819591915,LT61b
12970,1,T1
12971,1.986429813,Dm13
12973,2.813351903,LPT30
12979,2.595141603,LT75
12986,1.000381919,Dm19
12987,2.356636396,Li12
13039,2.044970064,Mi19
13040,2.415926458,MeVC7a
13051,2.587652431,MeLo8
13076,2.264089501,MeVP25
13090,2.30509395,LT51
13113,2.149294379,Cm29
13120,2.334170411,MeVPMe5
13174,2.002838699,MeVP50
13190,1.189045806,aMe12
13196,2.344810903,LoVP86
13211,2.834222872,LPT114
13214,2.538263599,MeVPMe4
13260,1.001362235,Dm6
13265,1.001467024,Dm6
13285,2.175272742,MeVP41
13298,2.812243639,MeVP45
13326,2.75484686,LoVP79
13328,1.714017795,SLP250
13333,2.931780407,LPT111
13362,2.106446653,aMe25
13376,2.587417552,Li30
13387,2.753694866,aMe9
13447,2.145077467,Cm29
13457,2.390140346,aMe13
13462,2.00028234,Pm7
13473,2.508148758,LoVP49
13494,2.00016952,Dm13
13497,2.51797078,LT51
13506,1.990579524,Dm13
13511,1.996684678,Dm13
13530,1.000978782,Dm6
13532,2.978894032,LPT23
13547,2.0438317,MeVP9
13565,2.021559612,MeVP9
13569,2.403179298,MeVPMe5
13574,3.061331009,OLVC4
13588,2.747023384,Li30
13594,2.443676754,MeLo8
13617,1.996900706,Dm13
13623,1.969365213,aMe4
13634,1.980044156,aMe4
13663,2.441509476,MeVP33
13671,2.487091051,MeLo8
13673,2.543482283,MeLo8
13675,2.603910917,MeVC20
13678,1.993603521,Dm13
13679,2.585400259,MeVP18
13707,2.228430772,LoVP97
13727,2.62945408,LoVP103
13736,2.328687395,LoVC15
13776,2.38446987,MeLo8
13796,2.699615814,MeVC10
13797,2.001206083,Li29
13802,2.022766572,Cm28
13808,2.928107301,LPT114
13830,2.669029533,LT52
13838,1.000986781,Dm6
13842,2.791154983,LPT29
13847,1.996868011,Dm13
13849,2.571667478,MeLo8
13850,2.001202049,Li29
13869,1.00094324,Dm6
13874,2.543999336,LoVP42
13881,2.4016061,LoVP106
13912,1.001691011,Dm6
13926,2.409635188,MeLo8
13931,1.520481223,MeVP32
13933,1.99672687,Dm13
13938,2.514614683,MeVC24
13941,2.807834177,LoVP63
13957,1.942777861,aMe4
13965,1.875487644,Dm14
13982,2.026108098,Mi19
13997,2.371924075,MeLo8
14002,2.827343196,LC33
14006,2.993377487,vCal2
14027,2.597099611,LoVP64
14028,1.000718677,Dm6
14079,2.30620354,MeLo8
14080,1.001167861,Dm6
14083,2.974988941,LPT114
14104,1.001008982,Dm6
14107,1.895263131,Dm14
14118,2.509594535,Li30
14129,1.000821875,Dm6
14142,2.779249248,MeVP46
14179,2.616473133,LT67
14197,2.149958917,Cm29
14198,2.467119623,MeLo8
14199,2.289715535,LoVP58
14207,1.192635087,aMe3
14233,2.852238865,LoVP73
14245,2.467401981,MeLo8
14258,2.840679346,MeVPMe8
14299,1.642628975,Mi18
14300,1.995524421,MeVP9
14325,2.607813235,MeVP18
14356,2,aMe15
14370,2.409889076,LT51
14374,1.000866766,Dm6
14380,2.403237019,MeLo8
14416,2.997255799,VST2
14422,1.000769225,Dm6
14443,1.001489302,Dm6
14459,2.757098709,LT52
14462,2.43778864,MeLo8
14465,2.250960769,LPLC2
14479,2.768600016,LoVP47
14485,2.608622927,LT52
14499,2.098520903,aMe9
14512,2.477289823,LT55
14528,2.542475379,MeLo8
14531,1.001396125,Dm6
14544,1.996125415,Dm13
14571,2.981653014,LPT114
14581,2.138909716,TmY19a
14586,2.582288276,LC31b
14595,1.9958331,Dm13
14599,2.000269743,Pm7
14613,2.028800215,aMe22
14636,2.580525967,DN1a
14638,2.722562706,MeVPMe5
14645,1.001002226,Dm6
14646,1.941150267,aMe4
14647,2.888922767,LPT114
14650,2.51608952,MeVPMe5
14671,2.344011585,LT43
14676,1.995991222,Dm13
14694,2.454070701,5-HTPMPV01
14697,2.653826848,LT51
14706,2.593245778,LT78
14709,2.417998659,MeLo8
14754,2.366483678,MeVP59
14759,1.992195472,Dm13
14778,2.400596083,MeLo8
14800,2.000363361,Pm7
14812,1.001143287,Dm6
14819,2.840798533,LoVP35
14822,1.985303398,aMe4
14823,2.684409256,LT51
14848,2.925970868,LPT114
14867,2.737302903,Li11a
14872,1.001273702,Dm6
14878,1.954216261,aMe4
14879,2.676721322,Li11a
14882,2.18168811,MeVP30
14886,2.001105883,Li17
14898,1.000898963,Dm6
14903,2.001186963,Li17
14919,1.966691474,Lawf2
14927,2.000215447,Dm13
14929,2.312967203,MeVP8
14945,1.897853165,Dm14
14947,2.912465752,MeVPMe8
14977,2.450418757,MeVP54
15000,2.224882267,PVLP046
15007,2.360807748,aMe26
15021,2.072178592,aMe9
15025,1.897752725,Cm28
15029,2.391367289,aMe26
15042,2.644914307,LoVC22
15057,2.621054598,Li11b
15069,1.995895677,Dm13
15073,2.414415361,MeLo8
15074,2.82720682,LoVP68
15094,1.94577823,Dm18
15095,2.357937938,MeLo8
15109,2.728135315,LT74
15110,1,aMe6a
15112,2.768887018,MeVP46
15116,2.474173148,MeVP18
15127,2.005632007,Pm9
15150,2.638210122,LT52
15152,2.077602073,MeVPaMe2
15159,2.3719857,Cm25
15166,2.000357338,Pm2a
15194,2.143518381,TmY19a
15213,1.97723256,Dm13
15219,2.904274274,MeVPMe9
15243,2.006883441,Pm9
15248,1.000654049,Dm6
15264,2,PLP080
15268,1.97841987,Dm13
15281,2.001006147,Li17
15307,2.056214837,MeVP60
15308,2.010169885,Pm9
15319,2.243904064,AOTU045
15334,2.536950037,MeVP62
15343,2.281139096,LoVC17
15348,2.451181652,LLPC4
15363,2.814369105,LoVP59
15366,1.99137219,Dm13
15367,2.617949906,LT52
15368,2.000198201,Dm13
15371,2.967544176,LPT51
15377,2.347032555,aMe26
15392,1.995836567,Dm13
15400,2.746296315,LoVP67
15402,2.756704641,LT51
15412,1.988936208,Dm18
15422,2.997034465,VST2
15440,2.001173675,Li17
15447,2.081620441,MeVP48
15460,2.077453819,Pm3
15468,2.503632867,MeLo8
15494,1.991664258,Dm18
15497,2.103584213,TmY19a
15510,2.006421667,Pm9
15514,2.210288005,AN27X013
15562,1.99149427,Dm18
15576,2.499728141,LoVP40
15581,2.701560464,LC9
15584,2.595125708,LT52
15586,2.629304272,LoVP31
15589,1.000808757,Dm6
15593,2.648927151,LoVP48
15608,1.001033854,Dm6
15635,2.098876082,PS272
15642,2.682351402,LC33
15644,2.070529082,Pm3
15656,2.584701104,MeVP62
15661,2.014739633,MeLo9
15670,1.001136727,Dm6
15680,1.000440441,aMe6c
15688,2.299530598,LoVP50
15716,2.457210409,LoVP45
15719,1.856421397,Mi18
15737,2.610345278,LoVP107
15741,2.066310348,Pm3
15743,2.181135646,TmY14
15745,2.990179803,LPT114
15750,2.000328988,Pm7
15752,1.870427785,Dm14
15761,2.666523654,LoVP108
15770,2.307544737,MeVPMe5
15771,2.432282362,LT76
15790,1.73855566,Mi18
15814,2.015045393,TmY19a
15826,2.0676264,Pm3
15829,2.001267312,Li17
15832,2.390595886,s-LNv
15838,2.059267843,Pm3
15853,2.000212171,Dm13
15858,1.99828887,Dm18
15863,2.074031887,SLP249
15868,2.536905772,MeVP62
15870,2.343991345,MeVP8
15891,2.001065079,Dm18
15892,1.001051085,Dm6
15908,2.177450502,LoVP50
15909,2.000229364,Li28
15910,2.013515527,MeLo9
15925,1.724475193,Mi18
15943,2.575021287,LoVP74
15987,2.489173139,LoVP46
16002,2.010856225,Pm9
16004,2.015228573,MeLo9
16007,2.047281139,TmY19a
16033,2.000240771,Li28
16034,1.9183017,Dm14
