,cell_type_side,idx,cell_type,super_class,cell_class,cell_sub_class,nt,sign,side
0,"(AVLP346,AVLP348)a_left",0,"(AVLP346,AVLP348)a",central,,,acetylcholine,1,left
1,"(AVLP346,AVLP348)a_right",1,"(AVLP346,AVLP348)a",central,,,acetylcholine,1,right
2,"(AVLP346,AVLP348)b_left",2,"(AVLP346,AVLP348)b",central,,,acetylcholine,1,left
3,"(AVLP346,AVLP348)b_right",3,"(AVLP346,AVLP348)b",central,,,acetylcholine,1,right
4,"(M_adPNm4,M_adPNm5)a_left",4,"(M_adPNm4,M_adPNm5)a",central,ALPN,multiglomerular,acetylcholine,1,left
5,"(M_adPNm4,M_adPNm5)a_right",5,"(M_adPNm4,M_adPNm5)a",central,ALPN,multiglomerular,acetylcholine,1,right
6,"(M_adPNm4,M_adPNm5)b_left",6,"(M_adPNm4,M_adPNm5)b",central,ALPN,multiglomerular,acetylcholine,1,left
7,"(M_adPNm4,M_adPNm5)b_right",7,"(M_adPNm4,M_adPNm5)b",central,ALPN,multiglomerular,acetylcholine,1,right
8,"(M_adPNm4,M_adPNm5)c_left",8,"(M_adPNm4,M_adPNm5)c",central,ALPN,multiglomerular,acetylcholine,1,left
9,"(M_adPNm4,M_adPNm5)d_left",9,"(M_adPNm4,M_adPNm5)d",central,ALPN,multiglomerular,acetylcholine,1,left
10,"(M_adPNm4,M_adPNm5)d_right",10,"(M_adPNm4,M_adPNm5)d",central,ALPN,multiglomerular,acetylcholine,1,right
11,"(M_lPNm12,M_lPNm13)a_left",11,"(M_lPNm12,M_lPNm13)a",central,ALPN,multiglomerular,acetylcholine,1,left
12,"(M_lPNm12,M_lPNm13)a_right",12,"(M_lPNm12,M_lPNm13)a",central,ALPN,multiglomerular,acetylcholine,1,right
13,"(M_lPNm12,M_lPNm13)b_left",13,"(M_lPNm12,M_lPNm13)b",central,ALPN,multiglomerular,acetylcholine,1,left
14,"(M_lPNm12,M_lPNm13)b_right",14,"(M_lPNm12,M_lPNm13)b",central,ALPN,multiglomerular,acetylcholine,1,right
15,"(PLP191,PLP192)a_left",15,"(PLP191,PLP192)a",central,,,acetylcholine,1,left
16,"(PLP191,PLP192)a_right",16,"(PLP191,PLP192)a",central,,,acetylcholine,1,right
17,"(PLP191,PLP192)b_left",17,"(PLP191,PLP192)b",central,,,acetylcholine,1,left
18,"(PLP191,PLP192)b_right",18,"(PLP191,PLP192)b",central,,,acetylcholine,1,right
19,"(PS023,PS024)a_left",19,"(PS023,PS024)a",central,,,acetylcholine,1,left
20,"(PS023,PS024)a_right",20,"(PS023,PS024)a",central,,,acetylcholine,1,right
21,"(PS023,PS024)b_left",21,"(PS023,PS024)b",central,,,acetylcholine,1,left
22,"(PS023,PS024)b_right",22,"(PS023,PS024)b",central,,,acetylcholine,1,right
23,"(PS082,PS084)a_left",23,"(PS082,PS084)a",central,,,glutamate,-1,left
24,"(PS082,PS084)a_right",24,"(PS082,PS084)a",central,,,glutamate,-1,right
25,"(PS082,PS084)b_left",25,"(PS082,PS084)b",central,,,glutamate,-1,left
26,"(PS082,PS084)b_right",26,"(PS082,PS084)b",central,,,glutamate,-1,right
27,"(PS142,PS148)a_left",27,"(PS142,PS148)a",central,,,glutamate,-1,left
28,"(PS142,PS148)a_right",28,"(PS142,PS148)a",central,,,glutamate,-1,right
29,"(PS142,PS148)b_left",29,"(PS142,PS148)b",central,,,glutamate,-1,left
30,"(PS142,PS148)b_right",30,"(PS142,PS148)b",central,,,glutamate,-1,right
31,"(SLP402,SMP426)a_left",31,"(SLP402,SMP426)a",central,,,glutamate,-1,left
32,"(SLP402,SMP426)a_right",32,"(SLP402,SMP426)a",central,,,glutamate,-1,right
33,"(SLP402,SMP426)b_left",33,"(SLP402,SMP426)b",central,,,glutamate,-1,left
34,"(SLP402,SMP426)b_right",34,"(SLP402,SMP426)b",central,,,glutamate,-1,right
35,"(SLP402,SMP426)c_left",35,"(SLP402,SMP426)c",central,,,glutamate,-1,left
36,"(SLP402,SMP426)c_right",36,"(SLP402,SMP426)c",central,,,glutamate,-1,right
37,"(SMP206,SLP327)a_left",37,"(SMP206,SLP327)a",central,,,acetylcholine,1,left
38,"(SMP206,SLP327)a_right",38,"(SMP206,SLP327)a",central,,,acetylcholine,1,right
39,"(SMP206,SLP327)b_left",39,"(SMP206,SLP327)b",central,,,acetylcholine,1,left
40,"(SMP206,SLP327)b_right",40,"(SMP206,SLP327)b",central,,,acetylcholine,1,right
41,5-HTPLP01_left,41,5-HTPLP01,central,,,glutamate,-1,left
42,5-HTPLP01_right,42,5-HTPLP01,central,,,glutamate,-1,right
43,5-HTPMPD01_left,43,5-HTPMPD01,central,,,dopamine,1,left
44,5-HTPMPD01_right,44,5-HTPMPD01,central,,,dopamine,1,right
45,5-HTPMPV01_left,45,5-HTPMPV01,central,,,dopamine,1,left
46,5-HTPMPV01_right,46,5-HTPMPV01,central,,,dopamine,1,right
47,5-HTPMPV03_left,47,5-HTPMPV03,visual_centrifugal,,,dopamine,1,left
48,5-HTPMPV03_right,48,5-HTPMPV03,visual_centrifugal,,,dopamine,1,right
49,720575940602309600_right,49,720575940602309600,ascending,AN,SA_DMT_DMetaN,acetylcholine,1,right
50,720575940602953388_left,50,720575940602953388,ascending,AN,SA_DMT_DMetaN,serotonin,1,left
51,720575940603446118_right,51,720575940603446118,ascending,AN,SA_DMT_DMetaN,acetylcholine,1,right
52,720575940603461478_right,52,720575940603461478,ascending,AN,SA_DMT_DMetaN,gaba,-1,right
53,720575940603479910_right,53,720575940603479910,ascending,AN,,acetylcholine,1,right
54,720575940603511584_left,54,720575940603511584,ascending,AN,SA_DMT_DMetaN,glutamate,-1,left
55,720575940603533246_center,55,720575940603533246,central,,,gaba,-1,center
56,720575940603605024_left,56,720575940603605024,ascending,AN,SA_DMT_DMetaN,gaba,-1,left
57,720575940603768497_right,57,720575940603768497,ascending,AN,SA_DMT_DMetaN,acetylcholine,1,right
58,720575940603776702_left,58,720575940603776702,ascending,AN,SA_DMT_DMetaN,acetylcholine,1,left
59,720575940603856352_right,59,720575940603856352,central,,,gaba,-1,right
60,720575940604023724_right,60,720575940604023724,ascending,AN,,gaba,-1,right
61,720575940604201830_center,61,720575940604201830,central,,,gaba,-1,center
62,720575940604211628_left,62,720575940604211628,ascending,AN,,acetylcholine,1,left
63,720575940604299552_left,63,720575940604299552,ascending,AN,,octopamine,1,left
64,720575940604355872_left,64,720575940604355872,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,serotonin,1,left
65,720575940604364134_right,65,720575940604364134,central,,,gaba,-1,right
66,720575940604621257_right,66,720575940604621257,ascending,AN,,glutamate,-1,right
67,720575940604693164_left,67,720575940604693164,central,,,acetylcholine,1,left
68,720575940604722278_center,68,720575940604722278,central,,,glutamate,-1,center
69,720575940604781158_right,69,720575940604781158,sensory,mechanosensory,unknown,serotonin,1,right
70,720575940604782624_right,70,720575940604782624,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,serotonin,1,right
71,720575940604808736_right,71,720575940604808736,central,,,gaba,-1,right
72,720575940604836128_left,72,720575940604836128,central,,,acetylcholine,1,left
73,720575940604852146_left,73,720575940604852146,sensory,gustatory,taste peg,acetylcholine,1,left
74,720575940604891522_left,74,720575940604891522,ascending,AN,SA_DMT_DMetaN,acetylcholine,1,left
75,720575940604930918_right,75,720575940604930918,central,,,gaba,-1,right
76,720575940604994336_left,76,720575940604994336,central,,,acetylcholine,1,left
77,720575940605019057_right,77,720575940605019057,central,,,acetylcholine,1,right
78,720575940605057922_left,78,720575940605057922,ascending,AN,SA_DMT_DMetaN,acetylcholine,1,left
79,720575940605095346_center,79,720575940605095346,central,,,gaba,-1,center
80,720575940605125152_left,80,720575940605125152,central,,,glutamate,-1,left
81,720575940605161388_left,81,720575940605161388,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,glutamate,-1,left
82,720575940605185312_right,82,720575940605185312,sensory,unknown_sensory,,acetylcholine,1,right
83,720575940605214636_center,83,720575940605214636,central,,,gaba,-1,center
84,720575940605277798_center,84,720575940605277798,central,,,gaba,-1,center
85,720575940605287358_right,85,720575940605287358,motor,,,acetylcholine,1,right
86,720575940605305010_left,86,720575940605305010,ascending,AN,SA_DMT_DMetaN,glutamate,-1,left
87,720575940605552818_right,87,720575940605552818,central,,,glutamate,-1,right
88,720575940605682790_right,88,720575940605682790,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,acetylcholine,1,right
89,720575940605699104_left,89,720575940605699104,sensory,mechanosensory,unknown,serotonin,1,left
90,720575940605856689_right,90,720575940605856689,central,,,acetylcholine,1,right
91,720575940605981105_left,91,720575940605981105,central,,,glutamate,-1,left
92,720575940605998978_right,92,720575940605998978,visual_projection,,,acetylcholine,1,right
93,720575940606044704_right,93,720575940606044704,visual_projection,,,acetylcholine,1,right
94,720575940606163842_right,94,720575940606163842,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,serotonin,1,right
95,720575940606239666_right,95,720575940606239666,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,acetylcholine,1,right
96,720575940606254002_left,96,720575940606254002,sensory,unknown_sensory,,acetylcholine,1,left
97,720575940606264422_right,97,720575940606264422,central,,,serotonin,1,right
98,720575940606401970_left,98,720575940606401970,ascending,AN,,serotonin,1,left
99,720575940606460290_left,99,720575940606460290,central,,,glutamate,-1,left
100,720575940606586325_right,100,720575940606586325,ascending,AN,,acetylcholine,1,right
101,720575940606597724_left,101,720575940606597724,central,CX,,acetylcholine,1,left
102,720575940606648608_left,102,720575940606648608,central,,,dopamine,1,left
103,720575940606677340_left,103,720575940606677340,central,,,acetylcholine,1,left
104,720575940606694758_right,104,720575940606694758,central,,,acetylcholine,1,right
105,720575940606757990_left,105,720575940606757990,central,,,acetylcholine,1,left
106,720575940606765758_center,106,720575940606765758,central,,,gaba,-1,center
107,720575940606819849_right,107,720575940606819849,central,,,acetylcholine,1,right
108,720575940606929282_right,108,720575940606929282,central,,,acetylcholine,1,right
109,720575940607152476_left,109,720575940607152476,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,glutamate,-1,left
110,720575940607166731_left,110,720575940607166731,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,acetylcholine,1,left
111,720575940607263068_right,111,720575940607263068,central,CX,,acetylcholine,1,right
112,720575940607276739_right,112,720575940607276739,central,,,gaba,-1,right
113,720575940607409282_left,113,720575940607409282,visual_projection,,,glutamate,-1,left
114,720575940607425604_left,114,720575940607425604,central,,,acetylcholine,1,left
115,720575940607480073_right,115,720575940607480073,central,,,glutamate,-1,right
116,720575940607500297_left,116,720575940607500297,sensory,gustatory,taste peg,acetylcholine,1,left
117,720575940607625225_right,117,720575940607625225,central,,,acetylcholine,1,right
118,720575940607695428_right,118,720575940607695428,ascending,AN,SA_DMT_DMetaN,serotonin,1,right
119,720575940607870749_right,119,720575940607870749,ascending,AN,SA_DMT_DMetaN,acetylcholine,1,right
120,720575940607923721_left,120,720575940607923721,central,,,glutamate,-1,left
121,720575940608064707_left,121,720575940608064707,central,CX,,acetylcholine,1,left
122,720575940608073602_left,122,720575940608073602,ascending,AN,,acetylcholine,1,left
123,720575940608176452_left,123,720575940608176452,central,,,acetylcholine,1,left
124,720575940608295689_right,124,720575940608295689,sensory,gustatory,taste peg,acetylcholine,1,right
125,720575940608296917_left,125,720575940608296917,sensory,gustatory,taste peg,acetylcholine,1,left
126,720575940608331868_left,126,720575940608331868,central,,,acetylcholine,1,left
127,720575940608336907_right,127,720575940608336907,central,,,acetylcholine,1,right
128,720575940608356053_right,128,720575940608356053,sensory,gustatory,taste peg,serotonin,1,right
129,720575940608508718_right,129,720575940608508718,central,,,acetylcholine,1,right
130,720575940608613934_left,130,720575940608613934,ascending,AN,SA_DMT_DMetaN,serotonin,1,left
131,720575940608642773_left,131,720575940608642773,central,,,acetylcholine,1,left
132,720575940608766933_left,132,720575940608766933,central,,,acetylcholine,1,left
133,720575940608969938_left,133,720575940608969938,ascending,AN,,gaba,-1,left
134,720575940609116740_left,134,720575940609116740,central,CX,,acetylcholine,1,left
135,720575940609157074_left,135,720575940609157074,ascending,AN,SA_DMT_DMetaN,glutamate,-1,left
136,720575940609306563_right,136,720575940609306563,sensory,gustatory,taste peg,acetylcholine,1,right
137,720575940609392738_right,137,720575940609392738,central,,,acetylcholine,1,right
138,720575940609513841_center,138,720575940609513841,central,,,gaba,-1,center
139,720575940609533230_left,139,720575940609533230,sensory,gustatory,taste peg,acetylcholine,1,left
140,720575940609547549_left,140,720575940609547549,sensory,mechanosensory,unknown,serotonin,1,left
141,720575940609633230_left,141,720575940609633230,central,,,acetylcholine,1,left
142,720575940609647729_right,142,720575940609647729,ascending,AN,SA_DMT_DMetaN,acetylcholine,1,right
143,720575940609663442_left,143,720575940609663442,central,CX,columnar,acetylcholine,1,left
144,720575940609764721_right,144,720575940609764721,ascending,AN,SA_DMT_DMetaN,acetylcholine,1,right
145,720575940609787256_right,145,720575940609787256,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,acetylcholine,1,right
146,720575940609806126_left,146,720575940609806126,central,,,acetylcholine,1,left
147,720575940609881749_right,147,720575940609881749,central,ALLN,,glutamate,-1,right
148,720575940609913042_left,148,720575940609913042,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,acetylcholine,1,left
149,720575940610033394_left,149,720575940610033394,ascending,AN,,acetylcholine,1,left
150,720575940610103906_left,150,720575940610103906,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group2,acetylcholine,1,left
151,720575940610179790_right,151,720575940610179790,central,,,acetylcholine,1,right
152,720575940610219237_left,152,720575940610219237,ascending,AN,SA_DMT_DMetaN,acetylcholine,1,left
153,720575940610224281_left,153,720575940610224281,central,,,acetylcholine,1,left
154,720575940610239608_left,154,720575940610239608,central,,,unknown,1,left
155,720575940610241860_left,155,720575940610241860,sensory,olfactory,,unknown,1,left
156,720575940610259406_right,156,720575940610259406,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,acetylcholine,1,right
157,720575940610334634_left,157,720575940610334634,ascending,AN,SA_DMT_DMetaN,acetylcholine,1,left
158,720575940610359758_left,158,720575940610359758,central,,,acetylcholine,1,left
159,720575940610366122_left,159,720575940610366122,ascending,AN,SA_DMT_DMetaN,acetylcholine,1,left
160,720575940610376658_left,160,720575940610376658,ascending,AN,SA_DMT_DMetaN,acetylcholine,1,left
161,720575940610383043_right,161,720575940610383043,central,,,acetylcholine,1,right
162,720575940610425061_left,162,720575940610425061,central,,,gaba,-1,left
163,720575940610450418_center,163,720575940610450418,central,,,gaba,-1,center
164,720575940610474610_left,164,720575940610474610,sensory,gustatory,taste peg,acetylcholine,1,left
165,720575940610482883_center,165,720575940610482883,central,,,serotonin,1,center
166,720575940610520306_right,166,720575940610520306,central,,,acetylcholine,1,right
167,720575940610524355_right,167,720575940610524355,central,,,acetylcholine,1,right
168,720575940610649442_right,168,720575940610649442,sensory,gustatory,taste peg,acetylcholine,1,right
169,720575940610669042_center,169,720575940610669042,central,,,gaba,-1,center
170,720575940610698931_center,170,720575940610698931,central,,,glutamate,-1,center
171,720575940610798946_right,171,720575940610798946,central,,,acetylcholine,1,right
172,720575940610824214_left,172,720575940610824214,ascending,AN,SA_DMT_DMetaN,acetylcholine,1,left
173,720575940610883043_right,173,720575940610883043,ascending,AN,SA_DMT_DMetaN,acetylcholine,1,right
174,720575940610897906_left,174,720575940610897906,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,serotonin,1,left
175,720575940610935062_left,175,720575940610935062,ascending,AN,,glutamate,-1,left
176,720575940610981362_left,176,720575940610981362,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,acetylcholine,1,left
177,720575940611018714_left,177,720575940611018714,sensory,gustatory,taste peg,acetylcholine,1,left
178,720575940611025874_right,178,720575940611025874,ascending,AN,SA_DMT_DMetaN,glutamate,-1,right
179,720575940611034926_right,179,720575940611034926,central,,,acetylcholine,1,right
180,720575940611056482_right,180,720575940611056482,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,acetylcholine,1,right
181,720575940611106453_right,181,720575940611106453,sensory,gustatory,taste peg,acetylcholine,1,right
182,720575940611168921_left,182,720575940611168921,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group2,acetylcholine,1,left
183,720575940611184819_left,183,720575940611184819,sensory,gustatory,taste peg,acetylcholine,1,left
184,720575940611211417_right,184,720575940611211417,sensory,gustatory,pharyngeal_nerve_sensory_group2,acetylcholine,1,right
185,720575940611223445_right,185,720575940611223445,ascending,AN,,acetylcholine,1,right
186,720575940611268266_left,186,720575940611268266,ascending,AN,,acetylcholine,1,left
187,720575940611291249_right,187,720575940611291249,central,,,acetylcholine,1,right
188,720575940611351193_right,188,720575940611351193,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,acetylcholine,1,right
189,720575940611365745_left,189,720575940611365745,central,CX,columnar,glutamate,-1,left
190,720575940611388595_left,190,720575940611388595,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,serotonin,1,left
191,720575940611514261_left,191,720575940611514261,central,,,gaba,-1,left
192,720575940611538126_right,192,720575940611538126,central,,,gaba,-1,right
193,720575940611557357_left,193,720575940611557357,ascending,AN,SA_DMT_DMetaN,acetylcholine,1,left
194,720575940611599587_left,194,720575940611599587,central,,,acetylcholine,1,left
195,720575940611630194_left,195,720575940611630194,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,acetylcholine,1,left
196,720575940611643033_right,196,720575940611643033,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,acetylcholine,1,right
197,720575940611678181_right,197,720575940611678181,sensory,gustatory,taste peg,serotonin,1,right
198,720575940611717357_left,198,720575940611717357,central,,,acetylcholine,1,left
199,720575940611759569_right,199,720575940611759569,ascending,AN,SA_DMT_DMetaN,acetylcholine,1,right
200,720575940611846520_left,200,720575940611846520,central,,,glutamate,-1,left
201,720575940611881395_center,201,720575940611881395,central,,,glutamate,-1,center
202,720575940611900968_left,202,720575940611900968,ascending,AN,SA_DMT_DMetaN,acetylcholine,1,left
203,720575940611958994_center,203,720575940611958994,central,,,gaba,-1,center
204,720575940611959011_left,204,720575940611959011,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,serotonin,1,left
205,720575940611969906_right,205,720575940611969906,central,,,glutamate,-1,right
206,720575940611980207_right,206,720575940611980207,central,,,glutamate,-1,right
207,720575940612012207_left,207,720575940612012207,ascending,AN,SA_DMT_DMetaN,acetylcholine,1,left
208,720575940612040398_left,208,720575940612040398,central,,,glutamate,-1,left
209,720575940612070769_left,209,720575940612070769,sensory,olfactory,,unknown,1,left
210,720575940612083240_left,210,720575940612083240,central,,,acetylcholine,1,left
211,720575940612256938_left,211,720575940612256938,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,acetylcholine,1,left
212,720575940612257489_right,212,720575940612257489,central,,,gaba,-1,right
213,720575940612269283_right,213,720575940612269283,central,,,unknown,1,right
214,720575940612341683_left,214,720575940612341683,ascending,AN,,serotonin,1,left
215,720575940612376690_right,215,720575940612376690,central,,,unknown,1,right
216,720575940612387474_right,216,720575940612387474,ascending,AN,SA_DMT_DMetaN,acetylcholine,1,right
217,720575940612420118_left,217,720575940612420118,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,acetylcholine,1,left
218,720575940612468130_right,218,720575940612468130,ascending,AN,,acetylcholine,1,right
219,720575940612503146_right,219,720575940612503146,central,,,gaba,-1,right
220,720575940612541359_right,220,720575940612541359,central,,,glutamate,-1,right
221,720575940612582514_right,221,720575940612582514,sensory,gustatory,taste peg,acetylcholine,1,right
222,720575940612642730_right,222,720575940612642730,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,acetylcholine,1,right
223,720575940612683670_left,223,720575940612683670,ascending,AN,SA_DMT_DMetaN,acetylcholine,1,left
224,720575940612734570_left,224,720575940612734570,ascending,AN,SA_DMT_DMetaN,acetylcholine,1,left
225,720575940612734693_left,225,720575940612734693,visual_centrifugal,,,glutamate,-1,left
226,720575940612819763_left,226,720575940612819763,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group2,acetylcholine,1,left
227,720575940612824170_left,227,720575940612824170,ascending,AN,SA_DMT_DMetaN,acetylcholine,1,left
228,720575940612857055_right,228,720575940612857055,ascending,AN,SA_DMT_DMetaN,gaba,-1,right
229,720575940612869087_right,229,720575940612869087,ascending,AN,SA_DMT_DMetaN,acetylcholine,1,right
230,720575940612884433_right,230,720575940612884433,central,,,glutamate,-1,right
231,720575940612970536_left,231,720575940612970536,central,,,gaba,-1,left
232,720575940612998805_right,232,720575940612998805,central,,,acetylcholine,1,right
233,720575940613003487_right,233,720575940613003487,ascending,AN,SA_DMT_DMetaN,acetylcholine,1,right
234,720575940613004402_left,234,720575940613004402,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,glutamate,-1,left
235,720575940613007729_right,235,720575940613007729,central,,,acetylcholine,1,right
236,720575940613078434_right,236,720575940613078434,central,,,acetylcholine,1,right
237,720575940613080751_left,237,720575940613080751,sensory,gustatory,taste peg,acetylcholine,1,left
238,720575940613137375_left,238,720575940613137375,ascending,AN,SA_DMT_DMetaN,acetylcholine,1,left
239,720575940613206594_right,239,720575940613206594,ascending,AN,SA_DMT_DMetaN,acetylcholine,1,right
240,720575940613262495_right,240,720575940613262495,ascending,AN,SA_DMT_DMetaN,acetylcholine,1,right
241,720575940613302431_left,241,720575940613302431,ascending,AN,SA_DMT_DMetaN,acetylcholine,1,left
242,720575940613347474_left,242,720575940613347474,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,serotonin,1,left
243,720575940613408563_right,243,720575940613408563,central,,,acetylcholine,1,right
244,720575940613513642_left,244,720575940613513642,central,,,acetylcholine,1,left
245,720575940613530786_left,245,720575940613530786,central,,,acetylcholine,1,left
246,720575940613584652_right,246,720575940613584652,ascending,AN,,acetylcholine,1,right
247,720575940613594535_left,247,720575940613594535,visual_projection,,,glutamate,-1,left
248,720575940613626079_right,248,720575940613626079,central,,,acetylcholine,1,right
249,720575940613726150_right,249,720575940613726150,ascending,AN,SA_DMT_DMetaN,acetylcholine,1,right
250,720575940613726406_right,250,720575940613726406,ascending,AN,SA_DMT_DMetaN,acetylcholine,1,right
251,720575940613756347_right,251,720575940613756347,ascending,AN,SA_DMT_DMetaN,acetylcholine,1,right
252,720575940613808326_left,252,720575940613808326,ascending,AN,,acetylcholine,1,left
253,720575940613834438_right,253,720575940613834438,ascending,AN,,gaba,-1,right
254,720575940613977706_left,254,720575940613977706,ascending,AN,,acetylcholine,1,left
255,720575940613994134_left,255,720575940613994134,central,,,acetylcholine,1,left
256,720575940614001595_left,256,720575940614001595,ascending,AN,SA_DMT_DMetaN,acetylcholine,1,left
257,720575940614208914_right,257,720575940614208914,sensory,gustatory,taste peg,acetylcholine,1,right
258,720575940614444959_right,258,720575940614444959,ascending,AN,,acetylcholine,1,right
259,720575940614477479_left,259,720575940614477479,central,,,acetylcholine,1,left
260,720575940614574166_right,260,720575940614574166,ascending,AN,SA_DMT_DMetaN,acetylcholine,1,right
261,720575940614609750_right,261,720575940614609750,ascending,AN,SA_DMT_DMetaN,serotonin,1,right
262,720575940614641202_left,262,720575940614641202,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,serotonin,1,left
263,720575940614656991_right,263,720575940614656991,central,,,glutamate,-1,right
264,720575940614721110_left,264,720575940614721110,ascending,AN,SA_DMT_DMetaN,serotonin,1,left
265,720575940614822466_right,265,720575940614822466,central,,,acetylcholine,1,right
266,720575940614830239_right,266,720575940614830239,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,acetylcholine,1,right
267,720575940614917427_right,267,720575940614917427,visual_projection,,,acetylcholine,1,right
268,720575940615015976_right,268,720575940615015976,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,acetylcholine,1,right
269,720575940615063711_left,269,720575940615063711,ascending,AN,SA_DMT_DMetaN,acetylcholine,1,left
270,720575940615072662_left,270,720575940615072662,sensory,unknown_sensory,,unknown,1,left
271,720575940615135430_left,271,720575940615135430,central,,,acetylcholine,1,left
272,720575940615192588_right,272,720575940615192588,central,,,acetylcholine,1,right
273,720575940615241940_right,273,720575940615241940,ascending,AN,SA_DMT_DMetaN,serotonin,1,right
274,720575940615263188_left,274,720575940615263188,ascending,AN,,acetylcholine,1,left
275,720575940615274425_left,275,720575940615274425,sensory,gustatory,,acetylcholine,1,left
276,720575940615294609_right,276,720575940615294609,ascending,AN,SA_DMT_DMetaN,acetylcholine,1,right
277,720575940615295121_right,277,720575940615295121,ascending,AN,SA_DMT_DMetaN,acetylcholine,1,right
278,720575940615333076_right,278,720575940615333076,ascending,AN,,gaba,-1,right
279,720575940615346617_left,279,720575940615346617,ascending,AN,SA_DMT_DMetaN,serotonin,1,left
280,720575940615357585_right,280,720575940615357585,ascending,AN,SA_DMT_DMetaN,glutamate,-1,right
281,720575940615385055_center,281,720575940615385055,central,,,gaba,-1,center
282,720575940615390119_left,282,720575940615390119,central,,,acetylcholine,1,left
283,720575940615401945_left,283,720575940615401945,ascending,AN,SA_DMT_DMetaN,acetylcholine,1,left
284,720575940615411942_right,284,720575940615411942,ascending,AN,SA_DMT_DMetaN,acetylcholine,1,right
285,720575940615430450_right,285,720575940615430450,ascending,AN,,acetylcholine,1,right
286,720575940615449138_right,286,720575940615449138,central,,,acetylcholine,1,right
287,720575940615459326_left,287,720575940615459326,central,,,acetylcholine,1,left
288,720575940615465913_left,288,720575940615465913,ascending,AN,SA_DMT_DMetaN,acetylcholine,1,left
289,720575940615482229_left,289,720575940615482229,central,,,glutamate,-1,left
290,720575940615515537_left,290,720575940615515537,ascending,AN,SA_DMT_DMetaN,serotonin,1,left
291,720575940615520927_left,291,720575940615520927,central,,,acetylcholine,1,left
292,720575940615541810_left,292,720575940615541810,central,,,gaba,-1,left
293,720575940615601492_right,293,720575940615601492,central,,,gaba,-1,right
294,720575940615629115_right,294,720575940615629115,visual_centrifugal,,,acetylcholine,1,right
295,720575940615673949_left,295,720575940615673949,central,CX,columnar,serotonin,1,left
296,720575940615694009_left,296,720575940615694009,central,CX,columnar,serotonin,1,left
297,720575940615700820_right,297,720575940615700820,ascending,AN,SA_DMT_DMetaN,acetylcholine,1,right
298,720575940615746677_right,298,720575940615746677,central,,,gaba,-1,right
299,720575940615788118_left,299,720575940615788118,central,,,dopamine,1,left
300,720575940615828573_center,300,720575940615828573,central,,,dopamine,1,center
301,720575940615879995_left,301,720575940615879995,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,acetylcholine,1,left
302,720575940615934069_right,302,720575940615934069,ascending,AN,,acetylcholine,1,right
303,720575940615937397_left,303,720575940615937397,visual_centrifugal,,,acetylcholine,1,left
304,720575940615964485_right,304,720575940615964485,ascending,AN,SA_DMT_DMetaN,serotonin,1,right
305,720575940615965765_right,305,720575940615965765,ascending,AN,SA_DMT_DMetaN,acetylcholine,1,right
306,720575940615977541_right,306,720575940615977541,ascending,AN,,glutamate,-1,right
307,720575940616036281_right,307,720575940616036281,central,,,dopamine,1,right
308,720575940616040148_left,308,720575940616040148,central,CX,columnar,glutamate,-1,left
309,720575940616095883_right,309,720575940616095883,central,,,acetylcholine,1,right
310,720575940616109469_right,310,720575940616109469,central,,,glutamate,-1,right
311,720575940616163701_right,311,720575940616163701,sensory,gustatory,taste peg,acetylcholine,1,right
312,720575940616176571_left,312,720575940616176571,central,,,gaba,-1,left
313,720575940616196539_left,313,720575940616196539,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,acetylcholine,1,left
314,720575940616261844_left,314,720575940616261844,ascending,AN,SA_DMT_DMetaN,acetylcholine,1,left
