,root_id,cell_type,side,top_nt,super_class,cell_class,cell_sub_class,idx,sign
131120,720575940635413655,R1-6,left,acetylcholine,sensory,visual,,41511,1
131121,720575940613165235,R1-6,left,acetylcholine,sensory,visual,,5489,1
131124,720575940625007031,R1-6,left,acetylcholine,sensory,visual,,24297,1
131125,720575940628737553,R1-6,left,acetylcholine,sensory,visual,,31510,1
131127,720575940640685731,R1-6,left,acetylcholine,sensory,visual,,45899,1
131128,720575940610155203,R1-6,left,acetylcholine,sensory,visual,,2866,1
131131,720575940655836577,R1-6,left,acetylcholine,sensory,visual,,48900,1
131135,720575940622810974,R1-6,left,acetylcholine,sensory,visual,,19774,1
131138,720575940629360745,R1-6,left,acetylcholine,sensory,visual,,32664,1
131144,720575940638960100,R1-6,left,acetylcholine,sensory,visual,,44379,1
131146,720575940628478481,R1-6,left,acetylcholine,sensory,visual,,30986,1
131147,720575940637740462,R1-6,left,acetylcholine,sensory,visual,,43455,1
131153,720575940611629266,R1-6,left,acetylcholine,sensory,visual,,3849,1
131161,720575940655892897,R1-6,left,acetylcholine,sensory,visual,,48903,1
131162,720575940628199557,R1-6,left,acetylcholine,sensory,visual,,30366,1
131163,720575940619049243,R1-6,left,acetylcholine,sensory,visual,,12978,1
131165,720575940623720717,R1-6,left,acetylcholine,sensory,visual,,21668,1
131166,720575940624156296,R1-6,left,acetylcholine,sensory,visual,,22588,1
131167,720575940615451794,R1-6,left,acetylcholine,sensory,visual,,8086,1
131169,720575940617061819,R1-6,left,acetylcholine,sensory,visual,,10009,1
131171,720575940611781012,R1-6,left,acetylcholine,sensory,visual,,3978,1
131173,720575940621324934,R1-6,left,acetylcholine,sensory,visual,,16672,1
131174,720575940635176348,R1-6,left,acetylcholine,sensory,visual,,41270,1
131175,720575940613424042,R1-6,left,acetylcholine,sensory,visual,,5771,1
131176,720575940612298958,R1-6,left,acetylcholine,sensory,visual,,4439,1
131178,720575940650667129,R1-6,left,acetylcholine,sensory,visual,,48514,1
131179,720575940623812195,R1-6,left,acetylcholine,sensory,visual,,21847,1
131180,720575940639008740,R1-6,left,acetylcholine,sensory,visual,,44416,1
131181,720575940620627416,R1-6,left,acetylcholine,sensory,visual,,15178,1
131182,720575940607759561,R1-6,left,acetylcholine,sensory,visual,,1683,1
131183,720575940612298702,R1-6,left,acetylcholine,sensory,visual,,4438,1
131185,720575940612778609,R1-6,left,acetylcholine,sensory,visual,,4969,1
131186,720575940625924536,R1-6,left,acetylcholine,sensory,visual,,25943,1
131187,720575940625360648,R1-6,left,acetylcholine,sensory,visual,,24965,1
131189,720575940631533164,R1-6,left,acetylcholine,sensory,visual,,36693,1
131191,720575940624124365,R1-6,left,acetylcholine,sensory,visual,,22519,1
131192,720575940614935091,R1-6,left,acetylcholine,sensory,visual,,7370,1
131193,720575940623017310,R1-6,left,acetylcholine,sensory,visual,,20156,1
131195,720575940626937662,R1-6,left,acetylcholine,sensory,visual,,27718,1
131196,720575940612986586,R1-6,left,acetylcholine,sensory,visual,,5254,1
131197,720575940631507052,R1-6,left,acetylcholine,sensory,visual,,36632,1
131199,720575940647168547,R1-6,left,acetylcholine,sensory,visual,,48003,1
131207,720575940640710819,R1-6,left,acetylcholine,sensory,visual,,45920,1
131210,720575940633446820,R1-6,left,acetylcholine,sensory,visual,,39689,1
131213,720575940614935347,R1-6,left,acetylcholine,sensory,visual,,7371,1
131214,720575940635904095,R1-6,left,acetylcholine,sensory,visual,,42059,1
131215,720575940616874523,R1-6,left,acetylcholine,sensory,visual,,9776,1
131216,720575940645028552,R1-6,left,acetylcholine,sensory,visual,,47279,1
131217,720575940631507963,R1-6,left,acetylcholine,sensory,visual,,36636,1
