,hemilineage,class,predicted_nt,soma_neuromere,root_side,systematic_type,type,soma_side,instance,combined_type,nt_binary,idx
1,19A,intrinsic neuron,gaba,T2,,IN19A030,IN19A030,LHS,IN19A030_T2_L,IN19A030_T2_L,-1,8076
2,09B,intrinsic neuron,glutamate,T3,,IN09B049,IN09B049,RHS,IN09B049_T3_R,IN09B049_T3_R,-1,5478
3,08B,intrinsic neuron,acetylcholine,T2,,IN08B004,IN08B004,RHS,IN08B004_T2_R,IN08B004_T2_R,1,4964
4,10B,intrinsic neuron,acetylcholine,T2,,IN10B002,IN10B002,RHS,IN10B002_T2_R,IN10B002_T2_R,1,5500
5,,sensory neuron,acetylcholine,,RHS,SNta04,SNta04,,SNta04_ADMN_R,SNta04_ADMN_R,1,11358
6,13B,intrinsic neuron,gaba,T1,,IN13B055,IN13B055,LHS,IN13B055_T1_L,IN13B055_T1_L,-1,6696
7,16B,intrinsic neuron,glutamate,T3,,IN16B101,IN16B101,LHS,IN16B101_T3_L,IN16B101_T3_L,-1,7510
8,,descending neuron,acetylcholine,,RHS,DNxl047,DNg107,,DNxl047_CvC_R,DNxl047_CvC_R,1,1837
9,20A.22A,intrinsic neuron,acetylcholine,T3,,IN20A.22A086,IN20A.22A086,RHS,IN20A.22A086_T3_R,IN20A.22A086_T3_R,1,8763
10,03B,intrinsic neuron,glutamate,T1,,IN03B008,IN03B008,LHS,IN03B008_T1_L,IN03B008_T1_L,-1,3607
11,,sensory neuron,acetylcholine,,LHS,SNta11,SNta11,,SNta11_ADMN_L,SNta11_ADMN_L,1,11371
12,09B,ascending neuron,acetylcholine,T2,BIL,AN09B031,AN09B031,RHS,AN09B031_T2_R,AN09B031_T2_R,1,719
13,09A,intrinsic neuron,gaba,T3,,IN09A031,IN09A031,RHS,IN09A031_T3_R,IN09A031_T3_R,-1,5208
14,04B,intrinsic neuron,acetylcholine,T3,,IN04B074,IN04B074,LHS,IN04B074_T3_L,IN04B074_T3_L,1,3939
15,16B,motor neuron,unknown,T2,,MNwm21,DVMn 1a-c,RHS,MNwm21_ADMN_R,MNwm21_ADMN_R,1,10964
16,,sensory neuron,acetylcholine,,LHS,SNch03,SNch03,,SNch03_ADMN_L,SNch03_ADMN_L,1,11095
17,08B,intrinsic neuron,acetylcholine,T3,,IN08B072,IN08B072,RHS,IN08B072_T3_R,IN08B072_T3_R,1,5032
18,17B,ascending neuron,gaba,A1,LHS,AN17B002,AN17B002,LHS,AN17B002_A1_L,AN17B002_A1_L,-1,1014
19,20A.22A,intrinsic neuron,acetylcholine,T1,,IN20A.22A069,IN20A.22A069,RHS,IN20A.22A069_T1_R,IN20A.22A069_T1_R,1,8715
20,05B,ascending neuron,gaba,T2,RHS,AN05B052,AN05B052,LHS,AN05B052_T2_L,AN05B052_T2_L,-1,174
21,06B,intrinsic neuron,gaba,T3,,IN06B052,IN06B052,RHS,IN06B052_T3_R,IN06B052_T3_R,-1,4569
22,13B,intrinsic neuron,gaba,T1,,IN13B079,IN13B079,LHS,IN13B079_T1_L,IN13B079_T1_L,-1,6777
23,09A,intrinsic neuron,gaba,T1,,IN09A093,IN09A093,LHS,IN09A093_T1_L,IN09A093_T1_L,-1,5395
24,,sensory neuron,acetylcholine,,RHS,SNta37,SNta37,,SNta37_MesoLN_R,SNta37_MesoLN_R,1,11473
25,,sensory neuron,glutamate,,LHS,SNta23,SNta23,,SNta23_MetaLN_L,SNta23_MetaLN_L,-1,11403
26,12A,intrinsic neuron,acetylcholine,T1,,IN12A020,TN1a,RHS,IN12A020_T1_R,IN12A020_T1_R,1,5841
27,,descending neuron,gaba,,RHS,DNnt011,DNnt011,,DNnt011_CvC_R,DNnt011_CvC_R,-1,1599
28,,sensory neuron,acetylcholine,,LHS,SNta09,SNta09,,SNta09_PDMN_L,SNta09_PDMN_L,1,11367
29,,sensory neuron,acetylcholine,,RHS,SNch09,SNch09,,SNch09_MetaLN_R,SNch09_MetaLN_R,1,11122
30,,sensory neuron,acetylcholine,,RHS,SNta42,SNta42,,SNta42_MesoLN_R,SNta42_MesoLN_R,1,11499
31,06A,intrinsic neuron,gaba,T3,,IN06A078,IN06A078,LHS,IN06A078_T3_L,IN06A078_T3_L,-1,4344
32,,descending neuron,acetylcholine,,LHS,DNxl098,DNxl098,,DNxl098_CvC_L,DNxl098_CvC_L,1,1936
33,19B,intrinsic neuron,acetylcholine,T2,,IN19B071,IN19B071,LHS,IN19B071_T2_L,IN19B071_T2_L,1,8444
34,06A,intrinsic neuron,glutamate,T3,,IN06A126,IN06A126,LHS,IN06A126_T3_L,IN06A126_T3_L,-1,4456
35,12B,intrinsic neuron,gaba,T3,,IN12B038,IN12B038,RHS,IN12B038_T3_R,IN12B038_T3_R,-1,6079
36,09B,ascending neuron,acetylcholine,A4,LHS,AN09B029,AN09B029,RHS,AN09B029_A4_R,AN09B029_A4_R,1,711
37,,sensory neuron,acetylcholine,,RHS,SNpp02,SNpp02,,SNpp02_AbN3_R,SNpp02_AbN3_R,1,11148
38,,sensory neuron,glutamate,,LHS,SNch05,SNch05,,SNch05_MetaLN_L,SNch05_MetaLN_L,-1,11101
39,24B.25B,motor neuron,glutamate,T1,,MNfl12,Tr flexor MN,LHS,MNfl12_ProAN_L,MNfl12_ProAN_L,-1,10620
40,03A,intrinsic neuron,acetylcholine,T3,,IN03A067,IN03A067,LHS,IN03A067_T3_L,IN03A067_T3_L,1,3513
41,07B,ascending neuron,acetylcholine,T3,LHS,AN07B085,AN07B085,RHS,AN07B085_T3_R,AN07B085_T3_R,1,449
42,10B,ascending neuron,acetylcholine,T3,LHS,AN10B047,AN10B047,RHS,AN10B047_T3_R,AN10B047_T3_R,1,853
43,,sensory neuron,acetylcholine,,LHS,SNta01,SNta01,,SNta01_PDMN_L,SNta01_PDMN_L,1,11351
45,12B,ascending neuron,gaba,T3,RHS,AN12B004,AN12B004,LHS,AN12B004_T3_L,AN12B004_T3_L,-1,894
46,09A,intrinsic neuron,gaba,T3,,IN09A022,IN09A022,LHS,IN09A022_T3_L,IN09A022_T3_L,-1,5169
47,,sensory neuron,acetylcholine,,RHS,SNch07,SNch07,,SNch07_MetaLN_R,SNch07_MetaLN_R,1,11114
48,,sensory neuron,glutamate,,LHS,SNxxxx,SNxxxx,,SNxxxx_ProLN_L,SNxxxx_ProLN_L,-1,11653
49,,sensory neuron,acetylcholine,,RHS,SNch07,SNch07,,SNch07_MesoLN_R,SNch07_MesoLN_R,1,11112
50,08B,intrinsic neuron,acetylcholine,T2,,IN08B037,IN08B037,RHS,IN08B037_T2_R,IN08B037_T2_R,1,4988
51,20A.22A,intrinsic neuron,acetylcholine,T3,,IN20A.22A041,IN20A.22A041,LHS,IN20A.22A041_T3_L,IN20A.22A041_T3_L,1,8634
52,16B,intrinsic neuron,glutamate,T3,,IN16B086,IN16B086,LHS,IN16B086_T3_L,IN16B086_T3_L,-1,7470
53,09A,intrinsic neuron,gaba,T3,,IN09A073,IN09A073,LHS,IN09A073_T3_L,IN09A073_T3_L,-1,5340
54,07B,ascending neuron,acetylcholine,T1,RHS,AN07B082,AN07B082,LHS,AN07B082_T1_L,AN07B082_T1_L,1,446
55,,sensory neuron,glutamate,,RHS,SNppxx,SNppxx,,SNppxx_ProNTBD_R,SNppxx_ProNTBD_R,-1,11349
56,08A,intrinsic neuron,glutamate,T2,,IN08A011,IN08A011,LHS,IN08A011_T2_L,IN08A011_T2_L,-1,4859
57,14B,intrinsic neuron,glutamate,T1,,IN14B005,IN14B005,RHS,IN14B005_T1_R,IN14B005_T1_R,-1,7259
58,01A,intrinsic neuron,acetylcholine,A6,,IN01A045,IN01A045,RHS,IN01A045_A6_R,IN01A045_A6_R,1,2736
59,,sensory neuron,acetylcholine,,LHS,SNxx11,SNxx11,,SNxx11_AbNT_L,SNxx11_AbNT_L,1,11562
60,20A.22A,intrinsic neuron,acetylcholine,T2,,IN20A.22A065,IN20A.22A065,RHS,IN20A.22A065_T2_R,IN20A.22A065_T2_R,1,8703
61,07B,intrinsic neuron,acetylcholine,T3,,IN07B099,IN07B099,RHS,IN07B099_T3_R,IN07B099_T3_R,1,4814
62,07B,intrinsic neuron,acetylcholine,A1,,IN07B096,IN07B096,LHS,IN07B096_A1_L,IN07B096_A1_L,1,4809
63,,descending neuron,gaba,,LHS,DNnt011,DNnt011,,DNnt011_CvC_L,DNnt011_CvC_L,-1,1598
64,,descending neuron,gaba,,RHS,DNxn010,DNc01,,DNxn010_CvC_R,DNxn010_CvC_R,-1,2030
65,06A,intrinsic neuron,gaba,T1,,IN06A113,IN06A113,RHS,IN06A113_T1_R,IN06A113_T1_R,-1,4421
66,09A,intrinsic neuron,gaba,T2,,IN09A018,IN09A018,RHS,IN09A018_T2_R,IN09A018_T2_R,-1,5148
67,,descending neuron,acetylcholine,,RHS,DNxl079,DNxl079,,DNxl079_CvC_R,DNxl079_CvC_R,1,1901
68,,sensory neuron,acetylcholine,,RHS,SNtaxx,SNtaxx,,SNtaxx_MetaLN_R,SNtaxx_MetaLN_R,1,11526
69,,sensory neuron,acetylcholine,,LHS,SNta44,SNta44,,SNta44_MesoLN_L,SNta44_MesoLN_L,1,11512
70,06A,intrinsic neuron,gaba,T3,,IN06A115,IN06A115,RHS,IN06A115_T3_R,IN06A115_T3_R,-1,4425
71,16B,motor neuron,glutamate,T3,,MNhm41,hiii2 MN,RHS,MNhm41_AbN1_R,MNhm41_AbN1_R,-1,10826
72,20A.22A,intrinsic neuron,acetylcholine,T3,,IN20A.22A023,IN20A.22A023,LHS,IN20A.22A023_T3_L,IN20A.22A023_T3_L,1,8576
73,06B,intrinsic neuron,gaba,T1,,IN06B082,IN06B082,RHS,IN06B082_T1_R,IN06B082_T1_R,-1,4639
74,21A,intrinsic neuron,glutamate,T2,,IN21A009,IN21A009,LHS,IN21A009_T2_L,IN21A009_T2_L,-1,8832
75,03A,intrinsic neuron,acetylcholine,T1,,IN03A045,IN03A045,RHS,IN03A045_T1_R,IN03A045_T1_R,1,3458
76,03B,intrinsic neuron,acetylcholine,T1,,IN03B005,IN03B005,RHS,IN03B005_T1_R,IN03B005_T1_R,1,3606
77,05B,ascending neuron,gaba,A8,RHS,AN05B004,AN05B004,LHS,AN05B004_A8_L,AN05B004_A8_L,-1,115
78,03A,intrinsic neuron,acetylcholine,T2,,IN03A079,IN03A079,RHS,IN03A079_T2_R,IN03A079_T2_R,1,3550
79,10B,ascending neuron,acetylcholine,T2,LHS,AN10B037,AN10B037,RHS,AN10B037_T2_R,AN10B037_T2_R,1,827
80,,sensory neuron,glutamate,,RHS,SNta42,SNta42,,SNta42_ProLN_R,SNta42_ProLN_R,-1,11503
81,TBD,motor neuron,gaba,A5,,MNad13,MNad13,LHS,MNad13_AbN4_L,MNad13_AbN4_L,-1,10485
82,,sensory neuron,glutamate,,RHS,SNxxxx,SNxxxx,,SNxxxx_ProLN_R,SNxxxx_ProLN_R,-1,11654
83,,sensory ascending,acetylcholine,,LHS,SApp08,SApp08,,SApp08_DMetaN_L,SApp08_DMetaN_L,1,11033
84,,sensory neuron,acetylcholine,,RHS,SNpp32,SNpp32,,SNpp32_ADMN_R,SNpp32_ADMN_R,1,11210
85,,sensory neuron,acetylcholine,,RHS,SNpp01,SNpp01,,SNpp01_AbN3_R,SNpp01_AbN3_R,1,11146
86,08B,intrinsic neuron,glutamate,T2,,IN08B051,IN08B051,RHS,IN08B051_T2_R,IN08B051_T2_R,1,5002
87,17B,intrinsic neuron,gaba,T2,,IN17B015,IN17B015,LHS,IN17B015_T2_L,IN17B015_T2_L,-1,7830
88,,sensory ascending,acetylcholine,,LHS,SApp10,SApp10,,SApp10_ADMN_L,SApp10_ADMN_L,1,11037
89,04B,intrinsic neuron,acetylcholine,T3,,IN04B031,IN04B031,RHS,IN04B031_T3_R,IN04B031_T3_R,1,3851
90,01B,intrinsic neuron,gaba,T3,,IN01B094,IN01B094,RHS,IN01B094_T3_R,IN01B094_T3_R,-1,3116
91,08A,intrinsic neuron,glutamate,T3,,IN08A031,IN08A031,LHS,IN08A031_T3_L,IN08A031_T3_L,-1,4911
92,,sensory neuron,glutamate,,LHS,SNch02,SNch02,,SNch02_ADMN_L,SNch02_ADMN_L,1,11093
93,TBD,intrinsic neuron,gaba,A8,,INXXX300,INXXX300,RHS,INXXX300_A8_R,INXXX300_A8_R,-1,9991
94,03B,intrinsic neuron,glutamate,T2,,IN03B066,IN03B066,RHS,IN03B066_T2_R,IN03B066_T2_R,-1,3716
95,01A,intrinsic neuron,acetylcholine,T2,,IN01A058,IN01A058,RHS,IN01A058_T2_R,IN01A058_T2_R,1,2768
96,07B,intrinsic neuron,acetylcholine,T2,,IN07B055,IN07B055,LHS,IN07B055_T2_L,IN07B055_T2_L,1,4747
97,08A,intrinsic neuron,glutamate,T2,,IN08A018,vMS11,LHS,IN08A018_T2_L,IN08A018_T2_L,-1,4869
98,12B,intrinsic neuron,gaba,T2,,IN12B036,IN12B036,LHS,IN12B036_T2_L,IN12B036_T2_L,-1,6064
99,,descending neuron,glutamate,,LHS,DNxn162,DNxn162,,DNxn162_CvC_L,DNxn162_CvC_L,-1,2327
100,16B,intrinsic neuron,glutamate,T3,,IN16B045,IN16B045,RHS,IN16B045_T3_R,IN16B045_T3_R,-1,7376
101,03A,intrinsic neuron,acetylcholine,T1,,IN03A067,IN03A067,LHS,IN03A067_T1_L,IN03A067_T1_L,1,3509
102,11A,intrinsic neuron,glutamate,T2,,IN11A035,IN11A035,RHS,IN11A035_T2_R,IN11A035_T2_R,-1,5726
103,,sensory neuron,glutamate,,LHS,SNta38,SNta38,,SNta38_ProLN_L,SNta38_ProLN_L,1,11482
104,,sensory neuron,acetylcholine,,RHS,SNta20,SNta20,,SNta20_MesoLN_R,SNta20_MesoLN_R,1,11388
105,20A.22A,intrinsic neuron,acetylcholine,T1,,IN20A.22A013,IN20A.22A013,LHS,IN20A.22A013_T1_L,IN20A.22A013_T1_L,1,8548
106,03A,intrinsic neuron,acetylcholine,T2,,IN03A019,IN03A019,LHS,IN03A019_T2_L,IN03A019_T2_L,1,3383
107,19A,intrinsic neuron,gaba,T3,,IN19A052,IN19A052,LHS,IN19A052_T3_L,IN19A052_T3_L,-1,8122
108,13B,intrinsic neuron,glutamate,T1,,IN13B075,IN13B075,LHS,IN13B075_T1_L,IN13B075_T1_L,-1,6761
109,,sensory neuron,glutamate,,RHS,SNch06,SNch06,,SNch06_MetaLN_R,SNch06_MetaLN_R,-1,11108
110,20A.22A,intrinsic neuron,acetylcholine,T2,,IN20A.22A061,IN20A.22A061,RHS,IN20A.22A061_T2_R,IN20A.22A061_T2_R,1,8691
111,,sensory neuron,acetylcholine,,RHS,SNta38,SNta38,,SNta38_MetaLN_R,SNta38_MetaLN_R,-1,11481
112,,sensory neuron,glutamate,,RHS,SNta30,SNta30,,SNta30_ProLN_R,SNta30_ProLN_R,-1,11443
113,14A,intrinsic neuron,glutamate,A5,,IN14A027,IN14A027,LHS,IN14A027_A5_L,IN14A027_A5_L,-1,6965
114,12B,intrinsic neuron,gaba,T3,,IN12B056,IN12B056,RHS,IN12B056_T3_R,IN12B056_T3_R,-1,6135
115,03A,intrinsic neuron,acetylcholine,T2,,IN03A005,IN03A005,LHS,IN03A005_T2_L,IN03A005_T2_L,1,3333
116,18B,intrinsic neuron,glutamate,T2,,IN18B010,GFC1,LHS,IN18B010_T2_L,IN18B010_T2_L,-1,7844
117,,sensory neuron,acetylcholine,,LHS,SNxx06,SNxx06,,SNxx06_AbN3_L,SNxx06_AbN3_L,1,11550
118,10B,intrinsic neuron,acetylcholine,T2,,IN10B036,IN10B036,LHS,IN10B036_T2_L,IN10B036_T2_L,1,5566
119,,descending neuron,glutamate,,RHS,DNxn005,DNb01,,DNxn005_CvC_R,DNxn005_CvC_R,-1,2020
120,13A,intrinsic neuron,gaba,T2,,IN13A019,IN13A019,LHS,IN13A019_T2_L,IN13A019_T2_L,-1,6325
121,19B,ascending neuron,acetylcholine,T3,RHS,AN19B101,AN19B101,LHS,AN19B101_T3_L,AN19B101_T3_L,1,1156
123,,sensory ascending,glutamate,,RHS,SApp23,SApp23,,SApp23_ProLN_R,SApp23_ProLN_R,-1,11068
124,07B,ascending neuron,acetylcholine,T1,LHS,AN07B049,AN07B049,RHS,AN07B049_T1_R,AN07B049_T1_R,1,416
125,13B,intrinsic neuron,gaba,T2,,IN13B082,IN13B082,LHS,IN13B082_T2_L,IN13B082_T2_L,-1,6789
126,01B,intrinsic neuron,gaba,T3,,IN01B060,IN01B060,LHS,IN01B060_T3_L,IN01B060_T3_L,-1,3035
127,,sensory neuron,acetylcholine,,RHS,SNta09,SNta09,,SNta09_PDMN_R,SNta09_PDMN_R,1,11368
128,19A,intrinsic neuron,gaba,T1,,IN19A098,IN19A098,RHS,IN19A098_T1_R,IN19A098_T1_R,-1,8232
129,21A,intrinsic neuron,glutamate,T3,,IN21A055,IN21A055,LHS,IN21A055_T3_L,IN21A055_T3_L,-1,9011
130,,sensory neuron,glutamate,,RHS,SNxxxx,SNxxxx,,SNxxxx_MesoLN_R,SNxxxx_MesoLN_R,-1,11650
131,09A,intrinsic neuron,gaba,T3,,IN09A035,IN09A035,RHS,IN09A035_T3_R,IN09A035_T3_R,-1,5219
132,09A,intrinsic neuron,gaba,T1,,IN09A020,IN09A020,LHS,IN09A020_T1_L,IN09A020_T1_L,-1,5153
133,,sensory neuron,acetylcholine,,RHS,SNppxx,SNppxx,,SNppxx_MetaLN_R,SNppxx_MetaLN_R,-1,11344
134,09A,intrinsic neuron,gaba,T1,,IN09A071,IN09A071,RHS,IN09A071_T1_R,IN09A071_T1_R,-1,5331
135,,sensory neuron,glutamate,,RHS,SNta31,SNta31,,SNta31_MetaLN_R,SNta31_MetaLN_R,-1,11447
136,12B,intrinsic neuron,gaba,T3,,IN12B041,IN12B041,RHS,IN12B041_T3_R,IN12B041_T3_R,-1,6097
137,00A,intrinsic neuron,gaba,A4,,IN00A033,IN00A033,Midline,IN00A033_A4_M,IN00A033_A4_M,-1,2536
138,06A,intrinsic neuron,gaba,T3,,IN06A097,IN06A097,LHS,IN06A097_T3_L,IN06A097_T3_L,-1,4376
139,,sensory neuron,acetylcholine,,LHS,SNta42,SNta42,,SNta42_MesoLN_L,SNta42_MesoLN_L,1,11498
140,,sensory neuron,acetylcholine,,RHS,SNta44,SNta44,,SNta44_MesoLN_R,SNta44_MesoLN_R,1,11513
141,13A,intrinsic neuron,gaba,T3,,IN13A029,IN13A029,LHS,IN13A029_T3_L,IN13A029_T3_L,-1,6355
142,09A,intrinsic neuron,gaba,T1,,IN09A096,IN09A096,RHS,IN09A096_T1_R,IN09A096_T1_R,-1,5412
143,08B,ascending neuron,acetylcholine,T1,RHS,AN08B113,AN08B113,LHS,AN08B113_T1_L,AN08B113_T1_L,1,615
144,01A,intrinsic neuron,acetylcholine,A4,,IN01A059,IN01A059,LHS,IN01A059_A4_L,IN01A059_A4_L,1,2771
145,,sensory neuron,glutamate,,LHS,SNpp41,SNpp41,,SNpp41_ProLN_L,SNpp41_ProLN_L,-1,11238
146,06A,intrinsic neuron,gaba,T1,,IN06A076,IN06A076,RHS,IN06A076_T1_R,IN06A076_T1_R,-1,4341
147,03A,intrinsic neuron,acetylcholine,T3,,IN03A068,IN03A068,LHS,IN03A068_T3_L,IN03A068_T3_L,1,3515
148,23B,intrinsic neuron,acetylcholine,T3,,IN23B037,IN23B037,RHS,IN23B037_T3_R,IN23B037_T3_R,1,9266
149,19B,intrinsic neuron,acetylcholine,T2,,IN19B056,IN19B056,LHS,IN19B056_T2_L,IN19B056_T2_L,1,8418
150,,sensory neuron,glutamate,,,SNxxxx,SNxxxx,,SNxxxx_MetaLN_L,SNxxxx_MetaLN_L,-1,11651
151,,sensory neuron,acetylcholine,,RHS,SNxx04,SNxx04,,SNxx04_AbN4_R,SNxx04_AbN4_R,1,11541
153,03B,intrinsic neuron,gaba,T2,,IN03B069,IN03B069,RHS,IN03B069_T2_R,IN03B069_T2_R,-1,3722
154,,sensory neuron,acetylcholine,,LHS,SNta33,SNta33,,SNta33_DProN_L,SNta33_DProN_L,1,11456
155,16B,intrinsic neuron,glutamate,T3,,IN16B024,IN16B024,LHS,IN16B024_T3_L,IN16B024_T3_L,-1,7311
156,,descending neuron,acetylcholine,,LHS,DNxn128,DNxn128,,DNxn128_CvC_L,DNxn128_CvC_L,1,2260
157,,descending neuron,acetylcholine,,LHS,DNlt011,DNlt011,,DNlt011_CvC_L,DNlt011_CvC_L,1,1575
158,TBD,intrinsic neuron,glutamate,A2,,INXXX376,INXXX376,LHS,INXXX376_A2_L,INXXX376_A2_L,-1,10168
159,,sensory neuron,glutamate,,,SNxxxx,SNxxxx,,SNxxxx_MesoLN_L,SNxxxx_MesoLN_L,-1,11649
160,03A,intrinsic neuron,acetylcholine,T2,,IN03A079,IN03A079,LHS,IN03A079_T2_L,IN03A079_T2_L,1,3549
161,,sensory neuron,glutamate,,RHS,SNppxx,SNppxx,,SNppxx_ProAN_R,SNppxx_ProAN_R,-1,11346
162,12A,intrinsic neuron,glutamate,T1,,IN12A050,IN12A050,LHS,IN12A050_T1_L,IN12A050_T1_L,-1,5900
163,03B,intrinsic neuron,gaba,T2,,IN03B060,IN03B060,RHS,IN03B060_T2_R,IN03B060_T2_R,-1,3704
164,,descending neuron,acetylcholine,,LHS,DNxn132,DNxn132,,DNxn132_CvC_L,DNxn132_CvC_L,1,2268
165,09A,intrinsic neuron,gaba,T2,,IN09A079,IN09A079,LHS,IN09A079_T2_L,IN09A079_T2_L,-1,5360
166,11B,intrinsic neuron,gaba,T2,,IN11B017,IN11B017,LHS,IN11B017_T2_L,IN11B017_T2_L,-1,5778
167,09B,intrinsic neuron,glutamate,T1,,IN09B045,IN09B045,LHS,IN09B045_T1_L,IN09B045_T1_L,-1,5453
168,19B,intrinsic neuron,acetylcholine,A1,,IN19B091,IN19B091,RHS,IN19B091_A1_R,IN19B091_A1_R,1,8481
169,20A.22A,intrinsic neuron,glutamate,T1,,IN20A.22A038,IN20A.22A038,RHS,IN20A.22A038_T1_R,IN20A.22A038_T1_R,-1,8621
170,,descending neuron,gaba,,LHS,DNxn060,DNg60,,DNxn060_CvC_L,DNxn060_CvC_L,-1,2125
171,14A,intrinsic neuron,gaba,T1,,IN14A001,IN14A001,RHS,IN14A001_T1_R,IN14A001_T1_R,-1,6844
172,,sensory neuron,acetylcholine,,LHS,SNpp34,SNpp34,,SNpp34_DMetaN_L,SNpp34_DMetaN_L,1,11213
173,11A,intrinsic neuron,acetylcholine,T1,,IN11A024,IN11A024,LHS,IN11A024_T1_L,IN11A024_T1_L,1,5701
174,,sensory neuron,acetylcholine,,RHS,SNta30,SNta30,,SNta30_MetaLN_R,SNta30_MetaLN_R,-1,11441
175,13B,intrinsic neuron,gaba,T1,,IN13B069,IN13B069,RHS,IN13B069_T1_R,IN13B069_T1_R,-1,6743
176,20A.22A,intrinsic neuron,acetylcholine,T2,,IN20A.22A039,IN20A.22A039,RHS,IN20A.22A039_T2_R,IN20A.22A039_T2_R,1,8625
177,,sensory neuron,acetylcholine,,LHS,SNch12,SNch12,,SNch12_ADMN_L,SNch12_ADMN_L,1,11135
178,13B,intrinsic neuron,gaba,T1,,IN13B056,IN13B056,LHS,IN13B056_T1_L,IN13B056_T1_L,-1,6698
179,07B,intrinsic neuron,acetylcholine,T3,,IN07B099,IN07B099,LHS,IN07B099_T3_L,IN07B099_T3_L,1,4813
181,16B,intrinsic neuron,glutamate,T3,,IN16B024,IN16B024,RHS,IN16B024_T3_R,IN16B024_T3_R,-1,7312
183,,sensory neuron,glutamate,,RHS,SNch04,SNch04,,SNch04_ADMN_R,SNch04_ADMN_R,-1,11098
184,12B,ascending neuron,gaba,T3,LHS,AN12B017,AN12B017,RHS,AN12B017_T3_R,AN12B017_T3_R,-1,911
185,04B,intrinsic neuron,acetylcholine,T1,,IN04B015,IN04B015,LHS,IN04B015_T1_L,IN04B015_T1_L,1,3808
186,01A,intrinsic neuron,acetylcholine,T2,,IN01A070,IN01A070,LHS,IN01A070_T2_L,IN01A070_T2_L,1,2805
187,03B,intrinsic neuron,gaba,T1,,IN03B080,IN03B080,RHS,IN03B080_T1_R,IN03B080_T1_R,-1,3744
188,01B,intrinsic neuron,gaba,T2,,IN01B079,IN01B079,LHS,IN01B079_T2_L,IN01B079_T2_L,-1,3080
189,04B,intrinsic neuron,acetylcholine,T3,,IN04B054,IN04B054,RHS,IN04B054_T3_R,IN04B054_T3_R,1,3897
190,07B,ascending neuron,acetylcholine,T1,RHS,AN07B091,AN07B091,LHS,AN07B091_T1_L,AN07B091_T1_L,1,453
191,,sensory neuron,acetylcholine,,RHS,SNxx01,SNxx01,,SNxx01_AbN4_R,SNxx01_AbN4_R,1,11530
192,,sensory neuron,acetylcholine,,RHS,SNxx03,SNxx03,,SNxx03_AbN3_R,SNxx03_AbN3_R,1,11537
194,01B,intrinsic neuron,gaba,T3,,IN01B027,IN01B027,LHS,IN01B027_T3_L,IN01B027_T3_L,-1,2950
195,21A,intrinsic neuron,glutamate,T2,,IN21A080,IN21A080,RHS,IN21A080_T2_R,IN21A080_T2_R,-1,9066
196,14A,intrinsic neuron,glutamate,T2,,IN14A079,IN14A079,LHS,IN14A079_T2_L,IN14A079_T2_L,-1,7127
197,TBD,intrinsic neuron,gaba,A9,,INXXX388,INXXX388,LHS,INXXX388_A9_L,INXXX388_A9_L,-1,10202
199,TBD,intrinsic neuron,acetylcholine,A8,,INXXX456,INXXX456,LHS,INXXX456_A8_L,INXXX456_A8_L,1,10412
200,,sensory ascending,acetylcholine,,LHS,SApp01,SApp01,,SApp01_DMetaN_L,SApp01_DMetaN_L,1,11019
201,,sensory neuron,acetylcholine,,RHS,SNpp21,SNpp21,,SNpp21_DMetaN_R,SNpp21_DMetaN_R,1,11186
202,04B,intrinsic neuron,acetylcholine,T3,,IN04B032,IN04B032,RHS,IN04B032_T3_R,IN04B032_T3_R,1,3853
203,,sensory neuron,glutamate,,,SNxx33,SNxx33,,SNxx33_ProLN_R,SNxx33_ProLN_R,-1,11642
204,08B,ascending neuron,acetylcholine,T1,RHS,AN08B086,AN08B086,LHS,AN08B086_T1_L,AN08B086_T1_L,1,577
205,16B,intrinsic neuron,glutamate,T1,,IN16B075,IN16B075,RHS,IN16B075_T1_R,IN16B075_T1_R,-1,7441
207,12B,intrinsic neuron,gaba,T3,,IN12B068,IN12B068,RHS,IN12B068_T3_R,IN12B068_T3_R,-1,6174
208,20A.22A,intrinsic neuron,acetylcholine,T1,,IN20A.22A071,IN20A.22A071,LHS,IN20A.22A071_T1_L,IN20A.22A071_T1_L,1,8720
209,TBD,intrinsic neuron,acetylcholine,A7,,INXXX100,INXXX100,RHS,INXXX100_A7_R,INXXX100_A7_R,1,9627
210,,descending neuron,acetylcholine,,LHS,DNxn064,DNg78,,DNxn064_CvC_L,DNxn064_CvC_L,1,2133
211,12B,intrinsic neuron,gaba,T2,,IN12B034,IN12B034,LHS,IN12B034_T2_L,IN12B034_T2_L,-1,6054
213,13B,intrinsic neuron,gaba,T2,,IN13B001,IN13B001,LHS,IN13B001_T2_L,IN13B001_T2_L,-1,6469
214,17A,intrinsic neuron,acetylcholine,T3,,IN17A066,IN17A066,LHS,IN17A066_T3_L,IN17A066_T3_L,1,7710
215,05B,intrinsic neuron,gaba,T3,,IN05B043,IN05B043,LHS,IN05B043_T3_L,IN05B043_T3_L,-1,4129
216,,sensory neuron,glutamate,,RHS,SNch08,SNch13,,SNch13_ProLN_R,SNch13_ProLN_R,-1,11138
217,,sensory neuron,glutamate,,RHS,SNta25,SNta25,,SNta25_MesoLN_R,SNta25_MesoLN_R,-1,11408
