,hemilineage,class,predicted_nt,soma_neuromere,root_side,systematic_type,type,soma_side,instance,combined_type,nt_binary,idx
949,11A,intrinsic neuron,acetylcholine,T1,,IN11A014,IN11A014,RHS,IN11A014_T1_R,IN11A014_T1_R,1,5680
950,13A,intrinsic neuron,gaba,T3,,IN13A021,IN13A021,RHS,IN13A021_T3_R,IN13A021_T3_R,-1,6340
952,,sensory ascending,acetylcholine,,RHS,SApp07,SApp07,,SApp07_DMetaN_R,SApp07_DMetaN_R,1,11032
953,20A.22A,intrinsic neuron,acetylcholine,T1,,IN20A.22A049,IN20A.22A049,LHS,IN20A.22A049_T1_L,IN20A.22A049_T1_L,1,8652
954,04B,intrinsic neuron,acetylcholine,T1,,IN04B024,IN04B024,LHS,IN04B024_T1_L,IN04B024_T1_L,1,3824
955,09A,intrinsic neuron,gaba,T2,,IN09A030,IN09A030,LHS,IN09A030_T2_L,IN09A030_T2_L,-1,5199
956,16B,intrinsic neuron,glutamate,T2,,IN16B099,IN16B099,RHS,IN16B099_T2_R,IN16B099_T2_R,-1,7505
958,13A,intrinsic neuron,gaba,T1,,IN13A027,IN13A027,LHS,IN13A027_T1_L,IN13A027_T1_L,-1,6351
959,03B,intrinsic neuron,gaba,T2,,IN03B071,IN03B071,LHS,IN03B071_T2_L,IN03B071_T2_L,-1,3725
960,,sensory neuron,acetylcholine,,RHS,SNta21,SNta21,,SNta21_MetaLN_R,SNta21_MetaLN_R,1,11396
961,TBD,intrinsic neuron,acetylcholine,A4,,INXXX269,INXXX269,LHS,INXXX269_A4_L,INXXX269_A4_L,1,9896
962,TBD,motor neuron,glutamate,T1,,MNfl36,Sternal anterior rotator MN,LHS,MNfl36_VProN_L,MNfl36_VProN_L,-1,10666
963,20A.22A,intrinsic neuron,acetylcholine,T3,,IN20A.22A073,IN20A.22A073,LHS,IN20A.22A073_T3_L,IN20A.22A073_T3_L,1,8724
964,14A,intrinsic neuron,glutamate,T1,,IN14A026,IN14A026,RHS,IN14A026_T1_R,IN14A026_T1_R,-1,6964
965,08B,intrinsic neuron,acetylcholine,T3,,IN08B058,IN08B058,LHS,IN08B058_T3_L,IN08B058_T3_L,1,5013
966,13A,intrinsic neuron,gaba,T2,,IN13A032,IN13A032,RHS,IN13A032_T2_R,IN13A032_T2_R,-1,6362
967,20A.22A,intrinsic neuron,acetylcholine,T1,,IN20A.22A024,IN20A.22A024,LHS,IN20A.22A024_T1_L,IN20A.22A024_T1_L,1,8578
968,14A,intrinsic neuron,glutamate,T2,,IN14A061,IN14A061,RHS,IN14A061_T2_R,IN14A061_T2_R,-1,7078
969,17A,intrinsic neuron,acetylcholine,T3,,IN17A025,IN17A025,RHS,IN17A025_T3_R,IN17A025_T3_R,1,7616
970,,sensory neuron,glutamate,,LHS,SNta11,SNta11,,SNta11_ADMN_L,SNta11_ADMN_L,1,11371
971,,sensory neuron,glutamate,,LHS,SNta42,SNta42,,SNta42_MesoLN_L,SNta42_MesoLN_L,1,11498
972,05B,ascending neuron,gaba,T2,RHS,AN05B048,AN05B048,LHS,AN05B048_T2_L,AN05B048_T2_L,-1,168
973,13A,intrinsic neuron,gaba,T1,,IN13A037,IN13A037,LHS,IN13A037_T1_L,IN13A037_T1_L,-1,6371
974,12B,intrinsic neuron,gaba,T1,,IN12B070,IN12B070,LHS,IN12B070_T1_L,IN12B070_T1_L,-1,6177
975,12A,intrinsic neuron,acetylcholine,T1,,IN12A064,IN12A064,RHS,IN12A064_T1_R,IN12A064_T1_R,1,5929
