idx,hitting_time,bodyId,cell_type,side,coords,nt,sign,cell_type_side
72,2.956088941429149,10352,Li32,right,,gaba,-1,Li32_right
73,1.96778953825696,10358,MeVPMe12,right,,acetylcholine,1,MeVPMe12_right
74,2.00348992408937,10367,MeVPMe1,right,,glutamate,-1,MeVPMe1_right
75,2.9931552095769973,10372,LT1d,right,,unclear,1,LT1d_right
76,2.719529471647878,10387,LT83,right,,acetylcholine,1,LT83_right
77,2.9957754774864185,10403,VS,right,,acetylcholine,1,VS_right
78,2.720903280915424,10415,LT36,left,,gaba,-1,LT36_left
79,1.9656346466075685,10428,MeVCMe1,right,,acetylcholine,1,MeVCMe1_right
80,2.2741811945297035,10432,LoVCLo3,left,,octopamine,1,LoVCLo3_left
81,2.997308786694724,10436,LPi12,right,,gaba,-1,LPi12_right
82,2.918688660025973,10439,LT1a,right,,unclear,1,LT1a_right
83,2.72250246099184,10441,dCal1,right,,gaba,-1,dCal1_right
84,1.5756690852868074,10443,MeVPMe12,left,,acetylcholine,1,MeVPMe12_left
85,1.1813132601651095,10451,MeVPMe12,left,,acetylcholine,1,MeVPMe12_left
86,2.7326636237728,10457,mALD1,left,,gaba,-1,mALD1_left
87,2.490487454428207,10476,LT11,right,,gaba,-1,LT11_right
88,2.8492851961874632,10477,LoVC12,left,,gaba,-1,LoVC12_left
89,2.0194473041666923,10480,MeVP53,right,,gaba,-1,MeVP53_right
90,2.984811265503466,10481,LPT50,right,,gaba,-1,LPT50_right
91,2.994206142400593,10503,LPi4b,right,,gaba,-1,LPi4b_right
92,2.000394613492613,10508,aMe_TBD1,right,,unclear,1,aMe_TBD1_right
93,2.141974052803678,10518,Cm31b,right,,gaba,-1,Cm31b_right
94,2.1160252411966005,10531,Pm12,right,,glutamate,-1,Pm12_right
95,2.109753041189715,10532,MeVC26,left,,acetylcholine,1,MeVC26_left
96,2.131805187706106,10533,MeVPMe1,left,,glutamate,-1,MeVPMe1_left
97,2.106005895806679,10541,MeVPMe1,left,,glutamate,-1,MeVPMe1_left
98,2.8589864118730346,10542,LoVC25,left,,acetylcholine,1,LoVC25_left
99,2.918076047413183,10583,LPT60,right,,acetylcholine,1,LPT60_right
100,2.1034979406670327,10612,Pm12,right,,glutamate,-1,Pm12_right
101,2.9625664030971164,10630,LPT57,left,,acetylcholine,1,LPT57_left
102,2.515400010225627,10663,LT39,right,,gaba,-1,LT39_right
103,2.5154958768170315,10675,LT66,left,,acetylcholine,1,LT66_left
104,2.3212574792425724,10677,OA-AL2i4,right,,octopamine,1,OA-AL2i4_right
105,2.340703903810201,10679,OLVC2,left,,gaba,-1,OLVC2_left
106,2.582665907924075,10682,LPT54,right,,acetylcholine,1,LPT54_right
107,1.8832284285760263,10687,OA-AL2i3,right,,octopamine,1,OA-AL2i3_right
