idx,hitting_time,bodyId,cell_type,side,coords,nt,sign,cell_type_side
3524,1.9842397502115952,29093,Lawf2,right,,acetylcholine,1,Lawf2_right
3525,2.29223592911713,29094,Cm8,right,,gaba,-1,Cm8_right
3526,2.935666804674279,29100,LPi2c,right,,glutamate,-1,LPi2c_right
3527,2.7227653039966166,29102,LC17,right,,unclear,1,LC17_right
3528,2.589255418000596,29103,LC22,right,,acetylcholine,1,LC22_right
3529,2.3727526362080487,29104,Cm23,right,,glutamate,-1,Cm23_right
3530,2.6176346543977607,29112,LC36,right,,acetylcholine,1,LC36_right
3531,0.0,29114,L2,right,"-3,33",acetylcholine,1,L2_right
3532,1.0,29117,T1,right,"7,35",unclear,1,T1_right
3533,2.478289097425262,29119,LC6,right,,acetylcholine,1,LC6_right
3534,0.0,29121,L1,right,"14,32",glutamate,-1,L1_right
3535,2.317368824786835,29125,LLPC1,right,,acetylcholine,1,LLPC1_right
3536,2.6391021000055,29128,Li25,right,,gaba,-1,Li25_right
3537,2.00018036365742,29130,Pm5,right,,gaba,-1,Pm5_right
3538,1.0003083956100238,29131,Dm9,right,,glutamate,-1,Dm9_right
3539,0.0,29133,L2,right,"0,50",acetylcholine,1,L2_right
3540,0.0,29134,L1,right,"-8,16",glutamate,-1,L1_right
3541,2.2265197197642617,29139,LC37,right,,glutamate,-1,LC37_right
3542,2.758618041560412,29148,LC9,right,,acetylcholine,1,LC9_right
3543,2.656837412641328,29149,MeLo10,right,,glutamate,-1,MeLo10_right
3544,0.0,29159,L1,right,"-11,33",glutamate,-1,L1_right
3545,0.0,29162,L1,right,"6,20",glutamate,-1,L1_right
3546,0.0,29164,L2,right,"1,23",acetylcholine,1,L2_right
3547,2.057472448606363,29170,TmY16,right,,glutamate,-1,TmY16_right
3548,2.815906309033607,29171,LC17,right,,unclear,1,LC17_right
3549,2.463505475368197,29172,LLPC1,right,,acetylcholine,1,LLPC1_right
3550,1.9396803672349912,29174,Lawf2,right,,acetylcholine,1,Lawf2_right
3551,2.627722796707597,29180,Li25,right,,gaba,-1,Li25_right
3552,2.353792844021901,29183,LPLC2,right,,acetylcholine,1,LPLC2_right
3553,0.0,29184,L2,right,"-2,36",acetylcholine,1,L2_right
3554,2.3999685846161816,29186,LC10a,right,,acetylcholine,1,LC10a_right
3555,0.0,29189,L2,right,"1,31",acetylcholine,1,L2_right
3556,2.455206296951085,29190,MeLo12,right,,glutamate,-1,MeLo12_right
3557,0.0,29193,L1,right,"-8,58",glutamate,-1,L1_right
3558,2.0247663449073965,29203,Y3,right,,acetylcholine,1,Y3_right
3559,2.7723526875726896,29209,LC11,right,,acetylcholine,1,LC11_right
3560,2.3284628722697187,29216,LPLC2,right,,acetylcholine,1,LPLC2_right
3561,1.8287864416917388,29218,MeLo3b,right,,acetylcholine,1,MeLo3b_right
3562,2.761180311042627,29219,LC17,right,,unclear,1,LC17_right
3563,1.9957320472660984,29221,TmY15,right,,gaba,-1,TmY15_right
3564,2.6932327408453407,29223,LC9,right,,acetylcholine,1,LC9_right
3565,1.0002507019359053,29230,Dm9,right,,glutamate,-1,Dm9_right
3566,0.0,29233,L2,right,"-4,44",acetylcholine,1,L2_right
3567,2.3657575311173757,29239,LC25,right,,glutamate,-1,LC25_right
3568,2.1083832269433462,29245,Tm30,right,,gaba,-1,Tm30_right
3569,2.213374799338124,29246,TmY21,right,,acetylcholine,1,TmY21_right
3570,0.0,29247,L1,right,"13,49",glutamate,-1,L1_right
3571,2.8085082079631585,29249,LC17,right,,unclear,1,LC17_right
3572,1.7748760169450224,29254,Lawf1,right,,acetylcholine,1,Lawf1_right
3573,0.0,29255,L2,right,"1,67",acetylcholine,1,L2_right
3574,0.0,29256,L1,right,"12,46",glutamate,-1,L1_right
3575,2.337115189163216,29257,LC14a-1,right,,acetylcholine,1,LC14a-1_right
3576,0.0,29259,L1,right,"-14,26",glutamate,-1,L1_right
3577,2.4962767926837355,29265,LOLP1,right,,gaba,-1,LOLP1_right
3578,2.0211730242880184,29267,Y3,right,,acetylcholine,1,Y3_right
3579,0.0,29268,L2,right,"-10,26",acetylcholine,1,L2_right
3580,2.749235718944026,29269,LC9,right,,acetylcholine,1,LC9_right
3581,0.0,29274,L1,right,"16,32",glutamate,-1,L1_right
3582,0.0,29279,L2,right,"-3,57",acetylcholine,1,L2_right
3583,0.0,29281,L2,right,"-2,52",acetylcholine,1,L2_right
3584,2.228196067645268,29287,LPLC2,right,,acetylcholine,1,LPLC2_right
3585,0.0,29301,L1,right,"6,16",glutamate,-1,L1_right
3586,0.0,29302,L1,right,"14,38",glutamate,-1,L1_right
3587,2.005600845982299,29303,MeVP4,right,,acetylcholine,1,MeVP4_right
3588,1.3048859567160669,29308,MeVP11,right,,acetylcholine,1,MeVP11_right
3589,0.0,29312,L1,right,"10,22",glutamate,-1,L1_right
3590,2.510360171359793,29315,LC6,right,,acetylcholine,1,LC6_right
3591,0.0,29317,L2,right,"3,57",acetylcholine,1,L2_right
3592,2.278985545449922,29318,LC20b,right,,glutamate,-1,LC20b_right
3593,2.737096563143216,29321,LoVC25,left,,acetylcholine,1,LoVC25_left
3594,1.8669083401418587,29322,Lawf2,right,,acetylcholine,1,Lawf2_right
3595,1.881230235299108,29323,Dm1,right,,glutamate,-1,Dm1_right
3596,2.4038954728516084,29328,LC14a-2,left,,acetylcholine,1,LC14a-2_left
3597,0.0,29331,L2,right,"-4,36",acetylcholine,1,L2_right
3598,2.173416586819457,29335,LPLC4,right,,acetylcholine,1,LPLC4_right
3599,2.0385827541954264,29337,Pm3,right,,gaba,-1,Pm3_right
3600,0.0,29338,L1,right,"11,25",glutamate,-1,L1_right
3601,2.993856375842694,29345,LPi43,right,,glutamate,-1,LPi43_right
3602,2.905405413174548,29348,LPC1,right,,acetylcholine,1,LPC1_right
3603,2.021549012163736,29349,TmY15,right,,gaba,-1,TmY15_right
3604,2.0178672413867123,29351,aMe2,right,,glutamate,-1,aMe2_right
3605,2.8194852975778577,29358,LC17,right,,unclear,1,LC17_right
3606,2.34174877242792,29359,LC10a,right,,acetylcholine,1,LC10a_right
3607,1.147137179286724,29361,MeLo1,right,,acetylcholine,1,MeLo1_right
3608,0.0,29376,L1,right,"16,44",glutamate,-1,L1_right
3609,2.0083129153910835,29377,Y3,right,,acetylcholine,1,Y3_right
3610,0.0,29381,L2,right,"0,46",acetylcholine,1,L2_right
3611,2.4941501489419147,29382,LoVP16,right,,acetylcholine,1,LoVP16_right
3612,2.021106379424822,29385,TmY19a,right,,gaba,-1,TmY19a_right
3613,2.3271589194780886,29386,LPLC4,right,,acetylcholine,1,LPLC4_right
3614,2.0004285156655257,29389,Pm4,right,,gaba,-1,Pm4_right
3615,2.306730794428212,29391,LPLC2,right,,acetylcholine,1,LPLC2_right
3616,0.0,29398,L1,right,"-6,18",glutamate,-1,L1_right
3617,1.0,29399,Mi9,right,"-2,46",glutamate,-1,Mi9_right
3618,2.036095629640911,29400,Y3,right,,acetylcholine,1,Y3_right
3619,2.330115748652488,29402,LLPC1,right,,acetylcholine,1,LLPC1_right
3620,2.220733515887692,29406,LC10d,right,,acetylcholine,1,LC10d_right
3621,2.319010838067966,29409,Li19,right,,gaba,-1,Li19_right
3622,0.0,29411,L2,right,"-6,38",acetylcholine,1,L2_right
3623,2.022412312171321,29414,MeLo3b,right,,acetylcholine,1,MeLo3b_right
3624,1.000247987020721,29415,Dm9,right,,glutamate,-1,Dm9_right
3625,2.000201123270795,29426,Pm5,right,,gaba,-1,Pm5_right
3626,0.0,29431,L1,right,"-5,35",glutamate,-1,L1_right
3627,2.8524401031429925,29433,Y11,right,,glutamate,-1,Y11_right
3628,1.9640552900423405,29436,Lawf2,right,,acetylcholine,1,Lawf2_right
3629,2.204450391757712,29437,LC14b,right,,acetylcholine,1,LC14b_right
3630,2.153174080369363,29438,MeVP7,right,,acetylcholine,1,MeVP7_right
3631,0.0,29441,L2,right,"-5,61",acetylcholine,1,L2_right
3632,2.000168868752339,29443,Pm5,right,,gaba,-1,Pm5_right
3633,0.0,29444,L2,right,"-7,39",acetylcholine,1,L2_right
3634,0.0,29449,L2,right,"3,61",acetylcholine,1,L2_right
3635,2.703589804726712,29453,LC11,right,,acetylcholine,1,LC11_right
3636,0.0,29456,L1,right,"12,24",glutamate,-1,L1_right
3637,1.74074073077214,29457,Cm2,right,,acetylcholine,1,Cm2_right
3638,2.0001031933008697,29459,Pm5,right,,gaba,-1,Pm5_right
3639,0.0,29460,L1,right,"-6,36",glutamate,-1,L1_right
3640,2.908015852956936,29461,Tlp11,right,,glutamate,-1,Tlp11_right
3641,2.0062929056516072,29464,Li20,right,,glutamate,-1,Li20_right
3642,1.94332313055184,29468,Lawf2,right,,acetylcholine,1,Lawf2_right
3643,0.0,29472,L2,right,"3,25",acetylcholine,1,L2_right
3644,2.063825522526466,29473,TmY14,right,,glutamate,-1,TmY14_right
3645,0.0,29475,L1,right,"0,22",glutamate,-1,L1_right
3646,1.655607400157752,29477,Lawf1,right,,acetylcholine,1,Lawf1_right
3647,2.0279612458533,29479,TmY15,right,,gaba,-1,TmY15_right
3648,2.0276264381267777,29487,Y3,right,,acetylcholine,1,Y3_right
3649,2.928913070949446,29489,LPi2c,right,,glutamate,-1,LPi2c_right
3650,0.0,29496,L1,right,"-5,17",glutamate,-1,L1_right
3651,2.9731620798591685,29498,Tlp11,right,,glutamate,-1,Tlp11_right
3652,1.9395532506585456,29500,Lawf2,right,,acetylcholine,1,Lawf2_right
3653,1.6601733181321263,29505,MeLo2,right,,acetylcholine,1,MeLo2_right
3654,2.264997311840043,29506,LLPC1,right,,acetylcholine,1,LLPC1_right
3655,2.9290483741980253,29508,Tlp11,right,,glutamate,-1,Tlp11_right
3656,0.0,29512,L2,right,"2,70",acetylcholine,1,L2_right
3657,1.8245459705564224,29515,Dm1,right,,glutamate,-1,Dm1_right
3658,2.659013350787948,29518,LC11,right,,acetylcholine,1,LC11_right
3659,0.0,29519,L2,right,"16,30",acetylcholine,1,L2_right
3660,0.0,29522,L2,right,"-2,60",acetylcholine,1,L2_right
3661,2.282373883691804,29529,LPLC1,right,,acetylcholine,1,LPLC1_right
3662,0.0,29530,L2,right,"4,30",acetylcholine,1,L2_right
3663,2.0169155503193563,29532,Y3,right,,acetylcholine,1,Y3_right
3664,2.5849266602161105,29533,TmY14,right,,glutamate,-1,TmY14_right
3665,2.004733800914652,29538,MeVP4,right,,acetylcholine,1,MeVP4_right
3666,0.0,29539,L1,right,"14,44",glutamate,-1,L1_right
3667,2.000366661485423,29544,Pm4,right,,gaba,-1,Pm4_right
3668,0.0,29546,L1,right,"12,32",glutamate,-1,L1_right
3669,2.794998026248721,29553,LC17,right,,unclear,1,LC17_right
3670,2.0277041569662773,29554,TmY15,right,,gaba,-1,TmY15_right
3671,2.000356744945387,29556,Pm2a,right,,gaba,-1,Pm2a_right
3672,2.4525853303374903,29557,LC14a-2,left,,acetylcholine,1,LC14a-2_left
3673,2.0350313467270835,29563,LC4,right,,acetylcholine,1,LC4_right
3674,0.0,29564,L2,right,"4,54",acetylcholine,1,L2_right
3675,2.006790689220783,29566,MeVP4,right,,acetylcholine,1,MeVP4_right
3676,0.0,29571,L1,right,"3,17",glutamate,-1,L1_right
3677,2.9821956718927205,29572,LPi3b,right,,glutamate,-1,LPi3b_right
3678,2.875476351043376,29581,PLP150,right,,unclear,1,PLP150_right
3679,1.9104256416488352,29590,Mi18,right,,gaba,-1,Mi18_right
3680,0.0,29593,L1,right,"12,66",glutamate,-1,L1_right
3681,2.8167589466232594,29595,Y11,right,,glutamate,-1,Y11_right
3682,2.9256797474472283,29596,LPC1,right,,acetylcholine,1,LPC1_right
3683,2.449911012363573,29598,LPLC2,right,,acetylcholine,1,LPLC2_right
3684,2.020680664569184,29599,TmY15,right,,gaba,-1,TmY15_right
3685,2.7076603906156027,29600,LC11,right,,acetylcholine,1,LC11_right
3686,2.958536782666578,29603,Tlp13,right,,glutamate,-1,Tlp13_right
3687,0.0,29606,L1,right,"9,21",glutamate,-1,L1_right
3688,0.0,29610,L2,right,"11,29",acetylcholine,1,L2_right
3689,2.482552194932287,29618,LC9,right,,acetylcholine,1,LC9_right
3690,2.3528223813662037,29619,LC13,right,,acetylcholine,1,LC13_right
3691,0.0,29628,L2,right,"-1,31",acetylcholine,1,L2_right
3692,2.608507536035997,29629,Li25,right,,gaba,-1,Li25_right
3693,2.4228043052713177,29633,LC6,right,,acetylcholine,1,LC6_right
3694,1.909225199833372,29637,Lawf2,right,,acetylcholine,1,Lawf2_right
3695,2.291302588497704,29638,LC14b,right,,acetylcholine,1,LC14b_right
3696,2.0176005980052394,29642,Y3,right,,acetylcholine,1,Y3_right
3697,0.0,29646,L2,right,"-13,41",acetylcholine,1,L2_right
3698,0.0,29647,L2,right,"-4,14",acetylcholine,1,L2_right
3699,0.0,29649,L1,right,"-1,43",glutamate,-1,L1_right
3700,1.007722788834423,29650,Dm12,right,,glutamate,-1,Dm12_right
3701,0.0,29654,L1,right,"10,60",glutamate,-1,L1_right
3702,1.628667791142837,29658,MeLo2,right,,acetylcholine,1,MeLo2_right
3703,2.77607133001239,29660,LC11,right,,acetylcholine,1,LC11_right
3704,0.0,29661,L2,right,"1,17",acetylcholine,1,L2_right
3705,0.0,29664,L2,right,"-10,30",acetylcholine,1,L2_right
3706,0.0,29668,L2,right,"-5,47",acetylcholine,1,L2_right
3707,2.0073012035449165,29669,MeVP1,right,,acetylcholine,1,MeVP1_right
3708,0.0,29679,L1,right,"13,57",glutamate,-1,L1_right
3709,2.013811327753447,29680,Y3,right,,acetylcholine,1,Y3_right
3710,0.0,29681,L2,right,"0,38",acetylcholine,1,L2_right
3711,2.651522195636502,29682,LC17,right,,unclear,1,LC17_right
3712,2.7492611826389424,29688,Tlp11,right,,glutamate,-1,Tlp11_right
3713,0.0,29693,L1,right,"-7,17",glutamate,-1,L1_right
3714,1.0,29694,T1,right,"-12,32",unclear,1,T1_right
3715,0.0,29695,L2,right,"-1,33",acetylcholine,1,L2_right
3716,0.0,29696,L1,right,"-3,35",glutamate,-1,L1_right
3717,0.0,29699,L1,right,"11,41",glutamate,-1,L1_right
3718,2.4402978985855954,29703,MeTu1,right,,acetylcholine,1,MeTu1_right
3719,2.957463371288531,29705,LPi34,right,,glutamate,-1,LPi34_right
3720,0.0,29706,L2,right,"-10,44",acetylcholine,1,L2_right
3721,0.0,29708,L1,right,"14,50",glutamate,-1,L1_right
3722,2.0001892482560293,29712,Pm5,right,,gaba,-1,Pm5_right
3723,0.0,29714,L2,right,"0,48",acetylcholine,1,L2_right
3724,0.0,29716,L1,right,"12,44",glutamate,-1,L1_right
3725,2.0165355305080417,29717,MeLo9,right,,glutamate,-1,MeLo9_right
3726,1.0095685830733034,29718,Dm12,right,,glutamate,-1,Dm12_right
3727,1.89017760779749,29722,Dm1,right,,glutamate,-1,Dm1_right
3728,2.1511964213880392,29723,MeLo14,right,,glutamate,-1,MeLo14_right
3729,1.9729445753295003,29727,Cm11b,right,,acetylcholine,1,Cm11b_right
3730,0.0,29730,L2,right,"-13,35",acetylcholine,1,L2_right
3731,2.729125736933765,29731,TmY17,right,,acetylcholine,1,TmY17_right
3732,0.0,29732,L1,right,"17,35",glutamate,-1,L1_right
3733,2.0396997952760936,29733,TmY16,right,,glutamate,-1,TmY16_right
3734,1.355447390201679,29734,MeLo1,right,,acetylcholine,1,MeLo1_right
3735,2.015104061534645,29739,TmY15,right,,gaba,-1,TmY15_right
3736,2.426337494058453,29744,LC10a,right,,acetylcholine,1,LC10a_right
3737,0.0,29751,L1,right,"8,54",glutamate,-1,L1_right
3738,0.0,29754,L2,right,"-9,29",acetylcholine,1,L2_right
3739,1.000006041783127,29756,Dm9,right,,glutamate,-1,Dm9_right
3740,2.2940536087750747,29757,LLPC1,right,,acetylcholine,1,LLPC1_right
3741,0.0,29762,L2,right,"1,37",acetylcholine,1,L2_right
3742,2.0306734940632154,29763,TmY16,right,,glutamate,-1,TmY16_right
3743,2.01347100820798,29766,Y3,right,,acetylcholine,1,Y3_right
3744,2.015901649750085,29769,TmY15,right,,gaba,-1,TmY15_right
3745,2.2971003141665847,29775,Lat1,right,,unclear,1,Lat1_right
3746,1.7911037219642432,29777,Lawf1,right,,acetylcholine,1,Lawf1_right
3747,1.0,29778,T1,right,"-11,23",unclear,1,T1_right
3748,1.82655187330374,29786,Cm11d,right,,acetylcholine,1,Cm11d_right
3749,2.2392137221374755,29788,Tm24,right,,acetylcholine,1,Tm24_right
3750,0.0,29790,L1,right,"12,50",glutamate,-1,L1_right
3751,2.262011369643485,29793,LC10d,right,,acetylcholine,1,LC10d_right
3752,2.9220435155656777,29798,Tlp11,right,,glutamate,-1,Tlp11_right
3753,0.0,29800,L2,right,"-11,47",acetylcholine,1,L2_right
3754,2.061819006811186,29801,TmY21,right,,acetylcholine,1,TmY21_right
3755,0.0,29802,L2,right,"-4,38",acetylcholine,1,L2_right
3756,2.000077971098311,29807,Pm1,right,,gaba,-1,Pm1_right
3757,2.002463775382269,29810,Li20,right,,glutamate,-1,Li20_right
3758,0.0,29814,L2,right,"3,55",acetylcholine,1,L2_right
3759,1.3462005270364958,29821,Cm11d,right,,acetylcholine,1,Cm11d_right
3760,0.0,29834,L2,right,"-10,58",acetylcholine,1,L2_right
3761,2.0166228925629417,29835,Y3,right,,acetylcholine,1,Y3_right
3762,2.0003706778703974,29838,Pm4,right,,gaba,-1,Pm4_right
3763,2.9888050003132345,29845,Tlp14,right,,glutamate,-1,Tlp14_right
3764,0.0,29850,L2,right,"-9,59",acetylcholine,1,L2_right
3765,2.744933342303912,29853,LC17,right,,unclear,1,LC17_right
3766,2.2861634480948707,29865,LC31a,right,,acetylcholine,1,LC31a_right
3767,2.660024542995343,29866,LC15,right,,acetylcholine,1,LC15_right
3768,2.001741395963692,29868,Cm13,right,,glutamate,-1,Cm13_right
3769,2.85680778458358,29869,Y11,right,,glutamate,-1,Y11_right
3770,0.0,29871,L2,right,"-2,48",acetylcholine,1,L2_right
3771,2.451116090716272,29873,LPLC2,right,,acetylcholine,1,LPLC2_right
3772,0.0,29874,L2,right,"-13,37",acetylcholine,1,L2_right
3773,0.0,29875,L1,right,"1,71",glutamate,-1,L1_right
3774,2.376931987642087,29893,LC10d,right,,acetylcholine,1,LC10d_right
3775,2.820110519131615,29894,Y13,right,,glutamate,-1,Y13_right
3776,2.5492512982590787,29896,LC34,right,,acetylcholine,1,LC34_right
3777,2.735503928199659,29899,LLPC3,right,,acetylcholine,1,LLPC3_right
3778,2.7257347761462487,29903,LC9,right,,acetylcholine,1,LC9_right
3779,2.75752161224134,29904,LC11,right,,acetylcholine,1,LC11_right
3780,0.0,29909,L2,right,"-7,31",acetylcholine,1,L2_right
3781,0.0,29910,L1,right,"9,59",glutamate,-1,L1_right
3782,0.0,29911,R8y,right,,histamine,1,R8y_right
3783,0.0,29912,L2,right,"-5,45",acetylcholine,1,L2_right
3784,2.107941795897493,29917,Cm26,right,,glutamate,-1,Cm26_right
3785,2.964028101473407,29922,LPi34,right,,glutamate,-1,LPi34_right
3786,0.0,29933,L1,right,"12,48",glutamate,-1,L1_right
3787,2.291017658782226,29937,LPLC1,right,,acetylcholine,1,LPLC1_right
3788,2.202263931297038,29940,Tm38,right,,acetylcholine,1,Tm38_right
3789,2.8700458475663586,29942,LPC1,right,,acetylcholine,1,LPC1_right
3790,0.0,29943,L1,right,"14,26",glutamate,-1,L1_right
3791,0.0,29946,L1,right,"9,63",glutamate,-1,L1_right
3792,0.0,29950,L1,right,"8,62",glutamate,-1,L1_right
3793,2.980942369373789,29953,LPi43,right,,glutamate,-1,LPi43_right
3794,2.5895477322219014,29954,LC34,right,,acetylcholine,1,LC34_right
3795,1.7496384268988794,29957,Lawf2,right,,acetylcholine,1,Lawf2_right
3796,2.5337367747211914,29959,LC15,right,,acetylcholine,1,LC15_right
3797,2.915370282868027,29960,Tlp11,right,,glutamate,-1,Tlp11_right
3798,2.6823667024632973,29963,LC9,right,,acetylcholine,1,LC9_right
3799,2.017117215281094,29965,Y3,right,,acetylcholine,1,Y3_right
3800,1.9747625226794725,29969,Lawf2,right,,acetylcholine,1,Lawf2_right
3801,0.0,29971,L1,right,"3,19",glutamate,-1,L1_right
3802,1.0067696861359594,29977,Dm12,right,,glutamate,-1,Dm12_right
3803,2.397008090637432,29979,LC10a,right,,acetylcholine,1,LC10a_right
3804,0.0,29980,L1,right,"12,26",glutamate,-1,L1_right
3805,2.337414910012685,29986,LPLC2,right,,acetylcholine,1,LPLC2_right
3806,2.4829704403451776,29993,LoVP16,right,,acetylcholine,1,LoVP16_right
3807,2.0001627394285006,29998,Pm5,right,,gaba,-1,Pm5_right
3808,2.0002846454558405,29999,Pm4,right,,gaba,-1,Pm4_right
3809,1.996210340058366,30000,TmY19a,right,,gaba,-1,TmY19a_right
3810,0.0,30001,L2,right,"0,44",acetylcholine,1,L2_right
3811,2.227901155286716,30004,LC14b,right,,acetylcholine,1,LC14b_right
3812,2.720920226869021,30007,Li15,right,,gaba,-1,Li15_right
3813,2.0001351309122946,30008,Pm5,right,,gaba,-1,Pm5_right
3814,2.0000835001023844,30009,Pm1,right,,gaba,-1,Pm1_right
3815,0.0,30010,L2,right,"0,18",acetylcholine,1,L2_right
3816,2.0259251517849832,30013,Y3,right,,acetylcholine,1,Y3_right
3817,0.0,30014,L1,right,"5,63",glutamate,-1,L1_right
3818,0.0,30015,L2,right,"10,42",acetylcholine,1,L2_right
3819,2.856670582431396,30017,LC17,right,,unclear,1,LC17_right
3820,2.0028853005021503,30020,Pm10,right,,gaba,-1,Pm10_right
3821,2.4683526484012472,30030,Cm24,right,,glutamate,-1,Cm24_right
3822,2.000584282050453,30033,Pm4,right,,gaba,-1,Pm4_right
3823,1.971227283210124,30034,TmY19a,right,,gaba,-1,TmY19a_right
3824,0.0,30035,L1,right,"-11,17",glutamate,-1,L1_right
3825,0.0,30038,R8y,right,,histamine,1,R8y_right
3826,0.0,30040,L2,right,"1,53",acetylcholine,1,L2_right
3827,2.3455390023693794,30041,LPLC2,right,,acetylcholine,1,LPLC2_right
3828,1.0,30044,T1,right,"-1,53",unclear,1,T1_right
3829,1.0002186000853008,30045,Dm9,right,,glutamate,-1,Dm9_right
3830,0.0,30050,L2,right,"9,35",acetylcholine,1,L2_right
3831,1.0000649669509616,30059,Dm9,right,,glutamate,-1,Dm9_right
3832,2.024711325807916,30060,TmY15,right,,gaba,-1,TmY15_right
3833,0.0,30062,L1,right,"1,35",glutamate,-1,L1_right
3834,2.5025345312359906,30066,Li15,right,,gaba,-1,Li15_right
3835,2.969350374837913,30067,Y12,right,,glutamate,-1,Y12_right
3836,0.0,30071,L1,right,"-6,58",glutamate,-1,L1_right
3837,2.1391545109092083,30079,Tm38,right,,acetylcholine,1,Tm38_right
3838,2.203653011182474,30080,MeVP16,right,,glutamate,-1,MeVP16_right
3839,2.4297807525406885,30086,Li34a,right,,gaba,-1,Li34a_right
3840,2.7249209761094524,30094,Li25,right,,gaba,-1,Li25_right
3841,2.804683336690653,30098,LC17,right,,unclear,1,LC17_right
3842,2.070372771578553,30114,MeLo14,right,,glutamate,-1,MeLo14_right
3843,0.0,30117,L2,right,"8,48",acetylcholine,1,L2_right
3844,0.0,30125,L2,right,"-3,49",acetylcholine,1,L2_right
3845,2.0019721062786675,30127,Cm13,right,,glutamate,-1,Cm13_right
3846,1.946792778850084,30129,Lawf2,right,,acetylcholine,1,Lawf2_right
3847,2.476438191490832,30134,LC6,right,,acetylcholine,1,LC6_right
3848,0.0,30138,L1,right,"-9,33",glutamate,-1,L1_right
3849,2.789121877008065,30142,LC17,right,,unclear,1,LC17_right
3850,2.208481234670799,30144,Lat1,right,,unclear,1,Lat1_right
3851,1.0,30145,Tm1,right,"13,31",acetylcholine,1,Tm1_right
3852,2.718795564986063,30146,Li15,right,,gaba,-1,Li15_right
3853,0.0,30149,L1,right,"5,19",glutamate,-1,L1_right
3854,2.0156799224456154,30150,Y3,right,,acetylcholine,1,Y3_right
3855,2.8013263462050904,30151,LC17,right,,unclear,1,LC17_right
3856,0.0,30160,L1,right,"2,18",glutamate,-1,L1_right
3857,1.6878323232804484,30164,Lawf2,right,,acetylcholine,1,Lawf2_right
3858,1.7071135365159509,30165,MeLo2,right,,acetylcholine,1,MeLo2_right
3859,2.957199919236224,30166,LPi34,right,,glutamate,-1,LPi34_right
3860,1.007700115039203,30168,Dm12,right,,glutamate,-1,Dm12_right
3861,0.0,30174,L1,right,"5,15",glutamate,-1,L1_right
3862,2.029540863174479,30176,TmY15,right,,gaba,-1,TmY15_right
3863,0.0,30180,L2,right,"2,30",acetylcholine,1,L2_right
3864,0.0,30185,L1,right,"9,19",glutamate,-1,L1_right
3865,2.336336353651567,30188,LC10d,right,,acetylcholine,1,LC10d_right
3866,2.7199345128777166,30191,Li25,right,,gaba,-1,Li25_right
3867,2.58332937845316,30192,Li25,right,,gaba,-1,Li25_right
3868,0.0,30195,L1,right,"-2,66",glutamate,-1,L1_right
3869,0.0,30196,L1,right,"7,69",glutamate,-1,L1_right
3870,2.282417656362073,30197,Cm8,right,,gaba,-1,Cm8_right
3871,0.0,30200,L2,right,"1,29",acetylcholine,1,L2_right
3872,1.0060333148257543,30203,Dm12,right,,glutamate,-1,Dm12_right
3873,2.343032072711257,30204,LLPC1,right,,acetylcholine,1,LLPC1_right
3874,2.354253603650029,30207,LPLC2,right,,acetylcholine,1,LPLC2_right
3875,2.0001143446779306,30208,Pm5,right,,gaba,-1,Pm5_right
3876,2.214090040519732,30220,MeVP16,right,,glutamate,-1,MeVP16_right
3877,2.2881866363171133,30222,Tm31,right,,glutamate,-1,Tm31_right
3878,0.0,30223,L2,right,"-3,45",acetylcholine,1,L2_right
3879,0.0,30226,L1,right,"9,53",glutamate,-1,L1_right
3880,2.9808873371842304,30227,Tlp14,right,,glutamate,-1,Tlp14_right
3881,2.0002853039054243,30230,Pm2a,right,,gaba,-1,Pm2a_right
3882,1.7741805488056663,30233,Lawf2,right,,acetylcholine,1,Lawf2_right
3883,0.0,30235,L1,right,"13,43",glutamate,-1,L1_right
3884,2.0124779568282705,30236,Y3,right,,acetylcholine,1,Y3_right
3885,2.02208714373243,30237,MeVP12,right,,acetylcholine,1,MeVP12_right
3886,2.043683080514942,30239,Cm19,right,,gaba,-1,Cm19_right
3887,2.6970124094257564,30240,Cm24,right,,glutamate,-1,Cm24_right
3888,0.0,30241,L1,right,"-3,69",glutamate,-1,L1_right
3889,2.917198145179708,30242,Tlp11,right,,glutamate,-1,Tlp11_right
3890,0.0,30244,L1,right,"-4,52",glutamate,-1,L1_right
3891,0.0,30246,L1,right,"-7,51",glutamate,-1,L1_right
3892,2.8026990432713794,30247,LC11,right,,acetylcholine,1,LC11_right
3893,0.0,30248,L1,right,"10,26",glutamate,-1,L1_right
3894,2.745582853257118,30250,Li25,right,,gaba,-1,Li25_right
3895,0.0,30251,L2,right,"2,26",acetylcholine,1,L2_right
3896,2.6087230529950407,30252,MeLo12,right,,glutamate,-1,MeLo12_right
3897,2.02160163196882,30254,Y3,right,,acetylcholine,1,Y3_right
3898,2.530315251012225,30255,LC25,right,,glutamate,-1,LC25_right
3899,0.0,30258,L2,right,"2,66",acetylcholine,1,L2_right
3900,2.0016406045169743,30259,Tm32,right,,glutamate,-1,Tm32_right
3901,2.1387365769420703,30262,MeTu1,right,,acetylcholine,1,MeTu1_right
3902,2.535658410539598,30265,TmY17,right,,acetylcholine,1,TmY17_right
3903,1.0,30266,R1-R6,right,,histamine,1,R1-R6_right
3904,0.0,30268,L2,right,"8,26",acetylcholine,1,L2_right
3905,2.732494585135884,30269,LC9,right,,acetylcholine,1,LC9_right
3906,2.0023109236790493,30285,Tm32,right,,glutamate,-1,Tm32_right
