bodyId,cell_type,side,idx,nt,sign
102634,Tm30,right,32926,gaba,-1
102639,Mi9,right,32927,glutamate,-1
102640,Tm5a,right,32928,acetylcholine,1
102643,T4b,right,32929,acetylcholine,1
102646,Li22,right,32930,glutamate,-1
102649,T4d,right,32931,acetylcholine,1
102651,Tm6,right,32932,acetylcholine,1
102652,Tm4,right,32933,acetylcholine,1
102655,TmY10,right,32934,acetylcholine,1
102659,T3,right,32935,acetylcholine,1
102661,L5,right,32936,acetylcholine,1
102663,Tm4,right,32937,acetylcholine,1
102665,Mi13,right,32938,glutamate,-1
102667,Dm8b,right,32939,glutamate,-1
102669,Mi10,right,32940,acetylcholine,1
102670,Tm6,right,32941,acetylcholine,1
102672,Tm6,right,32942,acetylcholine,1
102676,T4d,right,32943,acetylcholine,1
102679,L2,right,32944,acetylcholine,1
102686,Tm6,right,32945,acetylcholine,1
102687,C2,right,32946,gaba,-1
102688,T4b,right,32947,acetylcholine,1
102693,T5a,right,32948,acetylcholine,1
102694,Tm6,right,32949,acetylcholine,1
102699,L3,right,32950,acetylcholine,1
102700,T4a,right,32951,acetylcholine,1
