bodyId,cell_type,side,idx,nt,sign
101368,Dm9,right,32419,glutamate,-1
101373,TmY20,right,32420,acetylcholine,1
101376,T2a,right,32421,acetylcholine,1
101377,T5a,right,32422,acetylcholine,1
101378,Tm6,right,32423,acetylcholine,1
101379,T4d,right,32424,acetylcholine,1
101380,T4d,right,32425,acetylcholine,1
101382,T4c,right,32426,acetylcholine,1
101383,T4b,right,32427,acetylcholine,1
101385,Mi9,right,32428,glutamate,-1
101386,Dm8b,right,32429,glutamate,-1
101388,Tm29,right,32430,glutamate,-1
101390,L4,right,32431,acetylcholine,1
101397,Tm12,right,32432,acetylcholine,1
101398,MeLo6,right,32433,acetylcholine,1
101403,T4a,right,32434,acetylcholine,1
101404,Mi9,right,32435,glutamate,-1
101407,T2,right,32436,acetylcholine,1
101410,Tm9,right,32437,acetylcholine,1
101413,L5,right,32438,acetylcholine,1
101414,R7y,right,32439,histamine,1
101416,TmY18,right,32440,acetylcholine,1
101421,TmY18,right,32441,acetylcholine,1
101422,C3,right,32442,gaba,-1
101424,T4a,right,32443,acetylcholine,1
101425,TmY18,right,32444,acetylcholine,1
101426,Tm6,right,32445,acetylcholine,1
101427,C2,right,32446,gaba,-1
101430,Tm39,right,32447,acetylcholine,1
101431,C3,right,32448,gaba,-1
101432,Tm4,right,32449,acetylcholine,1
101436,Tm5c,right,32450,glutamate,-1
101438,C2,right,32451,gaba,-1
101441,T4a,right,32452,acetylcholine,1
101442,T4d,right,32453,acetylcholine,1
101444,TmY5a,right,32454,glutamate,-1
101445,T2a,right,32455,acetylcholine,1
101446,Mi17,right,32456,gaba,-1
101448,Tm20,right,32457,acetylcholine,1
101451,T4d,right,32458,acetylcholine,1
101453,T2a,right,32459,acetylcholine,1
101456,Dm10,right,32460,gaba,-1
101462,Tm39,right,32461,acetylcholine,1
101463,T4d,right,32462,acetylcholine,1
101470,TmY18,right,32463,acetylcholine,1
101480,T4c,right,32464,acetylcholine,1
101481,T3,right,32465,acetylcholine,1
101485,T4c,right,32466,acetylcholine,1
101488,C3,right,32467,gaba,-1
101489,TmY18,right,32468,acetylcholine,1
101491,Mi1,right,32469,acetylcholine,1
101492,Tm20,right,32470,acetylcholine,1
101495,C2,right,32471,gaba,-1
101497,Mi15,right,32472,acetylcholine,1
101500,L4,right,32473,acetylcholine,1
101502,TmY9b,right,32474,acetylcholine,1
101505,Tm6,right,32475,acetylcholine,1
101506,Dm8a,right,32476,glutamate,-1
101510,Tm3,right,32477,acetylcholine,1
101511,Tm5Y,right,32478,acetylcholine,1
101512,C2,right,32479,gaba,-1
101517,Tm6,right,32480,acetylcholine,1
101518,Tm4,right,32481,acetylcholine,1
101525,Mi2,right,32482,glutamate,-1
101528,Mi15,right,32483,acetylcholine,1
101529,Tm20,right,32484,acetylcholine,1
101530,Mi13,right,32485,glutamate,-1
101531,Tm6,right,32486,acetylcholine,1
101532,T3,right,32487,acetylcholine,1
101533,Tm9,right,32488,acetylcholine,1
101535,T5b,right,32489,acetylcholine,1
101536,Tm29,right,32490,glutamate,-1
101541,C2,right,32491,gaba,-1
101542,L5,right,32492,acetylcholine,1
101543,Tm32,right,32493,glutamate,-1
101544,Mi13,right,32494,glutamate,-1
101545,Cm5,right,32495,gaba,-1
101546,T5a,right,32496,acetylcholine,1
101547,T2a,right,32497,acetylcholine,1
101549,LC10e,right,32498,acetylcholine,1
101551,L5,right,32499,acetylcholine,1
101557,T4a,right,32500,acetylcholine,1
101560,C2,right,32501,gaba,-1
101564,Tm9,right,32502,acetylcholine,1
101566,T5a,right,32503,acetylcholine,1
101567,Mi13,right,32504,glutamate,-1
101569,Mi9,right,32505,glutamate,-1
101573,Mi9,right,32506,glutamate,-1
101574,TmY18,right,32507,acetylcholine,1
101578,Dm8a,right,32508,glutamate,-1
101585,TmY18,right,32509,acetylcholine,1
101587,Mi9,right,32510,glutamate,-1
101589,T4a,right,32511,acetylcholine,1
101595,L5,right,32512,acetylcholine,1
101598,Tm39,right,32513,acetylcholine,1
101599,T5c,right,32514,acetylcholine,1
101603,L5,right,32515,acetylcholine,1
101605,T4a,right,32516,acetylcholine,1
101608,Tm12,right,32517,acetylcholine,1
101611,L5,right,32518,acetylcholine,1
101619,TmY5a,right,32519,glutamate,-1
101620,T4b,right,32520,acetylcholine,1
101621,T4d,right,32521,acetylcholine,1
101622,Mi9,right,32522,glutamate,-1
101623,TmY9b,right,32523,acetylcholine,1
101626,C2,right,32524,gaba,-1
101628,Mi4,right,32525,gaba,-1
101630,Tm9,right,32526,acetylcholine,1
101633,Tm3,right,32527,acetylcholine,1
101637,L5,right,32528,acetylcholine,1
101643,Tm12,right,32529,acetylcholine,1
101645,T4a,right,32530,acetylcholine,1
101653,L5,right,32531,acetylcholine,1
101655,T4a,right,32532,acetylcholine,1
101658,Tm6,right,32533,acetylcholine,1
101659,Dm3b,right,32534,glutamate,-1
101661,Mi9,right,32535,glutamate,-1
101663,Tm6,right,32536,acetylcholine,1
101667,T5b,right,32537,acetylcholine,1
101668,Tm6,right,32538,acetylcholine,1
101670,Tm6,right,32539,acetylcholine,1
101676,T5d,right,32540,acetylcholine,1
101677,Tm6,right,32541,acetylcholine,1
101682,Tm6,right,32542,acetylcholine,1
101684,T5b,right,32543,acetylcholine,1
101685,T4b,right,32544,acetylcholine,1
101688,Tm5c,right,32545,glutamate,-1
101689,Dm10,right,32546,gaba,-1
101690,Tm9,right,32547,acetylcholine,1
101692,Mi9,right,32548,glutamate,-1
101694,LPC2,right,32549,acetylcholine,1
101695,Tm2,right,32550,acetylcholine,1
101699,Mi9,right,32551,glutamate,-1
101702,T5c,right,32552,acetylcholine,1
101704,LPi3412,right,32553,glutamate,-1
101707,T4c,right,32554,acetylcholine,1
101708,T5b,right,32555,acetylcholine,1
101709,T4d,right,32556,acetylcholine,1
101710,T2a,right,32557,acetylcholine,1
101712,Tm6,right,32558,acetylcholine,1
101714,Tm6,right,32559,acetylcholine,1
101715,Mi9,right,32560,glutamate,-1
101720,T4b,right,32561,acetylcholine,1
101721,T4d,right,32562,acetylcholine,1
101722,T5a,right,32563,acetylcholine,1
101723,Mi16,right,32564,gaba,-1
101724,Tm3,right,32565,acetylcholine,1
101725,L5,right,32566,acetylcholine,1
101728,T4b,right,32567,acetylcholine,1
101730,Tm3,right,32568,acetylcholine,1
101732,T4c,right,32569,acetylcholine,1
101734,T4a,right,32570,acetylcholine,1
101735,Dm11,right,32571,glutamate,-1
101736,TmY9b,right,32572,acetylcholine,1
101738,L5,right,32573,acetylcholine,1
101741,TmY18,right,32574,acetylcholine,1
101742,T4c,right,32575,acetylcholine,1
