,bodyid,hemilineage,class,predictedNt,somaNeuromere,rootSide,systematicType,type,somaSide,name,combined_type,nt_binary,idx
1,10000,,descending neuron,acetylcholine,,RHS,DNlt002,DNp01,,DNlt002_CvC_R,DNlt002_CvC_R,1,0
2,100000,12B,intrinsic neuron,gaba,T3,,IN12B033,IN12B033,RHS,IN12B033_T3_R,IN12B033_T3_R,-1,20067
3,100002,09A,intrinsic neuron,gaba,T1,,IN09A063,IN09A063,RHS,IN09A063_T1_R,IN09A063_T1_R,-1,20068
4,10001,,sensory neuron,glutamate,,,SNxxxx,SNxxxx,,SNxxxx_ProLN_R,SNxxxx_ProLN_R,-1,1
5,10002,,descending neuron,acetylcholine,,LHS,DNlt002,DNp01,,DNlt002_CvC_L,DNlt002_CvC_L,1,2
6,10002519754,,sensory neuron,glutamate,,,SNppxx,SNppxx,,SNppxx_MetaLN_R,SNppxx_MetaLN_R,-1,23353
7,100028,,sensory neuron,glutamate,,LHS,SNpp59,SNpp59,,SNpp59_ProLN_L,SNpp59_ProLN_L,-1,20069
8,100029,,sensory neuron,acetylcholine,,LHS,SNpp17,SNpp17,,SNpp17_ProCN_L,SNpp17_ProCN_L,1,20070
9,10003,,sensory neuron,acetylcholine,,LHS,SNta29,SNta29,,SNta29_ProLN_L,SNta29_ProLN_L,-1,3
10,100030,,sensory neuron,glutamate,,LHS,SNch08,SNch14,,SNch14_ProLN_L,SNch14_ProLN_L,-1,20071
11,100031,,sensory ascending,glutamate,,LHS,SAch02,SAch02,,SAch02_ProLN_L,SAch02_ProLN_L,-1,20072
12,100038,,sensory neuron,acetylcholine,,LHS,SNta30,SNta30,,SNta30_ProLN_L,SNta30_ProLN_L,-1,20073
13,100039,,sensory neuron,acetylcholine,,LHS,SNta27,SNta27,,SNta27_ProLN_L,SNta27_ProLN_L,1,20074
14,10004,13B,intrinsic neuron,gaba,T2,,IN13B070,IN13B070,LHS,IN13B070_T2_L,IN13B070_T2_L,-1,4
15,100046,,sensory neuron,acetylcholine,,LHS,SNpp41,SNpp41,,SNpp41_ProLN_L,SNpp41_ProLN_L,-1,20075
16,100054,20A.22A,intrinsic neuron,acetylcholine,T2,,IN20A.22A092,IN20A.22A092,LHS,IN20A.22A092_T2_L,IN20A.22A092_T2_L,1,20076
17,100055,20A.22A,intrinsic neuron,acetylcholine,T2,,IN20A.22A070,IN20A.22A070,LHS,IN20A.22A070_T2_L,IN20A.22A070_T2_L,1,20077
18,10005777996,,sensory neuron,glutamate,,LHS,SNch10,SNch10,,SNch10_MetaLN_L,SNch10_MetaLN_L,-1,23354
19,10005779719,,sensory neuron,glutamate,,LHS,SNch10,SNch10,,SNch10_MetaLN_L,SNch10_MetaLN_L,-1,23355
20,100058,,sensory neuron,glutamate,,RHS,SNpp39,SNpp39,,SNpp39_MesoLN_R,SNpp39_MesoLN_R,-1,20078
21,100061,,sensory neuron,acetylcholine,,RHS,SNpp50,SNpp50,,SNpp50_MesoLN_R,SNpp50_MesoLN_R,1,20079
22,100062,09A,intrinsic neuron,gaba,T2,,IN09A095,IN09A095,RHS,IN09A095_T2_R,IN09A095_T2_R,-1,20080
23,100064,,sensory neuron,glutamate,,RHS,SNppxx,SNppxx,,SNppxx_MesoLN_R,SNppxx_MesoLN_R,-1,20081
24,100068,,sensory neuron,acetylcholine,,RHS,SNppxx,SNppxx,,SNppxx_MesoLN_R,SNppxx_MesoLN_R,-1,20082
25,100069,,sensory neuron,acetylcholine,,RHS,SNpp50,SNpp50,,SNpp50_MesoLN_R,SNpp50_MesoLN_R,1,20083
26,10007,,sensory neuron,acetylcholine,,RHS,SNpp03,SNpp03,,SNpp03_AbN3_R,SNpp03_AbN3_R,1,5
27,100070,,sensory neuron,acetylcholine,,RHS,SNpp50,SNpp50,,SNpp50_MesoLN_R,SNpp50_MesoLN_R,1,20084
28,100071,,sensory neuron,acetylcholine,,RHS,SNpp50,SNpp50,,SNpp50_MesoLN_R,SNpp50_MesoLN_R,1,20085
29,100072,13B,intrinsic neuron,gaba,T2,,IN13B090,IN13B090,LHS,IN13B090_T2_L,IN13B090_T2_L,-1,20086
30,100073,,sensory neuron,acetylcholine,,RHS,SNta23,SNta23,,SNta23_MesoLN_R,SNta23_MesoLN_R,1,20087
31,100074,,sensory neuron,acetylcholine,,RHS,SNppxx,SNppxx,,SNppxx_MesoLN_R,SNppxx_MesoLN_R,-1,20088
32,100075,04B,intrinsic neuron,acetylcholine,T2,,IN04B100,IN04B100,RHS,IN04B100_T2_R,IN04B100_T2_R,1,20089
33,10010,07B,intrinsic neuron,acetylcholine,T1,,IN07B001,IN07B001,LHS,IN07B001_T1_L,IN07B001_T1_L,1,6
34,10011,16B,motor neuron,glutamate,T2,,MNwm03,hg1 MN,RHS,MNwm03_ADMN_R,MNwm03_ADMN_R,-1,7
35,100118,,sensory neuron,acetylcholine,,RHS,SNpp41,SNpp41,,SNpp41_MesoLN_R,SNpp41_MesoLN_R,-1,20090
36,10012,,descending neuron,acetylcholine,,RHS,DNxn033,DNp18,,DNxn033_CvC_R,DNxn033_CvC_R,1,8
37,100121,09A,intrinsic neuron,gaba,T2,,IN09A038,IN09A038,RHS,IN09A038_T2_R,IN09A038_T2_R,-1,20091
38,100123,,sensory neuron,acetylcholine,,RHS,SNpp59,SNpp59,,SNpp59_MesoLN_R,SNpp59_MesoLN_R,1,20092
39,100126,,sensory neuron,acetylcholine,,RHS,SNta35,SNta35,,SNta35_MesoLN_R,SNta35_MesoLN_R,-1,20093
40,10012658878,,sensory neuron,glutamate,,,SNta29,SNta29,,SNta29_MetaLN_L,SNta29_MetaLN_L,-1,23356
41,100128,,sensory neuron,glutamate,,RHS,SNppxx,SNppxx,,SNppxx_MesoLN_R,SNppxx_MesoLN_R,-1,20094
42,10013,16B,motor neuron,glutamate,T2,,MNwm16,b1 MN,LHS,MNwm16_ADMN_L,MNwm16_ADMN_L,-1,9
43,100132,,sensory neuron,glutamate,,RHS,SNppxx,SNppxx,,SNppxx_MesoLN_R,SNppxx_MesoLN_R,-1,20095
44,100139,03A,intrinsic neuron,acetylcholine,T1,,IN03A014,IN03A014,RHS,IN03A014_T1_R,IN03A014_T1_R,1,20096
45,10014,03B,motor neuron,gaba,T1,,MNwm20,DLMn c-f,LHS,MNwm20_PDMNa_L,MNwm20_PDMNa_L,-1,10
46,100140,21A,intrinsic neuron,glutamate,T1,,IN21A079,IN21A079,RHS,IN21A079_T1_R,IN21A079_T1_R,-1,20097
47,100141,21A,intrinsic neuron,glutamate,T1,,IN21A079,IN21A079,RHS,IN21A079_T1_R,IN21A079_T1_R,-1,20098
48,100142,21A,intrinsic neuron,glutamate,T1,,IN21A070,IN21A070,RHS,IN21A070_T1_R,IN21A070_T1_R,-1,20099
49,100146,,sensory neuron,acetylcholine,,RHS,SNxx07,SNxx07,,SNxx07_AbNT_R,SNxx07_AbNT_R,1,20100
50,100147,TBD,intrinsic neuron,gaba,A7,,INXXX417,INXXX417,LHS,INXXX417_A7_L,INXXX417_A7_L,-1,20101
51,100155,,sensory neuron,glutamate,,RHS,SNpp50,SNpp50,,SNpp50_MesoLN_R,SNpp50_MesoLN_R,1,20102
52,100156,,sensory neuron,glutamate,,RHS,SNppxx,SNppxx,,SNppxx_MesoLN_R,SNppxx_MesoLN_R,-1,20103
53,100157,,sensory neuron,acetylcholine,,RHS,SNta45,SNta45,,SNta45_MesoLN_R,SNta45_MesoLN_R,1,20104
54,100159,,sensory neuron,glutamate,,RHS,SNxxxx,SNxxxx,,SNxxxx_MesoLN_R,SNxxxx_MesoLN_R,-1,20105
55,10015998788,,sensory neuron,glutamate,,,SNta29,SNta29,,SNta29_MetaLN_L,SNta29_MetaLN_L,-1,23357
56,10016,19B,ascending neuron,acetylcholine,T1,RHS,AN19B001,AN19B001,LHS,AN19B001_T1_L,AN19B001_T1_L,1,11
57,100167,07B,ascending neuron,acetylcholine,T2,RHS,AN07B046,AN07B046,LHS,AN07B046_T2_L,AN07B046_T2_L,1,20106
58,10017,16B,motor neuron,glutamate,T2,,MNwm16,b1 MN,RHS,MNwm16_ADMN_R,MNwm16_ADMN_R,-1,12
59,10018,07B,intrinsic neuron,acetylcholine,T1,,IN07B001,IN07B001,RHS,IN07B001_T1_R,IN07B001_T1_R,1,13
60,100186,08B,ascending neuron,acetylcholine,T1,LHS,AN08B084,AN08B084,RHS,AN08B084_T1_R,AN08B084_T1_R,1,20107
61,100187,12B,intrinsic neuron,gaba,T1,,IN12B081,IN12B081,LHS,IN12B081_T1_L,IN12B081_T1_L,-1,20108
62,10019,14A,intrinsic neuron,glutamate,T1,,IN14A012,IN14A012,RHS,IN14A012_T1_R,IN14A012_T1_R,-1,14
63,100193,,sensory neuron,glutamate,,LHS,SNpp22,SNpp22,,SNpp22_ProCN_L,SNpp22_ProCN_L,1,20109
64,100194,,sensory neuron,acetylcholine,,LHS,SNpp22,SNpp22,,SNpp22_ProCN_L,SNpp22_ProCN_L,1,20110
65,100195,,sensory neuron,glutamate,,LHS,SNpp22,SNpp22,,SNpp22_ProCN_L,SNpp22_ProCN_L,1,20111
66,10019573064,,sensory neuron,glutamate,,LHS,SNta29,SNta29,,SNta29_MetaLN_L,SNta29_MetaLN_L,-1,23358
67,100197,,sensory neuron,acetylcholine,,LHS,SNpp17,SNpp17,,SNpp17_ProCN_L,SNpp17_ProCN_L,1,20112
68,100199,10B,ascending neuron,acetylcholine,T1,RHS,AN10B037,AN10B037,LHS,AN10B037_T1_L,AN10B037_T1_L,1,20113
69,100200,,sensory neuron,acetylcholine,,LHS,SNpp18,SNpp18,,SNpp18_ProCN_L,SNpp18_ProCN_L,1,20114
70,100203,,sensory neuron,acetylcholine,,LHS,SNpp22,SNpp22,,SNpp22_ProCN_L,SNpp22_ProCN_L,1,20115
71,100208,10B,intrinsic neuron,acetylcholine,T1,,IN10B058,IN10B058,LHS,IN10B058_T1_L,IN10B058_T1_L,1,20116
72,100209,01B,intrinsic neuron,gaba,T1,,IN01B007,IN01B007,LHS,IN01B007_T1_L,IN01B007_T1_L,-1,20117
73,10021,,descending neuron,acetylcholine,,LHS,DNxn033,DNp18,,DNxn033_CvC_L,DNxn033_CvC_L,1,15
74,100210,20A.22A,intrinsic neuron,acetylcholine,T1,,IN20A.22A077,IN20A.22A077,LHS,IN20A.22A077_T1_L,IN20A.22A077_T1_L,1,20118
75,10022,27X,ascending neuron,gaba,T2,RHS,AN27X003,vMS16,RHS,AN27X003_T2_R,AN27X003_T2_R,-1,16
76,10023,,descending neuron,glutamate,,RHS,DNxn035,DNp20,,DNxn035_CvC_R,DNxn035_CvC_R,-1,17
77,10023548977,,sensory neuron,glutamate,,RHS,SNxxxx,SNxxxx,,SNxxxx_MetaLN_R,SNxxxx_MetaLN_R,-1,23359
78,100236,03A,intrinsic neuron,acetylcholine,T2,,IN03A078,IN03A078,RHS,IN03A078_T2_R,IN03A078_T2_R,1,20119
79,100239,01B,intrinsic neuron,gaba,T1,,IN01B069,IN01B069,LHS,IN01B069_T1_L,IN01B069_T1_L,-1,20120
80,10024,04B,intrinsic neuron,acetylcholine,T1,,IN04B041,IN04B041,LHS,IN04B041_T1_L,IN04B041_T1_L,1,18
81,100243,12B,intrinsic neuron,gaba,T1,,IN12B038,IN12B038,RHS,IN12B038_T1_R,IN12B038_T1_R,-1,20121
82,100246,,sensory neuron,glutamate,,LHS,SNta29,SNta29,,SNta29_ProLN_L,SNta29_ProLN_L,-1,20122
83,100247,,sensory neuron,glutamate,,LHS,SNxxxx,SNxxxx,,SNxxxx_ProLN_L,SNxxxx_ProLN_L,-1,20123
84,100248,,sensory neuron,glutamate,,LHS,SNch06,SNch06,,SNch06_ProLN_L,SNch06_ProLN_L,-1,20124
85,100249,20A.22A,intrinsic neuron,acetylcholine,T1,,IN20A.22A084,IN20A.22A084,LHS,IN20A.22A084_T1_L,IN20A.22A084_T1_L,1,20125
86,10025,12B,intrinsic neuron,gaba,T1,,IN12B002,IN12B002,LHS,IN12B002_T1_L,IN12B002_T1_L,-1,19
87,100250,,sensory neuron,acetylcholine,,LHS,SNta29,SNta29,,SNta29_ProLN_L,SNta29_ProLN_L,-1,20126
88,100251,,sensory neuron,acetylcholine,,LHS,SNta41,SNta41,,SNta41_ProLN_L,SNta41_ProLN_L,1,20127
89,100256,,sensory neuron,glutamate,,LHS,SNch08,SNch08,,SNch08_ProLN_L,SNch08_ProLN_L,-1,20128
90,100261,09A,intrinsic neuron,gaba,T2,,IN09A066,IN09A066,LHS,IN09A066_T2_L,IN09A066_T2_L,-1,20129
91,100262,12B,intrinsic neuron,gaba,T2,,IN12B072,IN12B072,LHS,IN12B072_T2_L,IN12B072_T2_L,-1,20130
92,100264,00A,intrinsic neuron,glutamate,T2,,IN00A052,IN00A052,Midline,IN00A052_T2_M,IN00A052_T2_M,-1,20131
93,100266,,sensory neuron,glutamate,,LHS,SNpp18,SNpp18,,SNpp18_ProCN_L,SNpp18_ProCN_L,1,20132
94,100267,,sensory neuron,acetylcholine,,LHS,SNpp18,SNpp18,,SNpp18_ProCN_L,SNpp18_ProCN_L,1,20133
95,100272,23B,intrinsic neuron,acetylcholine,T1,,IN23B085,IN23B085,LHS,IN23B085_T1_L,IN23B085_T1_L,1,20134
96,100292,03A,intrinsic neuron,acetylcholine,T1,,IN03A028,IN03A028,LHS,IN03A028_T1_L,IN03A028_T1_L,1,20135
97,100294,02A,intrinsic neuron,glutamate,T2,,IN02A041,IN02A041,LHS,IN02A041_T2_L,IN02A041_T2_L,-1,20136
98,100306,20A.22A,intrinsic neuron,acetylcholine,T3,,IN20A.22A051,IN20A.22A051,RHS,IN20A.22A051_T3_R,IN20A.22A051_T3_R,1,20137
99,10031,06B,intrinsic neuron,gaba,T1,,IN06B001,IN06B001,RHS,IN06B001_T1_R,IN06B001_T1_R,-1,20
100,100310,06B,intrinsic neuron,gaba,T3,,IN06B066,IN06B066,RHS,IN06B066_T3_R,IN06B066_T3_R,-1,20138
101,100312,12A,intrinsic neuron,acetylcholine,T2,,IN12A052,IN12A052,RHS,IN12A052_T2_R,IN12A052_T2_R,1,20139
102,100314,TBD,ascending neuron,acetylcholine,T1,RHS,ANXXX023,ANXXX023,LHS,ANXXX023_T1_L,ANXXX023_T1_L,1,20140
103,100316,,sensory neuron,glutamate,,LHS,SNch08,SNch14,,SNch14_ProLN_L,SNch14_ProLN_L,-1,20141
104,100317,01B,intrinsic neuron,gaba,T1,,IN01B063,IN01B063,LHS,IN01B063_T1_L,IN01B063_T1_L,-1,20142
105,100318,01B,intrinsic neuron,gaba,T1,,IN01B063,IN01B063,LHS,IN01B063_T1_L,IN01B063_T1_L,-1,20143
106,100319,,sensory neuron,glutamate,,LHS,SNch06,SNch06,,SNch06_ProLN_L,SNch06_ProLN_L,-1,20144
107,100321,,sensory neuron,glutamate,,LHS,SNta29,SNta29,,SNta29_ProLN_L,SNta29_ProLN_L,-1,20145
108,100322,,sensory neuron,glutamate,,LHS,SNxxxx,SNxxxx,,SNxxxx_ProLN_L,SNxxxx_ProLN_L,-1,20146
109,100323,,sensory neuron,glutamate,,LHS,SNta25,SNta25,,SNta25_ProLN_L,SNta25_ProLN_L,-1,20147
110,100324,,sensory neuron,glutamate,,LHS,SNpp39,SNpp39,,SNpp39_ProLN_L,SNpp39_ProLN_L,-1,20148
111,100327,13B,intrinsic neuron,glutamate,T1,,IN13B014,IN13B014,RHS,IN13B014_T1_R,IN13B014_T1_R,-1,20149
112,100330,09A,intrinsic neuron,gaba,T1,,IN09A078,IN09A078,LHS,IN09A078_T1_L,IN09A078_T1_L,-1,20150
113,100333,01B,intrinsic neuron,gaba,T1,,IN01B016,IN01B016,LHS,IN01B016_T1_L,IN01B016_T1_L,-1,20151
114,100334,01B,intrinsic neuron,gaba,T1,,IN01B020,IN01B020,LHS,IN01B020_T1_L,IN01B020_T1_L,-1,20152
115,100336,,sensory neuron,acetylcholine,,LHS,SNta35,SNta35,,SNta35_ProLN_L,SNta35_ProLN_L,-1,20153
116,100337,20A.22A,intrinsic neuron,acetylcholine,T1,,IN20A.22A076,IN20A.22A076,LHS,IN20A.22A076_T1_L,IN20A.22A076_T1_L,1,20154
117,100339,04B,intrinsic neuron,acetylcholine,T1,,IN04B078,IN04B078,LHS,IN04B078_T1_L,IN04B078_T1_L,1,20155
118,100342,,sensory neuron,acetylcholine,,LHS,SNta32,SNta32,,SNta32_ProLN_L,SNta32_ProLN_L,1,20156
119,100344,01B,intrinsic neuron,gaba,T1,,IN01B082,IN01B082,LHS,IN01B082_T1_L,IN01B082_T1_L,-1,20157
120,100347,09A,intrinsic neuron,glutamate,T1,,IN09A074,IN09A074,LHS,IN09A074_T1_L,IN09A074_T1_L,-1,20158
121,100351,14A,intrinsic neuron,glutamate,T1,,IN14A119,IN14A119,RHS,IN14A119_T1_R,IN14A119_T1_R,-1,20159
122,100352,13A,intrinsic neuron,gaba,T1,,IN13A041,IN13A041,LHS,IN13A041_T1_L,IN13A041_T1_L,-1,20160
123,100354,,sensory neuron,acetylcholine,,RHS,SNxx15,SNxx15,,SNxx15_AbN3_R,SNxx15_AbN3_R,1,20161
124,100355,,sensory neuron,acetylcholine,,RHS,SNpp01,SNpp01,,SNpp01_AbN3_R,SNpp01_AbN3_R,1,20162
125,100356,,sensory neuron,acetylcholine,,RHS,SNpp01,SNpp01,,SNpp01_AbN3_R,SNpp01_AbN3_R,1,20163
126,100357,,sensory neuron,acetylcholine,,RHS,SNpp01,SNpp01,,SNpp01_AbN3_R,SNpp01_AbN3_R,1,20164
127,100358,,sensory neuron,acetylcholine,,RHS,SNpp02,SNpp02,,SNpp02_AbN3_R,SNpp02_AbN3_R,1,20165
128,100359,,sensory neuron,acetylcholine,,RHS,SNpp01,SNpp01,,SNpp01_AbN3_R,SNpp01_AbN3_R,1,20166
129,100361,,sensory neuron,acetylcholine,,RHS,SNpp02,SNpp02,,SNpp02_AbN3_R,SNpp02_AbN3_R,1,20167
130,100363,,sensory neuron,acetylcholine,,RHS,SNpp03,SNpp03,,SNpp03_AbN3_R,SNpp03_AbN3_R,1,20168
131,100364,,sensory neuron,acetylcholine,,RHS,SNpp22,SNpp22,,SNpp22_ProCN_R,SNpp22_ProCN_R,1,20169
132,100367,,sensory neuron,acetylcholine,,LHS,SNpp18,SNpp18,,SNpp18_ProCN_L,SNpp18_ProCN_L,1,20170
133,100369,06B,intrinsic neuron,gaba,T3,,IN06B050,IN06B050,RHS,IN06B050_T3_R,IN06B050_T3_R,-1,20171
134,100375,TBD,motor neuron,glutamate,A5,,MNad09,MNad09,RHS,MNad09_AbNT,MNad09_AbNT,-1,20172
135,100377,10B,intrinsic neuron,acetylcholine,T3,,IN10B032,IN10B032,LHS,IN10B032_T3_L,IN10B032_T3_L,1,20173
136,10037855826,,sensory neuron,glutamate,,,SNta20,SNta20,,SNta20_MetaLN_R,SNta20_MetaLN_R,-1,23360
137,100385,10B,intrinsic neuron,acetylcholine,T1,,IN10B055,IN10B055,LHS,IN10B055_T1_L,IN10B055_T1_L,1,20174
138,10039,01A,intrinsic neuron,acetylcholine,T1,,IN01A007,IN01A007,RHS,IN01A007_T1_R,IN01A007_T1_R,1,21
139,100398,10B,intrinsic neuron,acetylcholine,T1,,IN10B040,IN10B040,RHS,IN10B040_T1_R,IN10B040_T1_R,1,20175
140,100399,10B,intrinsic neuron,acetylcholine,T1,,IN10B041,IN10B041,RHS,IN10B041_T1_R,IN10B041_T1_R,1,20176
141,100400,,sensory neuron,acetylcholine,,RHS,SNpp18,SNpp18,,SNpp18_ProCN_R,SNpp18_ProCN_R,1,20177
142,100401,14A,intrinsic neuron,glutamate,T1,,IN14A114,IN14A114,LHS,IN14A114_T1_L,IN14A114_T1_L,-1,20178
143,100403,10B,intrinsic neuron,acetylcholine,T1,,IN10B042,IN10B042,RHS,IN10B042_T1_R,IN10B042_T1_R,1,20179
144,100405,,sensory neuron,acetylcholine,,RHS,SNpp40,SNpp40,,SNpp40_ProLN_R,SNpp40_ProLN_R,-1,20180
145,100408,,sensory neuron,acetylcholine,,RHS,SNpp18,SNpp18,,SNpp18_ProCN_R,SNpp18_ProCN_R,1,20181
146,100412,,sensory neuron,glutamate,,RHS,SNpp39,SNpp39,,SNpp39_ProLN_R,SNpp39_ProLN_R,-1,20182
147,10041471554,,sensory neuron,glutamate,,,SNta20,SNta20,,SNta20_MetaLN_R,SNta20_MetaLN_R,-1,23361
148,100415,01B,intrinsic neuron,gaba,T1,,IN01B097,IN01B097,RHS,IN01B097_T1_R,IN01B097_T1_R,-1,20183
149,10042,03B,intrinsic neuron,acetylcholine,T1,,IN03B001,IN03B001,RHS,IN03B001_T1_R,IN03B001_T1_R,1,22
150,100428,20A.22A,intrinsic neuron,acetylcholine,T2,,IN20A.22A022,IN20A.22A022,RHS,IN20A.22A022_T2_R,IN20A.22A022_T2_R,1,20184
151,100429,01B,intrinsic neuron,gaba,T3,,IN01B010,IN01B010,LHS,IN01B010_T3_L,IN01B010_T3_L,-1,20185
152,100451,13B,intrinsic neuron,gaba,T3,,IN13B101,IN13B101,RHS,IN13B101_T3_R,IN13B101_T3_R,-1,20186
153,100452,,sensory neuron,acetylcholine,,LHS,SNpp43,SNpp43,,SNpp43_MetaLN_L,SNpp43_MetaLN_L,-1,20187
154,100453,,sensory neuron,acetylcholine,,LHS,SNpp47,SNpp47,,SNpp47_MetaLN_L,SNpp47_MetaLN_L,-1,20188
155,100454,,sensory neuron,glutamate,,LHS,SNpp60,SNpp60,,SNpp60_MetaLN_L,SNpp60_MetaLN_L,-1,20189
156,100456,10B,intrinsic neuron,acetylcholine,T3,,IN10B041,IN10B041,LHS,IN10B041_T3_L,IN10B041_T3_L,1,20190
157,100458,,sensory neuron,acetylcholine,,LHS,SNpp60,SNpp60,,SNpp60_MetaLN_L,SNpp60_MetaLN_L,-1,20191
158,100459,,sensory neuron,glutamate,,LHS,SNpp50,SNpp50,,SNpp50_MetaLN_L,SNpp50_MetaLN_L,1,20192
159,100460,,sensory neuron,acetylcholine,,LHS,SNpp40,SNpp40,,SNpp40_MetaLN_L,SNpp40_MetaLN_L,1,20193
160,100461,,sensory neuron,acetylcholine,,LHS,SNpp58,SNpp58,,SNpp58_MetaLN_L,SNpp58_MetaLN_L,1,20194
161,100463,13A,intrinsic neuron,gaba,T3,,IN13A067,IN13A067,LHS,IN13A067_T3_L,IN13A067_T3_L,-1,20195
162,100468,13A,intrinsic neuron,glutamate,T3,,IN13A019,IN13A019,LHS,IN13A019_T3_L,IN13A019_T3_L,-1,20196
163,10048,,sensory neuron,acetylcholine,,RHS,SNpp01,SNpp01,,SNpp01_AbN3_R,SNpp01_AbN3_R,1,23
164,100490,,sensory neuron,glutamate,,LHS,SNxxxx,SNxxxx,,SNxxxx_ProLN_L,SNxxxx_ProLN_L,-1,20197
165,100491,09A,intrinsic neuron,glutamate,T2,,IN09A009,IN09A009,LHS,IN09A009_T2_L,IN09A009_T2_L,-1,20198
166,100492,03A,intrinsic neuron,acetylcholine,T1,,IN03A010,IN03A010,LHS,IN03A010_T1_L,IN03A010_T1_L,1,20199
167,100493,21A,intrinsic neuron,glutamate,T1,,IN21A014,IN21A014,LHS,IN21A014_T1_L,IN21A014_T1_L,-1,20200
168,100494,07B,ascending neuron,glutamate,T1,RHS,AN07B013,AN07B013,LHS,AN07B013_T1_L,AN07B013_T1_L,-1,20201
169,100495,01B,intrinsic neuron,gaba,T1,,IN01B035,IN01B035,LHS,IN01B035_T1_L,IN01B035_T1_L,-1,20202
170,100497,20A.22A,intrinsic neuron,acetylcholine,T1,,IN20A.22A039,IN20A.22A039,LHS,IN20A.22A039_T1_L,IN20A.22A039_T1_L,1,20203
171,100498,20A.22A,intrinsic neuron,acetylcholine,T1,,IN20A.22A024,IN20A.22A024,LHS,IN20A.22A024_T1_L,IN20A.22A024_T1_L,1,20204
172,100509,19A,intrinsic neuron,gaba,T2,,IN19A015,IN19A015,RHS,IN19A015_T2_R,IN19A015_T2_R,-1,20205
173,10051,09A,intrinsic neuron,gaba,T3,,IN09A004,IN09A004,LHS,IN09A004_T3_L,IN09A004_T3_L,-1,24
174,100513,09A,intrinsic neuron,gaba,T1,,IN09A012,IN09A012,LHS,IN09A012_T1_L,IN09A012_T1_L,-1,20206
175,100515,TBD,motor neuron,glutamate,T1,,MNfl22,Sternotrochanter MN,LHS,MNfl22_VProN_L,MNfl22_VProN_L,-1,20207
176,100516,01A,intrinsic neuron,acetylcholine,T1,,IN01A067,IN01A067,RHS,IN01A067_T1_R,IN01A067_T1_R,1,20208
177,10052,TBD,ascending neuron,gaba,T1,LHS,ANXXX002,ANXXX002,RHS,ANXXX002_T1_R,ANXXX002_T1_R,-1,25
178,100524,26X,intrinsic neuron,gaba,T1,,IN26X001,IN26X001,RHS,IN26X001_T1_R,IN26X001_T1_R,-1,20209
179,100525,04B,intrinsic neuron,acetylcholine,T1,,IN04B091,IN04B091,LHS,IN04B091_T1_L,IN04B091_T1_L,1,20210
180,10053,06B,intrinsic neuron,gaba,T1,,IN06B001,IN06B001,LHS,IN06B001_T1_L,IN06B001_T1_L,-1,26
181,100531,,sensory neuron,acetylcholine,,LHS,SNpp50,SNpp50,,SNpp50_ProLN_L,SNpp50_ProLN_L,-1,20211
182,100533,07B,intrinsic neuron,acetylcholine,T2,,IN07B066,IN07B066,RHS,IN07B066_T2_R,IN07B066_T2_R,1,20212
183,100538,12A,intrinsic neuron,acetylcholine,T1,,IN12A062,IN12A062,RHS,IN12A062_T1_R,IN12A062_T1_R,1,20213
184,10054,17B,intrinsic neuron,gaba,A2,,IN17B001,IN17B001,LHS,IN17B001_A2_L,IN17B001_A2_L,-1,27
185,100540,06A,intrinsic neuron,gaba,T2,,IN06A087,IN06A087,RHS,IN06A087_T2_R,IN06A087_T2_R,-1,20214
186,100541,12A,intrinsic neuron,glutamate,T2,,IN12A054,IN12A054,LHS,IN12A054_T2_L,IN12A054_T2_L,-1,20215
187,100543,09A,intrinsic neuron,gaba,T2,,IN09A079,IN09A079,RHS,IN09A079_T2_R,IN09A079_T2_R,-1,20216
188,100544,TBD,intrinsic neuron,acetylcholine,T2,,INXXX464,INXXX464,RHS,INXXX464_T2_R,INXXX464_T2_R,1,20217
189,100546,16B,intrinsic neuron,glutamate,T2,,IN16B113,IN16B113,RHS,IN16B113_T2_R,IN16B113_T2_R,-1,20218
190,10055,16B,motor neuron,glutamate,T2,,MNwm18,b3 MN,LHS,MNwm18_ADMN_L,MNwm18_ADMN_L,-1,28
191,100553,12B,ascending neuron,gaba,T1,LHS,AN12B060,AN12B060,RHS,AN12B060_T1_R,AN12B060_T1_R,-1,20219
192,100554,16B,intrinsic neuron,glutamate,T1,,IN16B114,IN16B114,LHS,IN16B114_T1_L,IN16B114_T1_L,-1,20220
193,100556,TBD,intrinsic neuron,gaba,A9,,INXXX385,INXXX385,LHS,INXXX385_A9_L,INXXX385_A9_L,-1,20221
194,10056,27X,ascending neuron,gaba,T2,LHS,AN27X003,vMS16,LHS,AN27X003_T2_L,AN27X003_T2_L,-1,29
195,100563,03A,intrinsic neuron,acetylcholine,T1,,IN03A072,IN03A072,RHS,IN03A072_T1_R,IN03A072_T1_R,1,20222
196,100564,,sensory neuron,glutamate,,RHS,SNppxx,SNppxx,,SNppxx_ProAN_R,SNppxx_ProAN_R,-1,20223
197,10057,,sensory neuron,acetylcholine,,LHS,SNpp60,SNpp60,,SNpp60_MetaLN_L,SNpp60_MetaLN_L,-1,30
198,100572,,sensory neuron,glutamate,,RHS,SNppxx,SNppxx,,SNppxx_ProNTBD_R,SNppxx_ProNTBD_R,-1,20224
199,100579,04B,intrinsic neuron,acetylcholine,T1,,IN04B091,IN04B091,RHS,IN04B091_T1_R,IN04B091_T1_R,1,20225
