,bodyid,hemilineage,class,predictedNt,somaNeuromere,rootSide,systematicType,type,somaSide,name,combined_type,nt_binary,idx
19371,32269,01A,intrinsic neuron,acetylcholine,T1,,IN01A052,IN01A052,RHS,IN01A052_T1_R,IN01A052_T1_R,1,16022
19372,32270,,sensory neuron,acetylcholine,,RHS,SNxx14,SNxx14,,SNxx14_AbN4_R,SNxx14_AbN4_R,1,16023
19373,32271,,sensory neuron,glutamate,,RHS,SNta38,SNta38,,SNta38_MetaLN_R,SNta38_MetaLN_R,-1,16024
19374,32276,,sensory neuron,acetylcholine,,RHS,SNta01,SNta01,,SNta01_PDMN_R,SNta01_PDMN_R,1,16025
19375,32278,,sensory neuron,acetylcholine,,RHS,SNch12,SNch12,,SNch12_ADMN_R,SNch12_ADMN_R,1,16026
19376,32283,03B,intrinsic neuron,gaba,A1,,IN03B088,IN03B088,RHS,IN03B088_A1_R,IN03B088_A1_R,-1,16027
19377,32289,01B,intrinsic neuron,gaba,T1,,IN01B082,IN01B082,LHS,IN01B082_T1_L,IN01B082_T1_L,-1,16028
19378,32290,,sensory neuron,acetylcholine,,LHS,SNxx25,SNxx25,,SNxx25_ADMN_L,SNxx25_ADMN_L,1,16029
19379,32303,,descending neuron,acetylcholine,,RHS,DNht001,DNht001,,DNht001_CvC_R,DNht001_CvC_R,1,16030
19380,32312,,descending neuron,gaba,,LHS,DNit005,DNit005,,DNit005_CvC_L,DNit005_CvC_L,1,16031
19381,32315,,sensory neuron,acetylcholine,,LHS,SNch12,SNch12,,SNch12_ADMN_L,SNch12_ADMN_L,1,16032
19382,32317,,descending neuron,glutamate,,RHS,DNxn073,DNxn073,,DNxn073_CvC_R,DNxn073_CvC_R,-1,16033
19383,32318,,sensory neuron,acetylcholine,,LHS,SNch02,SNch02,,SNch02_ADMN_L,SNch02_ADMN_L,1,16034
19384,32325,TBD,intrinsic neuron,acetylcholine,A8,,INXXX459,INXXX459,LHS,INXXX459_A8_L,INXXX459_A8_L,1,16035
19385,32326,03B,intrinsic neuron,gaba,T3,,IN03B079,IN03B079,LHS,IN03B079_T3_L,IN03B079_T3_L,-1,16036
19386,32328,19B,intrinsic neuron,acetylcholine,T2,,IN19B043,IN19B043,RHS,IN19B043_T2_R,IN19B043_T2_R,1,16037
19387,32336,06A,intrinsic neuron,gaba,T3,,IN06A136,IN06A136,RHS,IN06A136_T3_R,IN06A136_T3_R,-1,16038
19388,32337,,sensory neuron,acetylcholine,,LHS,SNta01,SNta01,,SNta01_PDMN_L,SNta01_PDMN_L,1,16039
19389,32344,14A,intrinsic neuron,glutamate,T1,,IN14A116,IN14A116,LHS,IN14A116_T1_L,IN14A116_T1_L,-1,16040
19390,32348,TBD,intrinsic neuron,gaba,A5,,INXXX440,INXXX440,RHS,INXXX440_A5_R,INXXX440_A5_R,-1,16041
19391,32350,,sensory neuron,glutamate,,LHS,SNch08,SNch15,,SNch15_ProLN_L,SNch15_ProLN_L,-1,16042
19392,32353,,sensory neuron,acetylcholine,,LHS,SNch02,SNch02,,SNch02_ADMN_L,SNch02_ADMN_L,1,16043
19393,32357,08A,intrinsic neuron,glutamate,T3,,IN08A047,IN08A047,RHS,IN08A047_T3_R,IN08A047_T3_R,-1,16044
19394,32359,06A,intrinsic neuron,gaba,T3,,IN06A132,IN06A132,LHS,IN06A132_T3_L,IN06A132_T3_L,-1,16045
19395,32360,,descending neuron,acetylcholine,,RHS,DNut032,DNg92,,DNut032_CvC_R,DNut032_CvC_R,1,16046
19396,32368,21A,intrinsic neuron,glutamate,T3,,IN21A047,IN21A047,LHS,IN21A047_T3_L,IN21A047_T3_L,-1,16047
19397,32370,04B,intrinsic neuron,acetylcholine,T3,,IN04B064,IN04B064,LHS,IN04B064_T3_L,IN04B064_T3_L,1,16048
19398,32374,09A,intrinsic neuron,gaba,T1,,IN09A093,IN09A093,RHS,IN09A093_T1_R,IN09A093_T1_R,-1,16049
19399,32375,14A,intrinsic neuron,glutamate,T2,,IN14A042,IN14A042,LHS,IN14A042_T2_L,IN14A042_T2_L,-1,16050
19400,32383,,descending neuron,acetylcholine,,LHS,DNht001,DNht001,,DNht001_CvC_L,DNht001_CvC_L,1,16051
19401,32384,,sensory neuron,acetylcholine,,LHS,SNch02,SNch02,,SNch02_ADMN_L,SNch02_ADMN_L,1,16052
19402,32387,,sensory neuron,acetylcholine,,RHS,SNta29,SNta29,,SNta29_MesoLN_R,SNta29_MesoLN_R,-1,16053
19403,32388,,descending neuron,acetylcholine,,LHS,DNxn167,DNxn167,,DNxn167_CvC_L,DNxn167_CvC_L,1,16054
19404,32390,,sensory neuron,glutamate,,LHS,SNch07,SNch07,,SNch07_MetaLN_L,SNch07_MetaLN_L,-1,16055
19405,32394,,sensory ascending,acetylcholine,,LHS,SApp09,SApp09,,SApp09_DMetaN_L,SApp09_DMetaN_L,1,16056
19406,32397,12B,intrinsic neuron,gaba,T2,,IN12B040,IN12B040,RHS,IN12B040_T2_R,IN12B040_T2_R,-1,16057
19407,32400,,sensory neuron,acetylcholine,,RHS,SNxx04,SNxx04,,SNxx04_AbN4_R,SNxx04_AbN4_R,1,16058
19408,32404,,sensory neuron,acetylcholine,,RHS,SNxx03,SNxx03,,SNxx03_AbN4_R,SNxx03_AbN4_R,1,16059
19409,32415,,sensory neuron,acetylcholine,,LHS,SNta38,SNta38,,SNta38_ProLN_L,SNta38_ProLN_L,1,16060
19410,32421,,sensory neuron,acetylcholine,,RHS,SNta20,SNta20,,SNta20_MesoLN_R,SNta20_MesoLN_R,1,16061
19411,32422,,sensory neuron,glutamate,,RHS,SNpp50,SNpp50,,SNpp50_ProLN_R,SNpp50_ProLN_R,-1,16062
19412,32424,,descending neuron,acetylcholine,,RHS,DNfl001,DNg12,,DNfl001_CvC_R,DNfl001_CvC_R,1,16063
19413,32428,,sensory neuron,glutamate,,RHS,SNch04,SNch04,,SNch04_ADMN_R,SNch04_ADMN_R,-1,16064
19414,32429,,sensory neuron,acetylcholine,,LHS,SNxx03,SNxx03,,SNxx03_AbN4_L,SNxx03_AbN4_L,1,16065
