pre,post,plen,threshold_0,threshold_0.001,threshold_0.01,threshold_0.03,threshold_0.05,threshold_0.1
L3_right,MTe01a_left,4,0.0004614855861291,0.0003152384306304,7.580001692986116e-05,1.5216922292893288e-05,0.0,0.0
L3_right,MTe01a_left,5,0.001598895760253,0.0013489362318068,0.0005291785346344,0.000221856200369,0.0,0.0
L3_right,LC10f_right,1,0.0,0.0,0.0,0.0,0.0,0.0
L3_right,LC10f_right,2,0.0006636307807639,0.0006352700293064,0.0,0.0,0.0,0.0
L3_right,LC10f_right,3,0.0031898368615657,0.0029856238979846,0.0014221953460946,0.0010200325632467,0.0,0.0
L3_right,LC10f_right,4,0.0041470206342637,0.0037093926221132,0.0017408553976565,7.616525545017794e-05,0.0,0.0
L3_right,LC10f_right,5,0.0047303051687777,0.0041476492770016,0.0016706330934539,0.0002033559430856,0.0,0.0
L3_right,cLP05_right,1,0.0,0.0,0.0,0.0,0.0,0.0
L3_right,cLP05_right,2,3.5071711863565724e-06,3.5071711863565724e-06,0.0,0.0,0.0,0.0
L3_right,cLP05_right,3,1.4247000763134564e-05,1.0989807378791738e-05,0.0,0.0,0.0,0.0
L3_right,cLP05_right,4,0.0010517071932554,0.0010114852339029,0.00060359982308,0.0005310557899065,0.0005171087104827,0.0
L3_right,cLP05_right,5,0.0025154037866741,0.0023838384076952,0.0012026486219838,0.0004211795167066,0.0002619895385578,0.0
L3_right,MTe14_left,1,0.0,0.0,0.0,0.0,0.0,0.0
L3_right,MTe14_left,2,2.650789065228309e-05,2.650789065228309e-05,0.0,0.0,0.0,0.0
L3_right,MTe14_left,3,0.0002188999933423,0.0002172639797208,0.0001343214680673,0.0,0.0,0.0
L3_right,MTe14_left,4,0.0016399906016886,0.0016037090681493,0.001199378632009,0.0,0.0,0.0
L3_right,MTe14_left,5,0.0010266412282362,0.0009207535185851,0.0003046486235689,0.0,0.0,0.0
L3_right,cM15_right,1,0.0,0.0,0.0,0.0,0.0,0.0
L3_right,cM15_right,2,0.0001521592203062,0.000150702529936,0.0,0.0,0.0,0.0
L3_right,cM15_right,3,0.0014425026020035,0.0013910522684454,0.0012722082901746,0.0008457960211671,0.0,0.0
L3_right,cM15_right,4,0.0022572888992726,0.0019726890604943,0.0008165336912497,0.0004923420492559,0.0,0.0
L3_right,cM15_right,5,0.0032102616969496,0.0026387849356979,0.0009635962778702,0.0003848934429697,0.0,0.0
L3_right,cL12_right,1,0.0,0.0,0.0,0.0,0.0,0.0
L3_right,cL12_right,2,0.0,0.0,0.0,0.0,0.0,0.0
L3_right,cL12_right,3,0.0001901947543956,0.0001793791889213,0.0001235908421222,0.0,0.0,0.0
L3_right,cL12_right,4,0.0014855841873213,0.001352765248157,0.0004270052304491,9.153425344265996e-05,0.0,0.0
L3_right,cL12_right,5,0.0035128775052726,0.0030964331235736,0.0008990415954031,0.0001858761970652,0.0,0.0
L3_right,MeMe_e10_right,1,0.0,0.0,0.0,0.0,0.0,0.0
L3_right,MeMe_e10_right,2,5.090108970762231e-05,1.4983502296672668e-05,0.0,0.0,0.0,0.0
L3_right,MeMe_e10_right,3,0.002365383785218,0.0020492505282163,0.0009696618071757,0.0,0.0,0.0
L3_right,MeMe_e10_right,4,0.0184111446142196,0.01768559217453,0.015556575730443,0.0133147481828928,0.0099358037114143,0.0065185260027647
L3_right,MeMe_e10_right,5,0.0139840049669146,0.0130278253927826,0.0094703435897827,0.0066624297760427,0.0040435828268527,0.0012484045000746
L3_right,LC43_left,1,0.0,0.0,0.0,0.0,0.0,0.0
L3_right,LC43_left,2,3.956068667321233e-06,0.0,0.0,0.0,0.0,0.0
L3_right,LC43_left,3,3.973997081629932e-05,3.306346479803324e-05,0.0,0.0,0.0,0.0
L3_right,LC43_left,4,0.000300671585137,0.0002471809857524,5.912391861784272e-05,2.108304761350155e-05,0.0,0.0
L3_right,LC43_left,5,0.0005550940404646,0.0004278149863239,7.048418774502352e-05,1.8549146716395624e-06,0.0,0.0
L3_right,LC14a2_right,1,0.0,0.0,0.0,0.0,0.0,0.0
L3_right,LC14a2_right,2,0.0033438995014876,0.0033214488066732,0.003112010192126,0.0016570606967434,0.0,0.0
L3_right,LC14a2_right,3,0.0057813976891338,0.0053513371385633,0.0033132110256701,0.0010179774835705,0.0,0.0
L3_right,LC14a2_right,4,0.0082460502162575,0.0074463565833866,0.0040224017575383,0.0016063030343502,0.0008660703897476,0.0
L3_right,LC14a2_right,5,0.0084334490820765,0.0073960437439382,0.0032922448590397,0.0012227767147123,0.0005217152065597,0.0
L3_right,aMe19a_left,1,0.0,0.0,0.0,0.0,0.0,0.0
L3_right,aMe19a_left,2,0.0,0.0,0.0,0.0,0.0,0.0
L3_right,aMe19a_left,3,0.0007092836895026,0.0006920769810676,0.0005250370013527,0.0,0.0,0.0
L3_right,aMe19a_left,4,0.0029463749378919,0.002793479245156,0.0020580997224897,0.0003051847161259,0.000274606689345,0.0
L3_right,aMe19a_left,5,0.0039418926462531,0.0036796887870877,0.0024999026209115,0.0010575086344033,0.0008579057757742,0.0
L3_right,cL07_left,1,0.0,0.0,0.0,0.0,0.0,0.0
L3_right,cL07_left,2,1.992073066503508e-06,0.0,0.0,0.0,0.0,0.0
L3_right,cL07_left,3,2.7481607958179666e-06,9.363220669911244e-07,0.0,0.0,0.0,0.0
L3_right,cL07_left,4,0.0001655604719417,8.369814167963341e-05,3.4497722936066566e-06,0.0,0.0,0.0
L3_right,cL07_left,5,0.0004360134771559,0.0003076788561884,4.545835327007808e-05,4.694195467891404e-06,0.0,0.0
L3_right,LTe08_right,1,0.0,0.0,0.0,0.0,0.0,0.0
L3_right,LTe08_right,2,0.0131406728178262,0.013125043362379,0.0120419058948755,0.0111732184886932,0.0111732184886932,0.0
L3_right,LTe08_right,3,0.030037036165595,0.0294878128916025,0.0269431695342063,0.021240621805191,0.0175943747162818,0.0161123201251029
L3_right,LTe08_right,4,0.0248812716454267,0.0238586049526929,0.0186063926666975,0.0130873918533325,0.0082345819100737,0.0051253223791718
L3_right,LTe08_right,5,0.0210135411471128,0.0195908471941947,0.0134396255016326,0.0087384702637791,0.0050386707298457,0.0023071593604981
L3_right,MeMe_e05_right,1,0.001203007530421,0.001203007530421,0.0,0.0,0.0,0.0
L3_right,MeMe_e05_right,2,0.0044284658506512,0.0044055357575416,0.0023156446404755,0.0023156446404755,0.0,0.0
L3_right,MeMe_e05_right,3,0.0261243935674428,0.0256987325847148,0.0237317830324172,0.0211138911545276,0.014864657074213,0.0
L3_right,MeMe_e05_right,4,0.011956725269556,0.0112595940008759,0.007423163857311,0.0040846006013453,0.0006622957298532,0.0
L3_right,MeMe_e05_right,5,0.007897007279098,0.0070523750036954,0.0037368396297097,0.001171089708805,5.489573231898248e-05,0.0
L3_right,aMe17a2_left,1,0.0,0.0,0.0,0.0,0.0,0.0
L3_right,aMe17a2_left,2,4.965971129422542e-06,4.965971129422542e-06,0.0,0.0,0.0,0.0
L3_right,aMe17a2_left,3,0.0006707976572215,0.0006574255530722,0.0005179431173019,0.0004349938535597,0.0004349938535597,0.0
L3_right,aMe17a2_left,4,0.0026544742286205,0.0025297123938798,0.001819722354412,0.0011277926387265,0.0010391067480668,0.0
L3_right,aMe17a2_left,5,0.0034527874086052,0.0031836610287427,0.0021711396984755,0.0012563846539705,0.0009731755126267,0.0
L3_right,MeLp1_right,1,0.0045076282694935,0.0045076282694935,0.0,0.0,0.0,0.0
L3_right,MeLp1_right,2,0.0262603778392076,0.0262307655066251,0.0257320627570152,0.020117163658142,0.020117163658142,0.0
L3_right,MeLp1_right,3,0.0112708574160933,0.0107159577310085,0.008385662920773,0.0058124642819166,0.0035842377692461,0.0
L3_right,MeLp1_right,4,0.0080603705719113,0.0075640999712049,0.0047840126790106,0.0022708468604832,0.0016388250514864,0.0
L3_right,MeLp1_right,5,0.0060599134303629,0.0054935268126428,0.0030472262296825,0.0012301019160076,0.0007511900621466,0.0
L3_right,LTe45_right,1,0.0,0.0,0.0,0.0,0.0,0.0
L3_right,LTe45_right,2,0.0029581317212432,0.0029277771245688,0.0027588023804128,0.0,0.0,0.0
L3_right,LTe45_right,3,0.0078797815367579,0.007610588800162,0.0064036226831376,0.004646937828511,0.0035024152603,0.0
L3_right,LTe45_right,4,0.0064140981994569,0.0058812298811972,0.003214101307094,0.001016950351186,0.0001435219164704,0.0
L3_right,LTe45_right,5,0.0069139078259468,0.0061058672145009,0.0029149996116757,0.0008282108465209,0.0001413020363543,0.0
L3_right,aMe12_right,1,0.0020799243357032,0.0020799243357032,0.0,0.0,0.0,0.0
L3_right,aMe12_right,2,0.0351994670927524,0.0350961275398731,0.0332362949848175,0.0310809258371591,0.0310809258371591,0.0310809258371591
L3_right,aMe12_right,3,0.0146397715434432,0.0142132239416241,0.0122680133208632,0.0101938219740986,0.0101938219740986,0.0
L3_right,aMe12_right,4,0.0071488847024738,0.0065292390063405,0.0039169723168015,0.0022208716254681,0.0018461222061887,0.0
